job_id,submit_time,iteration,model_name,ddl,batch_size,num_gpu,duration,best_effort
0,0,1514793,deepspeech2,363898,32,1,501063,0
1,216,3877,inception3,1163,64,1,804,0
2,3036,385659,deepspeech2,152208,64,1,241049,0
3,5201,8384,inception3,7407,64,1,1739,0
4,5642,33388,resnet50,12433,64,1,4879,0
5,6668,2721,vgg16,7737,128,1,1036,0
6,7564,17072,gpt2,8737,128,1,2335,0
7,9145,86836,inception3,35961,128,2,18637,0
8,11477,599131,inception3,112804,64,1,124284,0
9,11625,2424,deepspeech2,13878,64,1,1515,0
10,11668,8498,deepspeech2,12389,32,16,659,0
11,14378,4730,vgg16,15742,128,1,1802,0
12,15228,60835,inception3,26405,128,2,13056,0
13,17383,5462,vgg16,22562,256,1,4158,0
14,17387,2669,gpt2,18089,256,1,651,0
15,18271,4861,vgg16,18931,64,1,962,0
16,20188,138046,gpt2,37327,128,1,18887,0
17,20578,6960,resnet50,21830,256,4,1124,0
18,24936,780518,vgg16,175734,128,1,297365,0
19,28412,25331,resnet50,45055,256,1,13741,0
20,28458,14684,deepspeech2,36980,64,1,9178,0
21,28497,64945,resnet50,54660,128,1,17767,0
22,29666,135653,gpt2,69707,256,1,33107,0
23,33865,11349,deepspeech2,39257,64,1,7093,0
24,34585,9835,vgg16,37212,128,1,3747,0
25,34951,106966,gpt2,46694,128,1,14635,0
26,35774,109810,bert,49635,64,4,10603,0
27,35818,20254,deepspeech2,51055,64,1,12659,0
28,36194,382094,gpt2,149156,256,1,93254,0
29,37058,89206,resnet50,54089,256,4,14409,0
30,38085,8455,vgg16,41537,128,1,3221,0
31,38483,30446,resnet50,40416,128,8,1841,0
32,38877,6421,bert,39794,64,1,1064,0
33,39248,175101,resnet50,108533,128,1,47902,0
34,40171,167092,deepspeech2,78929,32,1,55270,0
35,40684,2173750,bert,282344,128,8,217500,0
36,40717,16651,vgg16,43819,256,4,3587,0
37,43443,11713,inception3,47464,128,1,4571,0
38,44662,8989,gpt2,45768,128,1,1229,0
39,46204,55247,resnet50,57020,128,1,15114,0
40,46513,6224,vgg16,47060,256,8,778,0
41,53861,1122485,inception3,198922,64,1,232849,0
42,56810,48276,vgg16,91461,256,1,36749,0
43,57003,3011,gpt2,57769,256,1,735,0
44,57610,5508,bert,59067,128,1,1540,0
45,59527,62364,vgg16,73400,64,1,12342,0
46,61390,26640,gpt2,63932,128,1,3644,0
47,65524,113247,inception3,113606,128,1,44197,0
48,66346,32185,inception3,83747,128,1,12560,0
49,69004,70070,deepspeech2,74598,32,8,7138,0
50,70669,15329,gpt2,72944,128,1,2097,0
51,71211,83171,vgg16,76235,128,8,6127,0
52,72540,191995,resnet50,85659,64,2,16217,0
53,75751,70057,deepspeech2,85092,64,16,7452,0
54,78559,10605,gpt2,80343,128,1,1451,0
55,79615,223395,resnet50,122566,64,1,32645,0
56,80949,73375,resnet50,88560,128,4,6537,0
57,81002,7702,bert,81413,64,8,696,0
58,81419,314211,deepspeech2,113546,32,8,32009,0
59,83813,9496,inception3,86444,64,1,1969,0
60,84616,47011,bert,92484,64,1,7795,0
61,84901,5813,deepspeech2,87112,32,1,1922,0
62,86095,8368,deepspeech2,88366,64,2,2825,0
63,87916,27627,bert,93871,128,1,7728,0
64,89599,922383,bert,292423,128,1,258014,0
65,90304,1483932,resnet50,383283,64,1,216854,0
66,91171,9099,gpt2,92135,256,2,1307,0
67,92236,19418,inception3,93775,128,8,1788,0
68,94496,8518,deepspeech2,97946,32,1,2817,0
69,95600,89108,deepspeech2,112695,32,1,29475,0
70,96350,3062,vgg16,97522,256,1,2331,0
71,97359,4982,vgg16,98612,64,1,986,0
72,97404,280001,bert,137322,64,1,46429,0
73,97471,3359,vgg16,99331,256,1,2557,0
74,99294,42685,bert,104824,64,4,4121,0
75,105422,2206,deepspeech2,106230,32,1,729,0
76,106771,3826,resnet50,107712,128,1,1046,0
77,107522,27184,vgg16,111535,64,1,5379,0
78,107802,73426,gpt2,122476,256,1,17920,0
79,108848,2975021,vgg16,832973,64,1,588761,0
80,114881,41127,vgg16,117639,64,4,2787,0
81,117089,34245,deepspeech2,120360,64,8,4623,0
82,118252,17541,resnet50,126760,256,1,9516,0
83,121204,13684,deepspeech2,122396,64,16,1455,0
84,121601,26995,gpt2,125071,128,1,3693,0
85,122682,1737,inception3,123082,128,1,678,0
86,127252,3219,resnet50,128552,128,1,880,0
87,128545,5039,resnet50,130128,128,1,1378,0
88,129467,1476,vgg16,130895,256,1,1124,0
89,129938,9290,gpt2,131220,128,1,1271,0
90,131129,7645,inception3,134638,128,1,2983,0
91,135853,20124,resnet50,141253,128,1,5505,0
92,135861,36065,vgg16,147132,128,1,13740,0
93,138158,3920907,gpt2,489338,128,4,235259,0
94,140734,9215,vgg16,145450,128,1,3510,0
95,143993,7920,bert,144384,64,8,716,0
96,146017,60831,resnet50,151082,128,8,3679,0
97,148501,6062,gpt2,149364,128,1,829,0
98,149598,88289,vgg16,210135,256,1,67208,0
99,150834,43730,deepspeech2,172474,32,1,14465,0
