job_id,submit_time,iteration,model_name,ddl,batch_size,num_gpu,duration,best_effort
0,0,7246,resnet50,5896,256,1,3930,0
1,4686,19793,gpt2,11932,256,1,4830,0
2,9116,2274,deepspeech2,10244,32,1,752,0
3,9203,17316,deepspeech2,25437,64,1,10823,0
4,9336,2156,deepspeech2,11357,64,1,1347,0
5,12043,351947,resnet50,156466,128,1,96282,0
6,14041,1334620,vgg16,161534,128,8,98328,0
7,15703,3689,resnet50,17217,128,1,1009,0
8,16255,30821,inception3,34298,128,1,12028,0
9,17652,12420,deepspeech2,29296,64,1,7762,0
10,19052,1917,inception3,20174,128,1,748,0
11,20358,11842,inception3,27290,128,1,4621,0
12,20617,2387,bert,21618,128,1,667,0
13,21461,468144,inception3,167129,64,1,97112,0
14,22212,19974,deepspeech2,40938,64,1,12484,0
15,24137,279272,vgg16,45808,64,8,14447,0
16,32032,34869,resnet50,46340,128,1,9539,0
17,36507,38918,inception3,59290,128,1,15189,0
18,37686,181793,resnet50,77535,64,1,26566,0
19,38568,3837,deepspeech2,40472,32,1,1269,0
20,39037,412571,inception3,167413,64,1,85584,0
21,39092,8180,inception3,41637,64,1,1697,0
22,39134,9320,gpt2,42546,256,1,2274,0
23,40071,13405,deepspeech2,46860,64,2,4526,0
24,40647,71588,deepspeech2,61090,64,4,13628,0
25,41364,101581,resnet50,63630,64,1,14844,0
26,44699,3507524,bert,917121,64,1,581615,0
27,45818,2700,inception3,47398,128,1,1053,0
28,47051,1393776,vgg16,843562,128,1,531007,0
29,47455,816916,bert,250645,64,1,135460,0
30,47492,1990,deepspeech2,49358,64,1,1244,0
31,48082,695025,vgg16,254401,64,1,137546,0
32,48302,11695,gpt2,49422,256,8,747,0
33,49373,6501532,resnet50,918236,128,4,579242,0
34,59322,12517,vgg16,73615,256,1,9528,0
35,61005,6911,resnet50,62519,64,1,1009,0
36,61307,181556,resnet50,74113,64,8,8537,0
37,64667,151245,resnet50,97820,64,1,22102,0
38,67057,5921,bert,68108,128,4,700,0
39,69046,22480,gpt2,71868,128,2,1881,0
40,72602,3840166,resnet50,914377,64,1,561183,0
41,74761,90995,inception3,103075,64,1,18876,0
42,77100,2798,bert,78274,128,1,782,0
43,77755,3378,vgg16,78758,64,1,668,0
44,83698,11834,inception3,87380,64,1,2455,0
45,88599,6206,bert,90142,64,1,1029,0
46,88863,82236,resnet50,106889,64,1,12017,0
47,90967,120223,gpt2,115640,128,1,16449,0
48,92850,353497,vgg16,197786,64,1,69957,0
49,93778,5785,deepspeech2,99202,64,1,3616,0
50,94912,12029,inception3,101954,128,1,4694,0
51,95922,13090,inception3,103585,128,1,5109,0
52,99804,798986,gpt2,263780,128,1,109317,0
53,100846,36489,vgg16,111678,64,1,7221,0
54,103518,21424,vgg16,106064,256,16,1697,0
55,104173,579953,vgg16,276333,64,1,114773,0
56,107390,2231,bert,108326,128,1,624,0
57,110839,22472,vgg16,117509,64,1,4447,0
58,111766,8052,deepspeech2,119315,64,1,5033,0
59,113024,1891,inception3,114131,128,1,738,0
60,116819,7881,vgg16,121323,128,1,3002,0
61,118749,13875,resnet50,121790,64,1,2027,0
62,119749,37009,inception3,131264,64,1,7677,0
63,120125,2236,deepspeech2,121234,32,1,739,0
64,120714,312634,gpt2,145786,128,8,16715,0
65,122518,10372,bert,126870,128,1,2901,0
66,122790,6624,resnet50,125508,128,1,1812,0
67,126368,3256,resnet50,129018,256,1,1766,0
68,126836,16782,bert,133877,128,1,4694,0
69,130471,13312,bert,133782,64,1,2207,0
70,131027,1990,deepspeech2,132014,32,1,658,0
71,135759,19952,vgg16,147161,128,1,7601,0
72,137597,4730,resnet50,139538,128,1,1294,0
73,138649,260951,bert,203555,64,1,43270,0
74,139743,3543,vgg16,143789,256,1,2697,0
75,141324,5143,bert,142603,64,1,852,0
76,142654,21015,bert,145504,64,8,1900,0
77,143215,1613332,gpt2,272601,128,8,86257,0
78,143564,164128,inception3,194634,64,1,34046,0
79,144640,106029,gpt2,153143,128,8,5668,0
80,148720,272436,deepspeech2,283894,32,1,90116,0
81,150185,3256,bert,151551,128,1,911,0
82,150302,22417,vgg16,152041,64,8,1159,0
83,152878,901484,vgg16,668055,128,1,343451,0
84,154820,4122,vgg16,157175,128,1,1570,0
85,158393,2727247,gpt2,419698,256,8,174203,0
86,158712,160215,inception3,252504,128,1,62528,0
87,160760,4971,deepspeech2,163226,32,1,1644,0
88,160851,11188,gpt2,163147,128,1,1530,0
89,162438,12207,inception3,166236,64,1,2532,0
90,162917,10114,gpt2,166619,256,1,2468,0
91,163302,98312,deepspeech2,212081,32,1,32519,0
92,166427,106732,resnet50,189823,64,1,15597,0
93,166596,6224729,inception3,1026822,128,8,573484,0
94,167704,80713,vgg16,191663,64,1,15973,0
95,170590,246406,bert,231878,64,1,40858,0
96,171011,17270,deepspeech2,187202,64,1,10794,0
97,171365,17369,inception3,176769,64,1,3603,0
98,174553,9394,inception3,177476,64,1,1948,0
99,175378,2713,bert,176516,128,1,759,0
