job_id,submit_time,iteration,model_name,ddl,batch_size,num_gpu,duration,best_effort
0,0,1514793,deepspeech2,632765,32,1,501063,1
1,129,3877,inception3,608,64,1,804,1
2,1822,385659,deepspeech2,132075,64,1,241049,0
3,3120,8384,inception3,5271,64,1,1739,0
4,3385,33388,resnet50,7408,64,1,4879,1
5,4001,2721,vgg16,5254,128,1,1036,0
6,4538,17072,gpt2,6003,128,1,2335,1
7,5487,86836,inception3,25543,128,2,18637,1
8,6886,599131,inception3,137813,64,1,124284,0
9,6975,2424,deepspeech2,8060,64,1,1515,0
10,7001,8498,deepspeech2,7830,32,16,659,1
11,8627,4730,vgg16,10439,128,1,1802,1
12,9137,60835,inception3,27448,128,2,13056,0
13,10430,5462,vgg16,13241,256,1,4158,0
14,10432,2669,gpt2,11011,256,1,651,1
15,10962,4861,vgg16,12375,64,1,962,0
16,12113,138046,gpt2,31652,128,1,18887,1
17,12347,6960,resnet50,13192,256,4,1124,0
18,14961,780518,vgg16,444099,128,1,297365,0
19,17047,25331,resnet50,28857,256,1,13741,0
20,17075,14684,deepspeech2,22267,64,1,9178,1
21,17098,64945,resnet50,26152,128,1,17767,0
22,17800,135653,gpt2,46827,256,1,33107,1
23,20319,11349,deepspeech2,27909,64,1,7093,1
24,20751,9835,vgg16,26057,128,1,3747,0
25,20971,106966,gpt2,41327,128,1,14635,1
26,21464,109810,bert,28492,64,4,10603,1
27,21491,20254,deepspeech2,34138,64,1,12659,1
28,21716,382094,gpt2,123139,256,1,93254,1
29,22235,89206,resnet50,39604,256,4,14409,1
30,22851,8455,vgg16,26167,128,1,3221,0
31,23090,30446,resnet50,24900,128,8,1841,1
32,23326,6421,bert,24127,64,1,1064,0
33,23548,175101,resnet50,89349,128,1,47902,0
34,24102,167092,deepspeech2,75801,32,1,55270,1
35,24410,2173750,bert,342520,128,8,217500,1
36,24430,16651,vgg16,27486,256,4,3587,1
37,26066,11713,inception3,32362,128,1,4571,0
38,26797,8989,gpt2,27944,128,1,1229,0
39,27722,55247,resnet50,42297,128,1,15114,0
40,27908,6224,vgg16,28347,256,8,778,0
41,32316,1122485,inception3,212641,64,1,232849,1
42,34086,48276,vgg16,61655,256,1,36749,1
43,34201,3011,gpt2,34792,256,1,735,1
44,34566,5508,bert,36867,128,1,1540,0
45,35716,62364,vgg16,44232,64,1,12342,0
46,36834,26640,gpt2,41402,128,1,3644,1
47,39314,113247,inception3,88640,128,1,44197,1
48,39808,32185,inception3,58086,128,1,12560,0
49,41402,70070,deepspeech2,46514,32,8,7138,0
50,42401,15329,gpt2,43648,128,1,2097,1
51,42726,83171,vgg16,51725,128,8,6127,1
52,43524,191995,resnet50,54412,64,2,16217,0
53,45451,70057,deepspeech2,55762,64,16,7452,1
54,47135,10605,gpt2,49027,128,1,1451,1
55,47769,223395,resnet50,72112,64,1,32645,0
56,48569,73375,resnet50,54627,128,4,6537,1
57,48601,7702,bert,48997,64,8,696,1
58,48851,314211,deepspeech2,82299,32,8,32009,0
59,50288,9496,inception3,51515,64,1,1969,1
60,50769,47011,bert,56448,64,1,7795,1
61,50940,5813,deepspeech2,52697,32,1,1922,1
62,51657,8368,deepspeech2,54351,64,2,2825,1
63,52749,27627,bert,60790,128,1,7728,1
64,53759,922383,bert,219303,128,1,258014,0
65,54182,1483932,resnet50,312233,64,1,216854,0
66,54702,9099,gpt2,55787,256,2,1307,1
67,55341,19418,inception3,57186,128,8,1788,1
68,56698,8518,deepspeech2,60287,32,1,2817,1
69,57360,89108,deepspeech2,78052,32,1,29475,0
70,57810,3062,vgg16,59006,256,1,2331,1
71,58415,4982,vgg16,59302,64,1,986,1
72,58442,280001,bert,85422,64,1,46429,0
73,58482,3359,vgg16,60885,256,1,2557,0
74,59576,42685,bert,61698,64,4,4121,0
75,63253,2206,deepspeech2,64122,32,1,729,1
76,64063,3826,resnet50,65211,128,1,1046,1
77,64513,27184,vgg16,71738,64,1,5379,0
78,64681,73426,gpt2,76044,256,1,17920,1
79,65309,2975021,vgg16,702012,64,1,588761,1
80,68928,41127,vgg16,71326,64,4,2787,0
81,70253,34245,deepspeech2,74366,64,8,4623,0
82,70951,17541,resnet50,77347,256,1,9516,0
83,72722,13684,deepspeech2,74663,64,16,1455,1
84,72960,26995,gpt2,75677,128,1,3693,0
85,73609,1737,inception3,74203,128,1,678,0
86,76351,3219,resnet50,77191,128,1,880,1
