job_id,user,num_gpu,batch_size,submit_time,iterations,model_name,duration,interval,expect_time_list,expect_value_list,best_effort,job_type
0,user0,1,256,0,7246,resnet50,3930,0,5896,10,0,strict
1,user1,1,256,4686,19793,gpt2,4830,0,7246,10,0,strict
2,user2,1,32,9116,2274,deepspeech2,752,0,1128,10,0,strict
3,user3,1,64,9203,17316,deepspeech2,10823,0,16234,10,0,strict
4,user4,1,64,9336,2156,deepspeech2,1347,0,2021,10,0,strict
5,user5,1,128,12043,351947,resnet50,96282,0,144423,10,0,strict
6,user6,8,128,14041,1334620,vgg16,98328,0,147493,10,0,strict
7,user7,1,128,15703,3689,resnet50,1009,0,1514,10,0,strict
8,user8,1,128,16255,30821,inception3,12028,0,18043,10,0,strict
9,user9,1,64,17652,12420,deepspeech2,7762,0,11644,10,0,strict
10,user10,1,128,19052,1917,inception3,748,0,1122,10,0,strict
11,user11,1,128,20358,11842,inception3,4621,0,6932,10,0,strict
12,user12,1,128,20617,2387,bert,667,0,1001,10,0,strict
13,user13,1,64,21461,468144,inception3,97112,0,145668,10,0,strict
14,user14,1,64,22212,19974,deepspeech2,12484,0,18726,10,0,strict
15,user15,8,64,24137,279272,vgg16,14447,0,21671,10,0,strict
16,user16,1,128,32032,34869,resnet50,9539,0,14308,10,0,strict
17,user17,1,128,36507,38918,inception3,15189,0,22783,10,0,strict
18,user18,1,64,37686,181793,resnet50,26566,0,39849,10,0,strict
19,user19,1,32,38568,3837,deepspeech2,1269,0,1904,10,0,strict
20,user20,1,64,39037,412571,inception3,85584,0,128376,10,0,strict
21,user21,1,64,39092,8180,inception3,1697,0,2545,10,0,strict
22,user22,1,256,39134,9320,gpt2,2274,0,3412,10,0,strict
23,user23,2,64,40071,13405,deepspeech2,4526,0,6789,10,0,strict
24,user24,4,64,40647,71588,deepspeech2,13628,0,20443,10,0,strict
25,user25,1,64,41364,101581,resnet50,14844,0,22266,10,0,strict
26,user26,1,64,44699,3507524,bert,581615,0,872422,10,0,strict
27,user27,1,128,45818,2700,inception3,1053,0,1580,10,0,strict
28,user28,1,128,47051,1393776,vgg16,531007,0,796511,10,0,strict
29,user29,1,64,47455,816916,bert,135460,0,203190,10,0,strict
30,user30,1,64,47492,1990,deepspeech2,1244,0,1866,10,0,strict
31,user31,1,64,48082,695025,vgg16,137546,0,206319,10,0,strict
32,user32,8,256,48302,11695,gpt2,747,0,1120,10,0,strict
33,user33,4,128,49373,6501532,resnet50,579242,0,868863,10,0,strict
34,user34,1,256,59322,12517,vgg16,9528,0,14293,10,0,strict
35,user35,1,64,61005,6911,resnet50,1009,0,1514,10,0,strict
36,user36,8,64,61307,181556,resnet50,8537,0,12806,10,0,strict
37,user37,1,64,64667,151245,resnet50,22102,0,33153,10,0,strict
38,user38,4,128,67057,5921,bert,700,0,1051,10,0,strict
39,user39,2,128,69046,22480,gpt2,1881,0,2822,10,0,strict
40,user40,1,64,72602,3840166,resnet50,561183,0,841775,10,0,strict
41,user41,1,64,74761,90995,inception3,18876,0,28314,10,0,strict
42,user42,1,128,77100,2798,bert,782,0,1174,10,0,strict
43,user43,1,64,77755,3378,vgg16,668,0,1003,10,0,strict
44,user44,1,64,83698,11834,inception3,2455,0,3682,10,0,strict
45,user45,1,64,88599,6206,bert,1029,0,1543,10,0,strict
46,user46,1,64,88863,82236,resnet50,12017,0,18026,10,0,strict
47,user47,1,128,90967,120223,gpt2,16449,0,24673,10,0,strict
48,user48,1,64,92850,353497,vgg16,69957,0,104936,10,0,strict
