job_id,user,num_gpu,batch_size,submit_time,iterations,model_name,duration,interval,expect_time_list,expect_value_list,best_effort,job_type
0,user0,1,4096,3715485,2011,cifar10,5644,0,4511,10,0,strict
1,user1,8,32768,3717550,1548,ncf,66,0,33,10,0,strict
2,user2,1,64,3721209,14577,yolov3,33276,0,37719,10,0,strict
3,user3,1,32768,3721260,1548,ncf,32,0,36,10,0,strict
4,user4,1,32768,3721263,1548,ncf,32,0,44,10,0,strict
5,user5,1,320,3721346,2264,deepspeech2,22997,0,19400,10,0,strict
6,user6,8,6400,3721372,23972,imagenet,96857,0,127809,10,0,strict
7,user7,8,32768,3721372,1548,ncf,66,0,56,10,0,strict
8,user8,1,640,3721433,1423,deepspeech2,28907,0,38978,10,0,strict
9,user9,8,2048,3721556,3178,cifar10,826,0,1221,10,0,strict
10,user10,8,320,3721556,2264,deepspeech2,3500,0,2106,10,0,strict
11,user11,8,64,3721567,14577,yolov3,23859,0,19270,10,0,strict
12,user12,8,320,3721578,2264,deepspeech2,3500,0,3673,10,0,strict
13,user13,1,3200,3724269,42123,imagenet,621669,0,509951,10,0,strict
14,user14,1,6400,3725434,23972,imagenet,707549,0,408262,10,0,strict
15,user15,1,64,3725453,14577,yolov3,33276,0,24502,10,0,strict
16,user16,1,64,3725473,14577,yolov3,33276,0,20773,10,0,strict
17,user17,1,3200,3725498,42123,imagenet,621669,0,459134,10,0,strict
18,user18,1,320,3725512,2264,deepspeech2,22997,0,18351,10,0,strict
19,user19,1,32768,3725718,1548,ncf,32,0,35,10,0,strict
20,user20,1,64,3725752,14577,yolov3,33276,0,38227,10,0,strict
21,user21,1,3200,3725812,42123,imagenet,621669,0,376476,10,0,strict
22,user22,4,3200,3726141,42123,imagenet,168388,0,192280,10,0,strict
23,user23,4,64,3726175,14577,yolov3,11083,0,9736,10,0,strict
24,user24,4,32768,3726184,1548,ncf,27,0,20,10,0,strict
25,user25,4,384,3726192,480,bert,3363,0,3851,10,0,strict
26,user26,4,4096,3726227,2011,cifar10,1588,0,1417,10,0,strict
27,user27,4,6400,3726239,23972,imagenet,191477,0,256101,10,0,strict
28,user28,4,32768,3726264,1548,ncf,27,0,34,10,0,strict
29,user29,4,384,3726405,480,bert,3363,0,4197,10,0,strict
30,user30,4,64,3726517,14577,yolov3,11083,0,15493,10,0,strict
31,user31,1,3200,3726831,42123,imagenet,621669,0,496936,10,0,strict
32,user32,4,640,3730004,1423,deepspeech2,7382,0,10663,10,0,strict
33,user33,1,4096,3730108,2011,cifar10,5644,0,5804,10,0,strict
34,user34,8,64,3730857,14577,yolov3,23859,0,31188,10,0,strict
35,user35,1,4096,3733274,2011,cifar10,5644,0,3197,10,0,strict
36,user36,1,4096,3733366,2011,cifar10,5644,0,4925,10,0,strict
37,user37,1,2048,3733401,3178,cifar10,4460,0,3896,10,0,strict
38,user38,1,2048,3733405,3178,cifar10,4460,0,5075,10,0,strict
39,user39,1,32768,3733548,1548,ncf,32,0,24,10,0,strict
40,user40,1,6400,3733772,23972,imagenet,707549,0,1043388,10,0,strict
41,user41,1,32768,3737478,1548,ncf,32,0,20,10,0,strict
42,user42,1,640,3740819,1423,deepspeech2,28907,0,35302,10,0,strict
43,user43,1,64,3742528,14577,yolov3,33276,0,38669,10,0,strict
44,user44,1,64,3743222,14577,yolov3,33276,0,20146,10,0,strict
45,user45,8,320,3744271,2264,deepspeech2,3500,0,4077,10,0,strict
46,user46,1,640,3744449,1423,deepspeech2,28907,0,42018,10,0,strict
47,user47,1,384,3744534,480,bert,13950,0,12963,10,0,strict
48,user48,1,32768,3744539,1548,ncf,32,0,43,10,0,strict
49,user49,1,6400,3744599,23972,imagenet,707549,0,480560,10,0,strict
50,user50,1,320,3744645,2264,deepspeech2,22997,0,15711,10,0,strict
51,user51,1,6400,3745177,23972,imagenet,707549,0,1028016,10,0,strict
52,user52,1,32768,3745428,1548,ncf,32,0,47,10,0,strict
53,user53,8,3200,3746451,42123,imagenet,85231,0,110538,10,0,strict
54,user54,1,2048,3747419,3178,cifar10,4460,0,4378,10,0,strict
55,user55,1,384,3747668,480,bert,13950,0,12895,10,0,strict
56,user56,4,640,3748109,1423,deepspeech2,7382,0,7215,10,0,strict
57,user57,1,4096,3748578,2011,cifar10,5644,0,2911,10,0,strict
58,user58,1,6400,3749539,23972,imagenet,707549,0,721240,10,0,strict
59,user59,1,64,3749547,14577,yolov3,33276,0,46677,10,0,strict
60,user60,1,6400,3754804,23972,imagenet,707549,0,712856,10,0,strict
61,user61,1,384,3755548,480,bert,13950,0,15588,10,0,strict
62,user62,1,32768,3755643,1548,ncf,32,0,36,10,0,strict
63,user63,1,3200,3755662,42123,imagenet,621669,0,317781,10,0,strict
64,user64,1,384,3755764,480,bert,13950,0,19244,10,0,strict
65,user65,1,3200,3756388,42123,imagenet,621669,0,453413,10,0,strict
66,user66,1,64,3757778,14577,yolov3,33276,0,23765,10,0,strict
67,user67,1,6400,3758174,23972,imagenet,707549,0,957509,10,0,strict
68,user68,1,2048,3758334,3178,cifar10,4460,0,2531,10,0,strict
69,user69,1,320,3758766,2264,deepspeech2,22997,0,24350,10,0,strict
70,user70,1,2048,3760025,3178,cifar10,4460,0,4588,10,0,strict
71,user71,1,384,3762189,480,bert,13950,0,16934,10,0,strict
72,user72,1,2048,3762198,3178,cifar10,4460,0,3757,10,0,strict
73,user73,1,64,3762236,14577,yolov3,33276,0,33642,10,0,strict
74,user74,1,3200,3763468,42123,imagenet,621669,0,824662,10,0,strict
75,user75,1,64,3764629,14577,yolov3,33276,0,43515,10,0,strict
76,user76,1,640,3765479,1423,deepspeech2,28907,0,28294,10,0,strict
77,user77,4,4096,3765788,2011,cifar10,1588,0,1813,10,0,strict
78,user78,4,6400,3766675,23972,imagenet,191477,0,239399,10,0,strict
79,user79,4,6400,3766683,23972,imagenet,191477,0,191695,10,0,strict
80,user80,4,2048,3766782,3178,cifar10,1253,0,1832,10,0,strict
81,user81,4,2048,3766791,3178,cifar10,1253,0,708,10,0,strict
82,user82,4,2048,3766797,3178,cifar10,1253,0,1102,10,0,strict
83,user83,4,384,3766813,480,bert,3363,0,2100,10,0,strict
84,user84,4,640,3766817,1423,deepspeech2,7382,0,7765,10,0,strict
85,user85,4,3200,3767003,42123,imagenet,168388,0,90976,10,0,strict
86,user86,4,4096,3767004,2011,cifar10,1588,0,1762,10,0,strict
87,user87,4,4096,3767060,2011,cifar10,1588,0,1257,10,0,strict
88,user88,4,640,3767078,1423,deepspeech2,7382,0,8643,10,0,strict
89,user89,4,64,3767086,14577,yolov3,11083,0,12533,10,0,strict
90,user90,4,64,3767087,14577,yolov3,11083,0,7418,10,0,strict
91,user91,4,384,3767100,480,bert,3363,0,3580,10,0,strict
92,user92,4,320,3767101,2264,deepspeech2,5938,0,4596,10,0,strict
93,user93,4,384,3767116,480,bert,3363,0,3792,10,0,strict
94,user94,4,6400,3767140,23972,imagenet,191477,0,116931,10,0,strict
95,user95,4,320,3767148,2264,deepspeech2,5938,0,3299,10,0,strict
96,user96,4,3200,3767157,42123,imagenet,168388,0,227476,10,0,strict
97,user97,4,384,3767179,480,bert,3363,0,4762,10,0,strict
98,user98,4,320,3767212,2264,deepspeech2,5938,0,6404,10,0,strict
99,user99,4,2048,3767256,3178,cifar10,1253,0,1293,10,0,strict
100,user100,4,2048,3767270,3178,cifar10,1253,0,1432,10,0,strict
101,user101,4,6400,3767280,23972,imagenet,191477,0,174786,10,0,strict
102,user102,4,32768,3767281,1548,ncf,27,0,21,10,0,strict
103,user103,4,3200,3767297,42123,imagenet,168388,0,101229,10,0,strict
104,user104,4,32768,3767306,1548,ncf,27,0,38,10,0,strict
105,user105,4,32768,3767307,1548,ncf,27,0,16,10,0,strict
106,user106,4,4096,3767307,2011,cifar10,1588,0,1485,10,0,strict
107,user107,4,4096,3767307,2011,cifar10,1588,0,1926,10,0,strict
108,user108,4,6400,3767316,23972,imagenet,191477,0,140694,10,0,strict
109,user109,4,32768,3767614,1548,ncf,27,0,33,10,0,strict
110,user110,8,6400,3770473,23972,imagenet,96857,0,144773,10,0,strict
111,user111,8,384,3770473,480,bert,2480,0,2066,10,0,strict
112,user112,8,640,3770475,1423,deepspeech2,3882,0,2932,10,0,strict
113,user113,1,64,3772342,14577,yolov3,33276,0,40802,10,0,strict
114,user114,1,4096,3774441,2011,cifar10,5644,0,5813,10,0,strict
115,user115,1,6400,3776502,23972,imagenet,707549,0,843768,10,0,strict
116,user116,2,320,3776602,2264,deepspeech2,11763,0,7206,10,0,strict
117,user117,1,3200,3786671,42123,imagenet,621669,0,876073,10,0,strict
118,user118,8,320,3789974,2264,deepspeech2,3500,0,5115,10,0,strict
119,user119,8,32768,3796868,1548,ncf,66,0,48,10,0,strict
120,user120,1,64,3801152,14577,yolov3,33276,0,24421,10,0,strict
121,user121,1,384,3805242,480,bert,13950,0,14267,10,0,strict
122,user122,8,64,3809382,14577,yolov3,23859,0,22297,10,0,strict
123,user123,8,320,3809382,2264,deepspeech2,3500,0,3407,10,0,strict
124,user124,8,384,3809382,480,bert,2480,0,1546,10,0,strict
125,user125,8,64,3809383,14577,yolov3,23859,0,29253,10,0,strict
126,user126,8,384,3809384,480,bert,2480,0,2581,10,0,strict
127,user127,8,6400,3809389,23972,imagenet,96857,0,116233,10,0,strict
128,user128,1,640,3813244,1423,deepspeech2,28907,0,36540,10,0,strict
129,user129,1,4096,3813258,2011,cifar10,5644,0,4833,10,0,strict
130,user130,1,320,3815724,2264,deepspeech2,22997,0,24366,10,0,strict
131,user131,8,3200,3818013,42123,imagenet,85231,0,78749,10,0,strict
132,user132,8,6400,3818014,23972,imagenet,96857,0,67342,10,0,strict
133,user133,8,32768,3818014,1548,ncf,66,0,54,10,0,strict
134,user134,8,384,3818147,480,bert,2480,0,3457,10,0,strict
135,user135,8,320,3818147,2264,deepspeech2,3500,0,4576,10,0,strict
136,user136,8,6400,3818255,23972,imagenet,96857,0,140258,10,0,strict
137,user137,8,384,3818256,480,bert,2480,0,2590,10,0,strict
138,user138,16,64,3821474,14577,yolov3,17119,0,10608,10,0,strict
139,user139,16,2048,3821725,3178,cifar10,490,0,524,10,0,strict
140,user140,16,384,3822106,480,bert,1334,0,1332,10,0,strict
141,user141,1,640,3824184,1423,deepspeech2,28907,0,35900,10,0,strict
142,user142,1,32768,3829875,1548,ncf,32,0,41,10,0,strict
143,user143,1,64,3832797,14577,yolov3,33276,0,36090,10,0,strict
144,user144,1,384,3834467,480,bert,13950,0,8132,10,0,strict
