job_id,user,num_gpu,batch_size,submit_time,iterations,model_name,duration,interval,expect_time_list,expect_value_list,best_effort,job_type
0,user0,1,256,0,1282877,vgg16,976570,0,771220,10,0,strict
1,user1,4,64,219316,26446831,vgg16,1792395,0,1846303,10,0,strict
2,user2,1,64,251674,118680,vgg16,23487,0,29458,10,0,strict
3,user3,1,128,251699,83535,bert,23367,0,28010,10,0,strict
4,user4,1,64,256418,75833,resnet50,11082,0,16466,10,0,strict
5,user5,1,128,256458,30901,vgg16,11773,0,12677,10,0,strict
6,user6,1,256,256459,26815,resnet50,14547,0,7985,10,0,strict
7,user7,1,128,258863,82012,gpt2,11221,0,7119,10,0,strict
8,user8,1,64,258886,77702,resnet50,11355,0,12105,10,0,strict
9,user9,1,64,258888,93783,resnet50,13705,0,14325,10,0,strict
10,user10,1,128,259585,29604,vgg16,11279,0,8337,10,0,strict
11,user11,1,256,259600,21442,resnet50,11632,0,10023,10,0,strict
12,user12,1,128,259609,40666,resnet50,11125,0,14371,10,0,strict
13,user13,1,64,262503,70769,bert,11735,0,8361,10,0,strict
14,user14,1,64,262517,54415,inception3,11288,0,9407,10,0,strict
15,user15,1,64,262523,59317,vgg16,11739,0,11773,10,0,strict
16,user16,4,128,268877,684246,bert,80967,0,60813,10,0,strict
17,user17,4,256,273432,893536,gpt2,78103,0,57787,10,0,strict
18,user18,4,256,274530,367863,vgg16,79249,0,100882,10,0,strict
19,user19,4,256,276110,2081687,gpt2,181958,0,174532,10,0,strict
20,user20,1,256,308826,101695,gpt2,24820,0,32326,10,0,strict
21,user21,1,128,309095,86034,bert,24066,0,24878,10,0,strict
22,user22,1,64,310067,126992,vgg16,25132,0,12630,10,0,strict
23,user23,1,64,310087,116389,inception3,24144,0,32024,10,0,strict
24,user24,1,256,314356,821,vgg16,625,0,478,10,0,strict
25,user25,1,128,314378,2380,bert,666,0,952,10,0,strict
26,user26,1,64,328412,133235,bert,22093,0,16249,10,0,strict
27,user27,1,64,328414,34870,deepspeech2,21795,0,15168,10,0,strict
28,user28,4,128,365624,790238,bert,93509,0,50776,10,0,strict
29,user29,4,64,368092,2764016,resnet50,151048,0,208541,10,0,strict
30,user30,1,256,396126,63294,vgg16,48182,0,58765,10,0,strict
31,user31,1,64,409806,106382,inception3,22068,0,28072,10,0,strict
32,user32,1,128,409827,80897,resnet50,22131,0,11888,10,0,strict
33,user33,4,128,438136,1600493,vgg16,183527,0,140841,10,0,strict
34,user34,2,64,445554,44581,vgg16,4934,0,4031,10,0,strict
35,user35,1,256,485979,1201,resnet50,652,0,609,10,0,strict
36,user36,1,256,499454,35029,resnet50,19003,0,21545,10,0,strict
37,user37,1,256,552756,97594,gpt2,23819,0,31668,10,0,strict
38,user38,1,32,559930,71134,deepspeech2,23530,0,35126,10,0,strict
39,user39,1,256,571052,43960,resnet50,23848,0,32735,10,0,strict
40,user40,1,64,571334,4194,resnet50,613,0,766,10,0,strict
41,user41,2,64,580807,2075212,inception3,253382,0,358909,10,0,strict
42,user42,2,64,587485,2298351,vgg16,254365,0,233499,10,0,strict
43,user43,2,64,595709,2236983,bert,258806,0,172921,10,0,strict
44,user44,1,64,625627,1036,deepspeech2,648,0,574,10,0,strict
45,user45,1,128,627863,3176,resnet50,869,0,933,10,0,strict
46,user46,1,128,658517,2398,bert,671,0,926,10,0,strict
47,user47,1,128,658521,1921,vgg16,732,0,1057,10,0,strict
48,user48,1,256,667980,95283,gpt2,23255,0,17494,10,0,strict
49,user49,1,128,667990,59365,inception3,23169,0,21415,10,0,strict
50,user50,4,256,693194,878227,vgg16,189197,0,118259,10,0,strict
51,user51,4,64,693196,1912370,bert,184658,0,149371,10,0,strict
52,user52,2,256,714019,552311,gpt2,79358,0,59756,10,0,strict
53,user53,1,128,743407,2401,resnet50,657,0,683,10,0,strict
54,user54,1,128,917930,2377,bert,665,0,687,10,0,strict
55,user55,1,256,977077,24209,vgg16,18429,0,20179,10,0,strict
56,user56,2,64,996104,1914417,inception3,233749,0,208463,10,0,strict
57,user57,1,64,1060037,4589,bert,761,0,738,10,0,strict
58,user58,1,128,1070705,80543,bert,22530,0,30223,10,0,strict
59,user59,1,256,1070705,34231,resnet50,18570,0,25341,10,0,strict
60,user60,1,128,1070742,67759,resnet50,18537,0,18774,10,0,strict
61,user61,1,128,1070743,138816,gpt2,18993,0,25034,10,0,strict
62,user62,1,256,1085610,40100,resnet50,21754,0,26563,10,0,strict
63,user63,1,128,1085610,79584,bert,22262,0,31872,10,0,strict
64,user64,1,256,1088036,36461,resnet50,19780,0,11949,10,0,strict
65,user65,1,128,1088037,51254,vgg16,19527,0,16560,10,0,strict
66,user66,4,128,1089801,23357,resnet50,2081,0,2221,10,0,strict
67,user67,4,256,1090064,27134,resnet50,4383,0,5460,10,0,strict
68,user68,4,128,1090067,38781,vgg16,4447,0,3776,10,0,strict
69,user69,4,128,1094822,34832,gpt2,2090,0,1713,10,0,strict
70,user70,4,128,1108307,1531852,vgg16,175656,0,212997,10,0,strict
71,user71,4,32,1122029,1405834,deepspeech2,186353,0,260268,10,0,strict
72,user72,4,128,1122645,48454,resnet50,4317,0,5832,10,0,strict
73,user73,4,32,1122645,32280,deepspeech2,4279,0,2793,10,0,strict
74,user74,1,32,1148546,77667,deepspeech2,25691,0,21311,10,0,strict
75,user75,1,128,1148547,187091,gpt2,25598,0,23804,10,0,strict
76,user76,1,128,1151950,51835,inception3,20230,0,29557,10,0,strict
77,user77,4,128,1176018,1572342,vgg16,180299,0,184612,10,0,strict
78,user78,4,64,1179128,2199842,inception3,188130,0,94752,10,0,strict
79,user79,1,128,1184261,182216,gpt2,24931,0,16904,10,0,strict
80,user80,1,256,1184265,100167,gpt2,24447,0,21546,10,0,strict
81,user81,1,64,1196785,120282,vgg16,23804,0,18201,10,0,strict
82,user82,1,128,1196788,87575,resnet50,23958,0,20536,10,0,strict
83,user83,1,128,1209585,2946,resnet50,806,0,686,10,0,strict
84,user84,4,256,1221987,2082648,gpt2,182042,0,212448,10,0,strict
85,user85,4,256,1222004,1135469,resnet50,183412,0,120646,10,0,strict
86,user86,1,64,1281443,158620,resnet50,23180,0,27194,10,0,strict
87,user87,1,128,1281444,86695,bert,24251,0,17347,10,0,strict
88,user88,1,128,1282384,61341,inception3,23940,0,20566,10,0,strict
89,user89,1,256,1282399,43358,resnet50,23521,0,16179,10,0,strict
90,user90,4,64,1305672,2182922,inception3,186683,0,246482,10,0,strict
