job_id,pending_time,total_executed_time,progress,submit_time,end_time,preempt,resume,num_gpu,expect_time,expect_time_list,expect_value_list,miss_ddl,gt_miss_ddl,gt_expect_time,best_effort,duration,queue_priority
0,960,3934,3934.0,0,4894.5,8,9,1,5760,5896,10,0.0,0,5896,0,3930,0
1,1314,4835,4835.0,4686,10835.5,10,11,1,7074,7246,10,0.0,0,7246,0,4830,0
2,4,754,754.0,9116,9874.0,3,4,1,1128,1128,10,0.0,0,1128,0,752,1
3,3757,10834,10834.0,9203,23794.5,22,23,1,15997,16234,10,0.0,0,16234,0,10823,0
4,24,1348,1348.0,9336,10708.5,2,3,1,1944,2021,10,0.0,0,2021,0,1347,0
5,37637,96382,96382.0,12043,146062.5,200,201,1,144197,144423,10,0.0,0,144423,0,96282,0
6,38039,98740,98740.0,14041,150820.0,205,206,8,147479,147493,10,0.0,0,147493,0,98328,0
7,137,1011,1011.0,15703,16851.5,4,5,1,1514,1514,10,0.0,0,1514,0,1009,1
8,4145,12041,12041.0,16255,32441.0,25,26,1,17825,18043,10,0.0,0,18043,0,12028,0
9,2748,7770,7770.0,17652,28170.5,16,17,1,11628,11644,10,0.0,0,11644,0,7762,0
10,148,750,750.0,19052,19950.0,3,4,1,1122,1122,10,0.0,0,1122,0,748,1
11,1242,4626,4626.0,20358,26226.0,9,10,1,6762,6932,10,0.0,0,6932,0,4621,0
12,23,668,668.0,20617,21308.5,2,3,1,1001,1001,10,0.0,0,1001,0,667,1
13,38059,97213,97213.0,21461,156733.5,202,203,1,145579,145668,10,0.0,0,145668,0,97112,0
14,4428,12497,12497.0,22212,39137.5,26,27,1,18588,18726,10,0.0,0,18726,0,12484,0
15,5143,14509,14509.0,24137,43789.0,30,31,8,21463,21671,10,0.0,0,21671,0,14447,0
16,3488,9549,9549.0,32032,45069.0,19,20,1,14288,14308,10,0.0,0,14308,0,9539,0
17,5733,15205,15205.0,36507,57445.0,31,32,1,22773,22783,10,0.0,0,22783,0,15189,0
18,10074,26594,26594.0,37686,74354.0,55,56,1,39834,39849,10,0.0,0,39849,0,26566,0
19,72,1270,1270.0,38568,39910.5,2,3,1,1752,1904,10,0.0,0,1904,0,1269,0
20,33443,85673,85673.0,39037,158153.5,178,179,1,128243,128376,10,0.0,0,128376,0,85584,0
21,268,1699,1699.0,39092,41059.0,3,4,1,2428,2545,10,0.0,0,2545,0,1697,0
22,466,2276,2276.0,39134,41876.5,4,5,1,3346,3412,10,0.0,0,3412,0,2274,0
23,1449,4536,4536.0,40071,46056.0,9,10,2,6729,6789,10,0.0,0,6789,0,4526,0
24,4953,13671,13671.0,40647,59271.5,28,29,4,20313,20443,10,0.0,0,20443,0,13628,0
25,5436,14859,14859.0,41364,61659.5,30,31,1,22236,22266,10,0.0,0,22266,0,14844,0
26,230821,582221,582221.0,44699,857741.5,1212,1213,1,872341,872422,10,0.0,0,872422,0,581615,0
27,22,1054,1054.0,45818,46894.5,2,3,1,1462,1580,10,0.0,0,1580,0,1053,0
28,210709,531561,531561.0,47051,789321.0,1107,1108,1,796309,796511,10,0.0,0,796511,0,531007,0
29,53345,135601,135601.0,47455,236401.5,282,283,1,203105,203190,10,0.0,0,203190,0,135460,0
30,28,1245,1245.0,47492,48765.5,2,3,1,1708,1866,10,0.0,0,1866,0,1244,0
31,54398,137689,137689.0,48082,240169.5,286,287,1,206318,206319,10,0.0,0,206319,0,137546,0
32,178,755,755.0,48302,49235.0,3,4,8,1120,1120,10,0.0,0,1120,0,747,1
33,227107,581058,581058.0,49373,857538.5,1210,1211,4,868627,868863,10,0.0,0,868863,0,579242,0
34,3318,9538,9538.0,59322,72178.0,19,20,1,14118,14293,10,0.0,0,14293,0,9528,0
35,195,1011,1011.0,61005,62211.5,4,5,1,1514,1514,10,0.0,0,1514,0,1009,1
36,2773,8573,8573.0,61307,72653.0,17,18,8,12613,12806,10,0.0,0,12806,0,8537,0
37,8293,22125,22125.0,64667,95085.5,46,47,1,33013,33153,10,0.0,0,33153,0,22102,0
38,143,704,704.0,67057,67904.5,2,3,4,1051,1051,10,0.0,0,1051,0,700,1
39,314,1885,1885.0,69046,71245.0,3,4,2,2714,2822,10,0.0,0,2822,0,1881,0
40,222598,561768,561768.0,72602,856968.5,1170,1171,1,841558,841775,10,0.0,0,841775,0,561183,0
41,7079,18896,18896.0,74761,100736.0,39,40,1,28199,28314,10,0.0,0,28314,0,18876,0
42,180,784,784.0,77100,78064.0,3,4,1,1174,1174,10,0.0,0,1174,0,782,1
43,5,669,669.0,77755,78429.5,2,3,1,1003,1003,10,0.0,0,1003,0,668,1
44,542,2458,2458.0,83698,86698.0,5,6,1,3662,3682,10,0.0,0,3682,0,2455,0
45,201,1031,1031.0,88599,89831.5,4,5,1,1543,1543,10,0.0,0,1543,0,1029,1
46,4257,12030,12030.0,88863,105150.0,25,26,1,17937,18026,10,0.0,0,18026,0,12017,0
47,5993,16466,16466.0,90967,113426.5,34,35,1,24473,24673,10,0.0,0,24673,0,16449,0
48,27390,70030,70030.0,92850,190270.0,145,146,1,104910,104936,10,0.0,0,104936,0,69957,0
49,1022,3620,3620.0,93778,98420.0,7,8,1,5342,5424,10,0.0,0,5424,0,3616,0
50,1328,4699,4699.0,94912,100939.0,9,10,1,6848,7042,10,0.0,0,7042,0,4694,0
51,1518,5114,5114.0,95922,102554.5,10,11,1,7518,7663,10,0.0,0,7663,0,5109,0
52,42996,109431,109431.0,99804,252231.0,227,228,1,163956,163976,10,0.0,0,163976,0,109317,0
53,2354,7229,7229.0,100846,110429.0,15,16,1,10754,10832,10,0.0,0,10832,0,7221,0
54,162,1707,1707.0,103518,105387.0,3,4,16,2322,2546,10,0.0,0,2546,0,1697,0
55,45107,114893,114893.0,104173,264173.0,239,240,1,172067,172160,10,0.0,0,172160,0,114773,0
56,130,625,625.0,107390,108145.5,2,3,1,936,936,10,0.0,0,936,0,624,1
57,1241,4452,4452.0,110839,116532.0,9,10,1,6521,6670,10,0.0,0,6670,0,4447,0
58,1514,5038,5038.0,111766,118318.5,10,11,1,7514,7549,10,0.0,0,7549,0,5033,0
59,16,740,740.0,113024,113780.0,3,4,1,1107,1107,10,0.0,0,1107,0,738,1
60,781,3005,3005.0,116819,120605.5,6,7,1,4381,4504,10,0.0,0,4504,0,3002,0
61,291,2029,2029.0,118749,121069.5,4,5,1,2931,3041,10,0.0,0,3041,0,2027,0
62,2411,7685,7685.0,119749,129845.5,16,17,1,11291,11515,10,0.0,0,11515,0,7677,0
63,115,741,741.0,120125,120981.0,3,4,1,1109,1109,10,0.0,0,1109,0,739,1
