time,job_id,num_gpu,submit_time,start_time,end_time,ddl,executed_time,JCT,pending_time,preempt,promote,best_effort_job
496.0,0,64,0,0,496.0,5896,496.0,496,0,0,0,0
5900.0,1,32,4686,4686,5900.0,11932,1214.0,1214,0,0,0,0
9610.0,2,32,9116,9116,9610.0,10244,494.0,494,0,0,0,0
9610.0,4,32,9336,9356,9610.0,11357,254.0,274,20,0,0,0
10812.0,3,64,9203,9356,10812.0,25437,1456.0,1609,153,0,0,0
15945,7,32,15703,15703,15945,17217,242,242,0,0,0,0
18864.0,8,16,16255,16255,18864.0,34298,2609.0,2609,0,0,0,0
19346.0,9,64,17652,17652,19346.0,29296,1694.0,1694,0,0,0,0
19346.0,10,16,19052,19104.0,19346.0,20174,242.0,294,52.0,0,0,0
20859,12,16,20617,20617,20859,21618,242,242,0,0,0,0
21341,11,32,20358,20358,21341,27290,983,983,0,0,0,0
23894,14,32,22212,22212,23894,40938,1682,1682,0,0,0,0
29179,5,16,12043,12043,29179,156466,17136,17136,0,0,0,0
33474,15,32,24137,24137,33474,45808,9337,9337,0,0,0,0
33716,16,64,32032,32032,33716,46340,1684,1684,0,0,0,0
39519,19,32,38568,38568,39519,40472,951,951,0,0,0,0
39761,17,8,36507,36507,39761,59290,3254,3254,0,0,0,0
40313,21,16,39092,39277,40313,41637,1036,1221,185,0,0,0
40555,22,8,39134,39277,40555,42546,1278,1421,143,0,0,0
42086,23,4,40071,40071,42086,46860,2015,2015,0,0,0,0
46060,18,16,37686,37686,46060,77535,8374,8374,0,0,0,0
46302,27,32,45818,45818,46302,47398,484,484,0,0,0,0
46784,24,64,40647,40795,46784,61090,5989,6137,148,0,0,0
47026,25,32,41364,41364,47026,63630,5662,5662,0,0,0,0
47988,30,8,47492,47506,47988,49358,482,496,14,0,0,0
49190,32,32,48302,48468,49190,49422,722,888,166,0,0,0
56872,13,8,21461,21581,56872,167129,35291,35411,120,0,0,0
60044,34,64,59322,59322,60044,73615,722,722,0,0,0,0
61549,35,32,61005,61005,61549,62519,544,544,0,0,0,0
67779,38,4,67057,67057,67779,68108,722,722,0,0,0,0
70968,39,2,69046,69046,70968,71868,1922,1922,0,0,0,0
71450,36,32,61307,61307,71450,74113,10143,10143,0,0,0,0
72172,20,2,39037,39037,72172,167413,33135,33135,0,0,0,0
74524,37,32,64667,64667,74524,97820,9857,9857,0,0,0,0
77582,42,16,77100,77100,77582,78274,482,482,0,0,0,0
78544,43,1,77755,77822,78544,78758,722,789,67,0,0,0
81666,31,2,48082,48228,81666,254401,33438,33584,146,0,0,0
81908,6,4,14041,14041,81908,161534,67867,67867,0,0,0,0
82150,41,16,74761,74764,82150,103075,7386,7389,3,0,0,0
84660,44,8,83698,83698,84660,87380,962,962,0,0,0,0
89345,45,8,88599,88599,89345,90142,746,746,0,0,0,0
92649,46,32,88863,88863,92649,106889,3786,3786,0,0,0,0
94500,49,16,93778,93778,94500,99202,722,722,0,0,0,0
95874,50,32,94912,94912,95874,101954,962,962,0,0,0,0
97076,47,16,90967,90967,97076,115640,6109,6109,0,0,0,0
97318,51,16,95922,96114,97318,103585,1204,1396,192,0,0,0
102048,53,32,100846,100846,102048,111678,1202,1202,0,0,0,0
104895,54,64,103518,103518,104895,106064,1377,1377,0,0,0,0
107057,48,32,92850,92889,107057,197786,14168,14207,39,0,0,0
107632,56,16,107390,107390,107632,108326,242,242,0,0,0,0
112008,57,32,110839,110839,112008,117509,1169,1169,0,0,0,0
112730,58,16,111766,111766,112730,119315,964,964,0,0,0,0
113266,59,8,113024,113024,113266,114131,242,242,0,0,0,0
118501,28,64,47051,47266,118501,843562,71235,71450,215,0,0,0
118743,60,32,116819,116819,118743,121323,1924,1924,0,0,0,0
119705,61,32,118749,118983,119705,121790,722,956,234,0,0,0
120427,63,32,120125,120185,120427,121234,242,302,60,0,0,0
122760,62,4,119749,119945,122760,131264,2815,3011,196,0,0,0
123722,65,4,122518,122518,123722,126870,1204,1204,0,0,0,0
123722,66,4,122790,123000,123722,125508,722,932,210,0,0,0
126364,29,8,47455,47506,126364,250645,78858,78909,51,0,0,0
127326,55,16,104173,104173,127326,276333,23153,23153,0,0,0,0
127568,67,4,126368,126604,127568,129018,964,1200,236,0,0,0
129010,68,4,126836,126844,129010,133877,2166,2174,8,0,0,0
131269,70,32,131027,131027,131269,132014,242,242,0,0,0,0
131751,69,4,130471,130471,131751,133782,1280,1280,0,0,0,0
136961,71,16,135759,135759,136961,147161,1202,1202,0,0,0,0
137203,64,16,120714,120714,137203,145786,16489,16489,0,0,0,0
137839,72,64,137597,137597,137839,139538,242,242,0,0,0,0
140225,74,8,139743,139743,140225,143789,482,482,0,0,0,0
140467,52,16,99804,99804,140467,263780,40663,40663,0,0,0,0
141806,75,8,141324,141324,141806,142603,482,482,0,0,0,0
144882,76,8,142654,142654,144882,145504,2228,2228,0,0,0,0
150162,79,16,144640,144640,150162,153143,5522,5522,0,0,0,0
150884,81,16,150185,150402,150884,151551,482,699,217,0,0,0
151366,82,32,150302,150402,151366,152041,964,1064,100,0,0,0
155302,84,8,154820,154820,155302,157175,482,482,0,0,0,0
155784,78,8,143564,143564,155784,194634,12220,12220,0,0,0,0
161962,87,2,160760,160760,161962,163226,1202,1202,0,0,0,0
161962,88,2,160851,161000,161962,163147,962,1111,149,0,0,0
163159,73,8,138649,138649,163159,203555,24510,24510,0,0,0,0
163881,90,8,162917,162917,163881,166619,964,964,0,0,0,0
163881,89,1,162438,162438,163881,166236,1443,1443,0,0,0,0
171847,80,32,148720,148720,171847,283894,23127,23127,0,0,0,0
173049,92,2,166427,166427,173049,189823,6622,6622,0,0,0,0
174011,97,1,171365,171365,174011,176769,2646,2646,0,0,0,0
175041.0,96,4,171011,171011,175041.0,187202,4030.0,4030,0,0,0,0
175620,98,16,174553,174553,175620,177476,1067,1067,0,0,0,0
175862,94,2,167704,167704,175862,191663,8158,8158,0,0,0,0
176104,99,16,175378,175378,176104,176516,726,726,0,0,0,0
177066,91,16,163302,163399,177066,212081,13667,13764,97,0,0,0
178988,86,8,158712,158712,178988,252504,20276,20276,0,0,0,0
194350,95,8,170590,170590,194350,231878,23760,23760,0,0,0,0
227472,77,16,143215,143215,227472,272601,84257,84257,0,0,0,0
238274,83,4,152878,152878,238274,668055,85396,85396,0,0,0,0
255076,40,32,72602,72602,255076,914377,182474,182474,0,0,0,0
310038,85,32,158393,158393,310038,419698,151645,151645,0,0,0,0
368120,26,8,44699,44699,368120,917121,323421,323421,0,0,0,0
391882,33,64,49373,49430,391882,918236,342452,342509,57,0,0,0
668124,93,32,166596,166667,668124,1026822,501457,501528,71,0,0,0
