time,gpu0-0,gpu0-1,gpu0-2,gpu0-3,gpu0-4,gpu0-5,gpu0-6,gpu0-7,gpu1-0,gpu1-1,gpu1-2,gpu1-3,gpu1-4,gpu1-5,gpu1-6,gpu1-7,gpu2-0,gpu2-1,gpu2-2,gpu2-3,gpu2-4,gpu2-5,gpu2-6,gpu2-7,gpu3-0,gpu3-1,gpu3-2,gpu3-3,gpu3-4,gpu3-5,gpu3-6,gpu3-7,gpu4-0,gpu4-1,gpu4-2,gpu4-3,gpu4-4,gpu4-5,gpu4-6,gpu4-7,gpu5-0,gpu5-1,gpu5-2,gpu5-3,gpu5-4,gpu5-5,gpu5-6,gpu5-7,gpu6-0,gpu6-1,gpu6-2,gpu6-3,gpu6-4,gpu6-5,gpu6-6,gpu6-7,gpu7-0,gpu7-1,gpu7-2,gpu7-3,gpu7-4,gpu7-5,gpu7-6,gpu7-7,ce
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015625
240,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03125
1044,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015625
1822,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03125
3120,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046875
3360,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046875
3600,0,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625
4001,0,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078125
4538,0,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09375
4863,0,2,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078125
5103,0,2,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625
5487,7,7,0,2,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09091251734098493
6854,7,7,0,2,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09091251734098493
7094,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7,7,0,2,4,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17312338860338827
7334,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7,7,0,2,4,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17312338860338827
7765,7,7,0,2,4,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10653751734098493
8483,7,7,0,2,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09091251734098493
8723,7,7,0,2,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09091251734098493
9026,7,7,0,2,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09091251734098493
9266,7,7,12,12,0,2,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11932503468196987
10348,7,7,12,12,0,2,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11932503468196987
10588,7,7,12,12,0,2,8,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13495003468196987
10962,7,7,12,12,0,2,8,13,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15057503468196987
11243,7,7,12,12,0,2,8,13,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13495003468196987
11928,7,7,12,12,0,2,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11932503468196987
12168,7,7,12,12,0,2,8,13,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13495003468196987
12408,17,17,17,17,7,7,12,12,0,2,8,13,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18742522004220374
13221,17,17,17,17,7,7,12,12,0,2,8,13,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18742522004220374
13540,7,7,12,12,0,2,8,13,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13495003468196987
13842,7,7,12,12,0,2,8,13,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13495003468196987
14298,7,7,12,12,0,2,8,13,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13495003468196987
14750,7,7,12,12,0,2,8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11932503468196987
14990,7,7,12,12,0,2,8,16,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13495003468196987
15422,7,7,12,12,0,2,8,16,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13495003468196987
17047,7,7,12,12,0,2,8,16,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15057503468196987
17287,7,7,12,12,0,2,8,16,18,19,20,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18182503468196987
17800,7,7,12,12,0,2,8,16,18,19,20,21,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19745003468196987
18244,7,7,12,12,0,2,8,16,18,19,20,21,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19745003468196987
19372,7,7,12,12,0,2,8,16,18,19,20,21,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19745003468196987
20301,7,7,12,12,0,2,8,16,18,19,20,21,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19745003468196987
20541,7,7,12,12,0,2,8,16,18,19,20,21,22,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21307503468196987
20781,7,7,12,12,0,2,8,16,18,19,20,21,22,23,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22870003468196987
21021,7,7,12,12,0,2,8,16,18,19,20,21,22,23,24,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24432503468196987
21261,7,7,12,12,0,2,8,16,18,19,20,21,22,23,24,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24432503468196987
21501,26,26,26,26,7,7,12,12,0,2,8,16,18,19,20,21,22,23,24,25,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28678240613567063
21741,26,26,26,26,7,7,12,12,0,2,8,16,18,19,20,21,22,23,24,25,27,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30240740613567063
22194,26,26,26,26,7,7,12,12,0,2,8,16,18,19,20,21,22,23,24,25,27,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30240740613567063
22434,26,26,26,26,29,29,29,29,7,7,0,2,8,16,18,19,20,21,22,23,24,25,27,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3264700741549196
22851,26,26,26,26,29,29,29,29,7,7,0,2,8,16,18,19,20,21,22,23,24,25,27,28,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3420950741549196
23091,31,31,31,31,31,31,31,31,26,26,26,26,29,29,29,29,7,7,0,2,8,16,18,19,20,21,22,23,24,25,27,28,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41277074573406347
23331,31,31,31,31,31,31,31,31,26,26,26,26,29,29,29,29,7,7,0,2,8,16,18,19,20,21,22,23,24,25,27,28,30,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42839574573406347
23571,31,31,31,31,31,31,31,31,26,26,26,26,29,29,29,29,7,7,0,2,8,16,18,19,20,21,22,23,24,25,27,28,30,32,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44402074573406347
23811,31,31,31,31,31,31,31,31,26,26,26,26,29,29,29,29,7,7,0,2,8,16,18,19,20,21,22,23,24,25,27,28,30,32,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44402074573406347
24051,31,31,31,31,31,31,31,31,26,26,26,26,29,29,29,29,7,7,0,2,8,16,18,19,20,21,22,23,24,25,27,28,30,32,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44402074573406347
24291,31,31,31,31,31,31,31,31,26,26,26,26,29,29,29,29,0,2,8,16,18,19,20,21,22,23,24,25,27,28,30,32,33,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43123322839307854
