time,job_id,num_gpu,submit_time,start_time,end_time,ddl,executed_time,JCT,pending_time,preempt,promote,best_effort_job
1044,1,1,129,240,1044,926,804,915,111,0,0,0
4863,3,1,3120,3120,4863,4003,1743,1743,0,0,0,0
5041,5,1,4001,4001,5041,4609,1040,1040,0,0,0,0
6877,6,1,4538,4538,6877,7339,2339,2339,0,0,0,0
7765,10,16,7001,7094,7765,7816,671,764,93,0,0,0
8483,4,1,3385,3600,8483,9669,4883,5098,215,0,0,0
8613,9,1,6975,7094,8613,8541,1519,1638,119,0,0,0
10529,11,1,8627,8723,10529,9223372036854775807,1806,1902,96,0,0,1
11243,14,1,10432,10588,11243,11408,655,811,156,0,0,0
11928,15,1,10962,10962,11928,12360,966,966,0,0,0,0
13540,17,4,12347,12408,13540,9223372036854775807,1132,1193,61,0,0,1
14750,13,1,10430,10588,14750,14798,4162,4320,158,0,0,0
22328,12,2,9137,9266,22328,9223372036854775807,13062,13191,129,0,0,1
24130,7,2,5487,5487,24130,18059,18643,18643,0,0,0,0
24399,32,1,23326,23331,24399,24195,1068,1073,5,0,0,0
24532,24,1,20751,20781,24532,9223372036854775807,3751,3781,30,0,0,1
24942,31,8,23090,23091,24942,9223372036854775807,1851,1852,1,0,0,1
26076,30,1,22851,22851,26076,9223372036854775807,3225,3225,0,0,0,1
26469,20,1,17075,17287,26469,22844,9182,9394,212,0,0,0
27638,23,1,20319,20541,27638,24912,7097,7319,222,0,0,0
28126,36,4,24430,24531,28126,29306,3595,3696,101,0,0,0
28030,38,1,26797,26797,28030,27907,1233,1233,0,0,0,0
28813,40,8,27908,28025,28813,28329,788,905,117,0,0,0
30641,37,1,26066,26066,30641,30129,4575,4575,0,0,0,0
30792,19,1,17047,17047,30792,30412,13745,13745,0,0,0,0
31059,16,1,12113,12168,31059,9223372036854775807,18891,18946,55,0,0,1
32112,26,4,21464,21501,32112,30685,10611,10648,37,0,0,0
34164,27,1,21491,21501,34164,31219,12663,12673,10,0,0,0
35058,21,1,17098,17287,35058,9223372036854775807,17771,17960,189,0,0,1
35065,43,1,34201,34326,35065,9223372036854775807,739,864,125,0,0,1
35660,25,1,20971,21021,35660,9223372036854775807,14639,14689,50,0,0,1
36110,44,1,34566,34566,36110,36667,1544,1544,0,0,0,0
36851,29,4,22235,22434,36851,36206,14417,14616,199,0,0,0
40482,46,1,36834,36834,40482,40657,3648,3648,0,0,0,0
42903,39,1,27722,27785,42903,9223372036854775807,15118,15181,63,0,0,1
44635,50,1,42401,42534,44635,9223372036854775807,2101,2234,133,0,0,1
48192,45,1,35716,35846,48192,51404,12346,12476,130,0,0,0
48678,49,8,41402,41530,48678,50219,7148,7276,128,0,0,0
48719,54,1,47135,47264,48719,49138,1455,1584,129,0,0,0
48911,51,8,42726,42774,48911,51270,6137,6185,48,0,0,0
49515,57,8,48601,48809,49515,9223372036854775807,706,914,208,0,0,1
50911,22,1,17800,17800,50911,55698,33111,33111,0,0,0,0
52261,59,1,50288,50288,52261,52589,1973,1973,0,0,0,0
52384,48,1,39808,39820,52384,53909,12564,12576,12,0,0,0
52915,53,16,45451,45451,52915,49521,7464,7464,0,0,0,0
52935,61,1,50940,51009,52935,52493,1926,1995,69,0,0,0
54488,62,2,51657,51657,54488,55070,2831,2831,0,0,0,0
