time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
0,0,0,0,0,0,0,1,0
240,0,0,0,0,0,0,2,0
1044,0,0,0,0,0,0,1,1
1822,0,0,0,0,0,0,2,1
3120,0,0,0,0,0,0,3,1
3360,0,0,0,0,0,0,3,1
3600,0,0,0,0,0,0,4,1
4001,0,0,0,0,0,0,5,1
4538,0,0,0,0,0,0,6,1
4863,0,0,0,0,0,0,5,2
5103,0,0,0,0,0,0,4,3
5487,0,0,0,0,0,0,5,3
6854,0,0,0,0,0,0,5,3
7094,0,0,0,0,0,0,7,4
7334,0,0,0,0,0,0,7,4
7765,0,0,0,0,0,0,6,5
8483,0,0,0,0,0,0,5,6
8723,0,0,0,0,0,0,5,7
9026,0,0,0,0,0,0,5,7
9266,0,0,0,0,0,0,6,7
10348,0,0,0,0,0,0,6,7
10588,0,0,0,0,0,0,7,8
10962,0,0,0,0,0,0,8,8
11243,0,0,0,0,0,0,7,9
11928,0,0,0,0,0,0,6,10
12168,0,0,0,0,0,0,7,10
12408,0,0,0,0,0,0,8,10
13221,0,0,0,0,0,0,8,10
13540,0,0,0,0,0,0,7,11
13842,0,0,0,0,0,0,7,11
14298,0,0,0,0,0,0,7,11
14750,0,0,0,0,0,0,6,12
14990,0,0,0,0,0,0,7,12
15422,0,0,0,0,0,0,7,12
17047,0,0,0,0,0,0,8,12
17287,0,0,0,0,0,0,10,12
17800,0,0,0,0,0,0,11,12
18244,0,0,0,0,0,0,11,12
19372,0,0,0,0,0,0,11,12
20301,0,0,0,0,0,0,11,12
20541,0,0,0,0,0,0,12,12
20781,0,0,0,0,0,0,13,12
21021,0,0,0,0,0,0,14,12
21261,0,0,0,0,0,0,14,12
21501,0,0,0,0,0,0,16,12
21741,0,0,0,0,0,0,17,12
22194,0,0,0,0,0,0,17,12
22434,0,0,0,0,0,0,17,13
22851,0,0,0,0,0,0,18,13
23091,0,0,0,0,0,0,19,13
23331,0,0,0,0,0,0,20,13
23571,0,0,0,0,0,0,21,13
23811,0,0,0,0,0,0,21,13
24051,0,0,0,0,0,0,21,13
24291,0,0,0,0,0,0,21,14
24531,0,0,0,0,0,0,22,15
24771,0,0,0,0,0,0,21,16
25011,0,0,0,0,0,0,20,17
25706,0,0,0,0,0,0,20,17
26066,0,0,0,0,0,0,21,17
26306,0,0,0,0,0,0,20,18
26546,0,0,0,0,0,0,19,19
26797,0,0,0,0,0,0,20,19
27037,0,0,0,0,0,0,20,19
27545,0,0,0,0,0,0,20,19
27785,0,0,0,0,0,0,20,20
28025,0,0,0,0,0,0,21,20
28265,0,0,0,0,0,0,19,22
28643,0,0,0,0,0,0,19,22
28883,0,0,0,0,0,0,18,23
29123,0,0,0,0,0,0,18,23
29363,0,0,0,0,0,0,18,23
