time,job_id,num_gpu,submit_time,start_time,end_time,ddl,executed_time,JCT,pending_time,preempt,promote,best_effort_job
537,1,64,129,240,537,1214,297,408,111,0,0,0
3763,3,64,3120,3120,3763,5714,643,643,0,0,0,0
4243,5,64,4001,4003,4109,4807,106,108,2,0,0,0
5727,4,64,3385,3763,5596,10638,1833,2211,378,0,0,0
7714,10,32,7001,7126,7714,7623,588,713,125,0,0,0
11202,15,64,10962,10962,11127,11760,165,165,0,0,0,0
14307,12,64,9137,9137,14307,28439,5170,5170,0,0,0,0
18338,20,64,17075,17287,18338,23730,1051,1263,212,0,0,0
19443,19,64,17047,17047,19443,29612,2396,2396,0,0,0,0
21231,24,64,20751,20751,21133,24643,382,382,0,0,0,0
21711,23,64,20319,20319,21612,26596,1293,1293,0,0,0,0
24026,32,64,23326,23331,24026,24574,695,700,5,0,0,0
27037,37,64,26066,26066,27016,30927,950,950,0,0,0,0
28264,40,64,27908,27962,28264,28757,302,356,54,0,0,0
35556,26,64,21464,21711,35556,31883,13845,14092,247,0,0,0
41982,25,64,20971,35556,41982,32638,6426,21011,14585,0,0,0
46659,16,64,12113,14307,46659,34044,32352,34546,2194,0,0,0
48109,27,64,21491,46659,48109,35314,1450,26618,25168,0,0,0
48809,44,64,34566,48109,48693,35845,584,14127,13543,0,0,0
50528,46,64,36834,48809,50410,39277,1601,13576,11975,0,0,0
51362,57,64,48601,50528,51362,48965,834,2761,1927,0,0,0
52056,59,32,50288,51362,52056,51840,694,1768,1074,0,0,0
54097,45,32,35716,52056,54097,52914,2041,18381,16340,0,0,0
56208,49,32,41402,51362,56208,51670,4846,14806,9960,0,0,0
59336,53,64,45451,54097,59336,54077,5239,13885,8646,0,0,0
59935,62,64,51657,59336,59935,55131,599,8278,7679,0,0,0
60517,66,64,54702,59935,60517,56434,582,5815,5233,0,0,0
60757,71,32,58415,60517,60681,59024,164,2266,2102,0,0,0
60997,70,32,57810,60757,60945,59266,188,3135,2947,0,0,0
61237,68,32,56698,60517,61107,58489,590,4409,3819,0,0,0
63891,63,64,52749,60997,63891,59371,2894,11142,8248,0,0,0
64131,73,64,58482,63891,64054,59858,163,5572,5409,0,0,0
69216,60,64,50769,64131,69216,60334,5085,18447,13362,0,0,0
69456,76,64,64063,69216,69398,64708,182,5335,5153,0,0,0
73849,83,64,72722,72722,73702,73859,980,980,0,0,0,0
78917,33,64,23548,69456,78894,74165,9438,55346,45908,0,0,0
79157,85,64,73609,78917,79058,74249,141,5449,5308,0,0,0
81751,81,64,70253,79157,81608,76540,2451,11355,8904,0,0,0
83373,84,64,72960,81751,83373,77029,1622,10413,8791,0,0,0
84304,82,64,70951,83373,84304,78085,931,13353,12422,0,0,0
84544,87,64,77127,84304,84544,78392,240,7417,7177,0,0,0
85164,90,64,78677,84544,85164,80773,620,6487,5867,0,0,0
95818,55,64,47769,85164,95818,82116,10654,48049,37395,0,0,0
126102,72,64,58442,95818,126102,83054,30284,67660,37376,0,0,0
129051,42,32,34086,126102,129051,85367,2949,94965,92016,0,0,0
135241,69,32,57360,129051,135213,85626,6162,77853,71691,0,0,0
136233,91,32,81511,135241,136233,85998,992,54722,53730,0,0,0
136713,94,32,84440,136233,136624,87677,391,52184,51793,0,0,0
140608,78,32,64681,136713,140608,90783,3895,75927,72032,0,0,0
141250,100,32,91000,140608,141250,91858,642,50250,49608,0,0,0
142778,92,32,81517,141250,142778,92961,1528,61261,59733,0,0,0
143154,103,32,93648,142778,143154,94609,376,49506,49130,0,0,0
143512,106,32,95078,143154,143512,97240,358,48434,48076,0,0,0
143992,108,32,95857,143512,143801,97256,289,47944,47655,0,0,0
144907,107,32,95475,143992,144907,98047,915,49432,48517,0,0,0
145147,114,32,99097,144907,145059,100125,152,45962,45810,0,0,0
145658,113,32,98863,145147,145658,102203,511,46795,46284,0,0,0
147180,111,32,98286,145658,147180,102674,1522,48894,47372,0,0,0
148002,58,32,48851,126102,147830,84250,21728,98979,77251,0,0,0
151582,110,64,97433,147180,151582,103222,4402,54149,49747,0,0,0
154606,99,32,90500,151582,154606,106551,3024,64106,61082,0,0,0
155938,115,32,99273,154606,155863,107256,1257,56590,55333,0,0,0
156269,121,32,106507,155938,156269,107943,331,49762,49431,0,0,0
157144,120,32,106242,156269,157144,108234,875,50902,50027,0,0,0
157491,119,32,104716,157144,157491,108832,347,52775,52428,0,0,0
158534,122,32,108167,157491,158534,110274,1043,50367,49324,0,0,0
158775,125,32,109266,158534,158775,110430,241,49509,49268,0,0,0
160613,118,32,103281,158775,160613,110909,1838,57332,55494,0,0,0
160878,126,32,109279,160613,160878,111014,265,51599,51334,0,0,0
161118,132,32,112237,160878,161047,113383,169,48810,48641,0,0,0
161650,134,32,113068,161118,161650,113572,532,48582,48050,0,0,0
161930,135,32,113234,161650,161930,114752,280,48696,48416,0,0,0
163368,34,32,24102,151582,163137,106209,11555,139035,127480,0,0,0
164109,127,64,110547,161930,164109,116899,2179,53562,51383,0,0,0
164968,141,64,116135,164109,164750,118254,641,48615,47974,0,0,0
165208,145,64,117357,164968,165138,118297,170,47781,47611,0,0,0
166759,137,64,114640,165208,166596,118598,1388,51956,50568,0,0,0
170733,109,64,96553,166759,170733,118961,3974,74180,70206,0,0,0
170973,146,32,119428,170733,170872,120404,139,51444,51305,0,0,0
172361,116,64,100063,170733,172361,120454,1628,72298,70670,0,0,0
174691,140,64,116113,172361,174691,120673,2330,58578,56248,0,0,0
175328,149,64,121119,174691,175328,124400,637,54209,53572,0,0,0
175922,153,64,122825,175328,175922,127005,594,53097,52503,0,0,0
178081,147,64,120070,175922,178081,129174,2159,58011,55852,0,0,0
179146,155,64,124124,178081,179146,129482,1065,55022,53957,0,0,0
182331,156,32,125222,179146,182331,133470,3185,57109,53924,0,0,0
182571,150,32,122648,179146,182334,131053,3188,59686,56498,0,0,0
182571,165,32,134230,182331,182570,134912,239,48340,48101,0,0,0
182881,162,64,132609,182571,182881,137618,310,50272,49962,0,0,0
183183,169,32,136302,182881,183183,137857,302,46881,46579,0,0,0
187167,154,64,123967,182881,187167,138196,4286,63200,58914,0,0,0
187683,170,64,136621,187167,187683,139969,516,51062,50546,0,0,0
188874,166,64,135001,187683,188874,140864,1191,53873,52682,0,0,0
189191,168,64,136247,188874,189191,141139,317,52944,52627,0,0,0
213617,28,64,21716,189191,213617,141864,24426,191901,167475,0,0,0
213857,172,64,141592,213617,213815,142210,198,72223,72025,0,0,0
215309,159,64,127175,213857,215309,145209,1452,88134,86682,0,0,0
217051,164,64,133777,215309,217051,145525,1742,83274,81532,0,0,0
222853,167,64,135350,217051,222853,145840,5802,87503,81701,0,0,0
223837,176,64,146537,222853,223837,147358,984,77300,76316,0,0,0
224908,175,64,144015,223837,224908,147896,1071,80893,79822,0,0,0
227803,171,64,139716,224908,227803,148770,2895,88087,85192,0,0,0
232078,98,64,89759,227803,232078,152305,4275,142319,138044,0,0,0
232594,178,64,148247,232078,232594,152445,516,84347,83831,0,0,0
233422,174,64,143681,232594,233422,153337,828,89741,88913,0,0,0
233891,183,32,151990,233422,233891,153832,469,81901,81432,0,0,0
234131,181,64,150415,233422,234099,156395,677,83684,83007,0,0,0
234674,184,64,154938,234131,234674,156712,543,79736,79193,0,0,0
246416,101,64,91052,234674,246416,157110,11742,155364,143622,0,0,0
249645,185,64,155698,246416,249645,158454,3229,93947,90718,0,0,0
250883,187,64,157688,249645,250883,159156,1238,93195,91957,0,0,0
266458,152,64,122683,250883,266458,160360,15575,143775,128200,0,0,0
268981,190,64,162701,266458,268981,166331,2523,106280,103757,0,0,0
269864,194,64,164728,268981,269864,166788,883,105136,104253,0,0,0
276618,189,64,162061,269864,276618,168116,6754,114557,107803,0,0,0
277056,199,64,166835,276618,277056,168720,438,110221,109783,0,0,0
320671,8,64,6886,6886,320671,170333,313785,313785,0,0,0,0
324842,193,64,163719,320671,324842,171009,4171,161123,156952,0,0,0
325756,198,64,166519,324842,325756,172006,914,159237,158323,0,0,0
411739,41,64,32316,325756,411739,180253,85983,379423,293440,0,0,0
419810,191,64,163128,411739,419810,187115,8071,256682,248611,0,0,0
450824,182,64,150450,419810,450824,188708,31014,300374,269360,0,0,0
462309,195,64,165239,450824,462309,198123,11485,297070,285585,0,0,0
471801,142,64,116575,462309,471801,228968,9492,355226,345734,0,0,0
483143,192,32,163512,471801,483143,244797,11342,319631,308289,0,0,0
498298,186,64,155868,471801,498298,246630,26497,342430,315933,0,0,0
514734,128,64,110806,498298,514734,260376,16436,403928,387492,0,0,0
585502,65,64,54182,514734,585502,343462,70768,531320,460552,0,0,0
683165,64,64,53759,585502,683165,423026,97663,629406,531743,0,0,0
737125,139,32,115535,683165,737125,445937,53960,621590,567630,0,0,0
751672,124,64,109251,683165,751672,582363,68507,642421,573914,0,0,0
857193,163,64,132836,751672,857193,673009,105521,724357,618836,0,0,0
885628,2,32,1822,1822,885628,9223372036854775807,883806,883806,0,0,0,1
886546,6,32,4538,885628,886546,9223372036854775807,918,882008,881090,0,0,1
893308,7,32,5487,886546,893308,9223372036854775807,6762,887821,881059,0,0,1
893548,9,32,6975,893308,893503,9223372036854775807,195,886528,886333,0,0,1
893788,11,32,8627,893548,893749,9223372036854775807,201,885122,884921,0,0,1
894122,13,32,10430,893788,894122,9223372036854775807,334,883692,883358,0,0,1
894362,14,32,10432,894122,894264,9223372036854775807,142,883832,883690,0,0,1
894753,17,32,12347,894362,894753,9223372036854775807,391,882406,882015,0,0,1
927805,18,32,14961,894753,927805,9223372036854775807,33052,912844,879792,0,0,1
931006,21,32,17098,927805,931006,9223372036854775807,3201,913908,910707,0,0,1
938201,22,32,17800,931006,938201,9223372036854775807,7195,920401,913206,0,0,1
943207,29,32,22235,938201,943207,9223372036854775807,5006,920972,915966,0,0,1
943566,30,32,22851,943207,943566,9223372036854775807,359,920715,920356,0,0,1
945067,31,32,23090,943566,945067,9223372036854775807,1501,921977,920476,0,0,1
