time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
0,0,0,0,0,0,0,1,0
240,0,0,0,0,0,0,2,0
524,0,0,0,0,0,0,1,1
1822,0,0,0,0,0,0,2,1
3120,0,0,0,0,0,0,3,1
3385,0,0,0,0,0,1,3,1
3763,0,0,0,0,0,1,2,2
4003,0,0,0,0,0,2,2,2
4538,0,0,0,0,0,3,2,2
5487,0,0,0,0,0,3,3,2
6886,0,0,0,0,0,4,3,2
7126,0,0,0,0,0,5,4,2
7714,0,0,0,0,0,5,3,3
8627,0,0,0,0,0,5,4,3
8867,0,0,0,0,0,5,3,4
9137,0,0,0,0,0,5,4,4
10430,0,0,0,0,0,5,5,4
10670,0,0,0,0,0,6,5,4
10910,0,0,0,0,0,6,4,5
11150,0,0,0,0,0,7,4,5
12113,0,0,0,0,0,8,4,5
12353,0,0,0,0,0,9,4,5
14547,0,0,0,0,0,9,3,6
14961,0,0,0,0,0,10,3,6
17047,0,0,0,0,0,11,3,6
17287,0,0,0,0,0,13,3,6
17800,0,0,0,0,0,14,3,6
18150,0,0,0,0,0,13,3,7
19495,0,0,0,0,0,12,3,8
20319,0,0,0,0,0,13,3,8
20751,0,0,0,0,0,14,3,8
20991,0,0,0,0,0,15,3,8
21464,0,0,0,0,0,15,4,8
21704,0,0,0,0,0,15,5,8
21944,0,0,0,0,0,16,5,8
22235,0,0,0,0,0,17,5,8
22851,0,0,0,0,0,18,5,8
23091,0,0,0,0,0,19,5,8
23331,0,0,0,0,0,20,4,9
23571,0,0,0,0,0,21,4,9
24102,0,0,0,0,0,22,4,9
24410,0,0,0,0,0,23,4,9
24650,0,0,0,0,0,24,4,9
26066,0,0,0,0,0,25,4,9
26797,0,0,0,0,0,26,4,9
27722,0,0,0,0,0,27,4,9
27962,0,0,0,0,0,28,4,9
32316,0,0,0,0,0,29,4,9
34086,0,0,0,0,0,30,4,9
34326,0,0,0,0,0,31,4,9
34566,0,0,0,0,0,32,4,9
34968,0,0,0,0,0,32,3,9
35716,0,0,0,0,0,33,3,9
36834,0,0,0,0,0,34,3,9
39314,0,0,0,0,0,35,3,9
39808,0,0,0,0,0,36,3,9
41292,0,0,0,0,0,35,3,9
41532,0,0,0,0,0,35,3,9
42401,0,0,0,0,0,36,3,9
42726,0,0,0,0,0,37,3,9
43524,0,0,0,0,0,38,3,9
45451,0,0,0,0,0,39,3,9
47135,0,0,0,0,0,40,3,9
47769,0,0,0,0,0,41,3,9
48569,0,0,0,0,0,42,3,9
48809,0,0,0,0,0,43,3,9
49049,0,0,0,0,0,44,3,9
50204,0,0,0,0,0,43,3,9
50444,0,0,0,0,0,44,3,9
50769,0,0,0,0,0,45,3,9
51009,0,0,0,0,0,46,3,9
51657,0,0,0,0,0,47,3,9
