time,job_id,num_gpu,submit_time,start_time,end_time,ddl,executed_time,JCT,pending_time,preempt,promote,best_effort_job
732.0,1,16,129,240,732.0,9223372036854775807,492.0,603,111,0,0,1
3875.0,3,8,3120,3120,3875.0,9223372036854775807,755.0,755,0,0,0,1
4357.0,5,32,4001,4115.0,4357.0,9223372036854775807,242.0,356,114.0,0,0,1
5079.0,4,32,3385,3385,5079.0,9223372036854775807,1694.0,1694,0,0,0,1
5729,6,16,4538,4597.0,5729,9223372036854775807,1132.0,1191,59.0,0,0,1
7614.0,9,4,6975,7126,7614.0,9223372036854775807,488.0,639,151,0,0,1
7856.0,10,32,7001,7126,7856.0,7856,730.0,855,125,0,0,0
8869,11,32,8627,8627,8869,9223372036854775807,242,242,0,0,0,1
10912,14,16,10432,10670,10912,9223372036854775807,242,480,238,0,0,1
11634,15,8,10962,11152,11634,9223372036854775807,482,672,190,0,0,1
12835,17,32,12347,12353,12835,9223372036854775807,482,488,6,0,0,1
13077,13,32,10430,10430,13077,9223372036854775807,2647,2647,0,0,0,1
14759,7,4,5487,5487,14759,9223372036854775807,9272,9272,0,0,0,1
16441,12,8,9137,9137,16441,9223372036854775807,7304,7304,0,0,0,1
19482,16,16,12113,12113,19482,9223372036854775807,7369,7369,0,0,0,1
22477,20,32,17075,17287,22477,22983,5190,5402,212,0,0,0
23813,24,32,20751,20751,23813,9223372036854775807,3062,3062,0,0,0,1
24055,32,8,23326,23331,24055,24772,724,729,5,0,0,0
24777,30,32,22851,22851,24777,9223372036854775807,1926,1926,0,0,0,1
25019,19,32,17047,17047,25019,9223372036854775807,7972,7972,0,0,0,1
25981,23,1,20319,20319,25981,9223372036854775807,5662,5662,0,0,0,1
26703,27,4,21491,21704,26703,9223372036854775807,4999,5212,213,0,0,1
27425,38,16,26797,26943,27425,9223372036854775807,482,628,146,0,0,1
28444,31,2,23090,23091,28444,9223372036854775807,5353,5354,1,0,0,1
28444,21,2,17098,17287,28444,9223372036854775807,11157,11346,189,0,0,1
29406,22,8,17800,17800,29406,9223372036854775807,11606,11606,0,0,0,1
29888,25,16,20971,20991,29888,9223372036854775807,8897,8917,20,0,0,1
