time,job_id,num_gpu,submit_time,start_time,end_time,ddl,executed_time,JCT,pending_time,preempt,promote,best_effort_job
1822,1,1,129,240,1048.0,1214,808.0,919,0,0,0,0
5487,3,1,3120,3120,4875.0,5714,1755.0,1755,0,0,0,0
5487,5,1,4001,4001,5045.0,4807,1044.0,1044,0,0,0,0
6886,6,1,4538,4538,6881.0,9223372036854775807,2343.0,2343,0,0,0,1
8627,4,1,3385,3385,8288.0,10638,4903.0,4903,0,0,0,0
8627,10,16,7001,7126,7797.0,7623,671.0,796,0,0,0,0
9137,9,1,6975,7126,8649.0,9223372036854775807,1523.0,1674,0,0,0,1
10670,11,1,8627,8627,10441.0,9223372036854775807,1814.0,1814,0,0,0,1
12113,14,1,10432,10670,11329.0,9223372036854775807,659.0,897,0,0,0,1
12113,15,1,10962,10962,11928.0,11760,966.0,966,0,0,0,0
14961,13,1,10430,10430,14608.0,9223372036854775807,4178.0,4178,0,0,0,1
14961,17,4,12347,12353,13485.0,9223372036854775807,1132.0,1138,0,0,0,1
22851,12,2,9137,9137,22295.0,28439,13158.0,13158,0,0,0,0
24410,32,1,23326,23331,24407.0,24574,1076.0,1081,0,0,0,0
24410,7,2,5487,5487,24280.0,9223372036854775807,18793.0,18793,0,0,0,1
26066,31,8,23090,23091,24992.0,9223372036854775807,1901.0,1902,0,0,0,1
26797,20,1,17075,17287,26533.0,23730,9246.0,9458,0,0,0,0
26797,24,1,20751,20751,26254.0,24643,5503.0,5503,0,0,0,0
26797,30,1,22851,22851,26104.0,9223372036854775807,3253.0,3253,0,0,0,1
32316,37,1,26066,26066,30653.0,30927,4587.0,4587,0,0,0,0
32316,38,1,26797,26797,28038.0,9223372036854775807,1241.0,1241,0,0,0,1
32316,16,1,12113,12113,31096.0,34044,18983.0,18983,0,0,0,0
32316,23,1,20319,20319,29612.0,26596,9293.0,9293,0,0,0,0
32316,26,4,21464,21464,32187.0,31883,10723.0,10723,0,0,0,0
32316,40,8,27908,27962,28750.0,28757,788.0,842,0,0,0,0
34326,19,1,17047,17047,34322.0,29612,17275.0,17275,0,0,0,0
36834,44,1,34566,34566,36114.0,35845,1548.0,1548,0,0,0,0
36834,21,1,17098,17287,36221.0,9223372036854775807,18934.0,19123,0,0,0,1
36834,29,4,22235,22235,36780.0,9223372036854775807,14545.0,14545,0,0,0,1
36834,36,4,24430,24650,35943.0,9223372036854775807,11293.0,11513,0,0,0,1
39314,27,1,21491,21704,38644.0,35314,16940.0,17153,0,0,0,0
41402,46,1,36834,36834,40490.0,39277,3656.0,3656,0,0,0,0
45451,50,1,42401,42401,44510.0,9223372036854775807,2109.0,2109,0,0,0,1
47135,25,1,20971,20991,46155.0,32638,25164.0,25184,0,0,0,0
48569,45,1,35716,35716,48102.0,52914,12386.0,12386,0,0,0,0
48569,43,1,34201,34326,48508.0,9223372036854775807,14182.0,14307,0,0,0,1
48809,54,1,47135,47135,48598.0,9223372036854775807,1463.0,1463,0,0,0,1
48809,49,8,41402,41402,48620.0,51670,7218.0,7218,0,0,0,0
49049,51,8,42726,42726,48923.0,9223372036854775807,6197.0,6197,0,0,0,1
50288,57,8,48601,48809,49525.0,48965,716.0,924,0,0,0,0
52749,48,1,39808,39808,52664.0,9223372036854775807,12856.0,12856,0,0,0,1
53759,61,1,50940,51009,52943.0,9223372036854775807,1934.0,2003,0,0,0,1
53759,53,16,45451,45451,53035.0,54077,7584.0,7584,0,0,0,0
54702,62,2,51657,51657,54506.0,55131,2849.0,2849,0,0,0,0
55341,59,1,50288,50288,54734.0,51840,4446.0,4446,0,0,0,0
56698,66,2,54702,54702,56021.0,56434,1319.0,1319,0,0,0,0
56698,56,4,48569,48809,55434.0,9223372036854775807,6625.0,6865,240,0,0,1
57360,67,8,55341,55341,57149.0,9223372036854775807,1808.0,1808,0,0,0,1
59576,71,1,58415,58415,59409.0,59024,994.0,994,0,0,0,0
59576,68,1,56698,56698,59535.0,58489,2837.0,2837,0,0,0,0
59576,60,1,50769,50769,59298.0,60334,8529.0,8529,0,0,0,0
