time,gpu0-0,gpu0-1,gpu0-2,gpu0-3,gpu0-4,gpu0-5,gpu0-6,gpu0-7,gpu1-0,gpu1-1,gpu1-2,gpu1-3,gpu1-4,gpu1-5,gpu1-6,gpu1-7,gpu2-0,gpu2-1,gpu2-2,gpu2-3,gpu2-4,gpu2-5,gpu2-6,gpu2-7,gpu3-0,gpu3-1,gpu3-2,gpu3-3,gpu3-4,gpu3-5,gpu3-6,gpu3-7,gpu4-0,gpu4-1,gpu4-2,gpu4-3,gpu4-4,gpu4-5,gpu4-6,gpu4-7,gpu5-0,gpu5-1,gpu5-2,gpu5-3,gpu5-4,gpu5-5,gpu5-6,gpu5-7,gpu6-0,gpu6-1,gpu6-2,gpu6-3,gpu6-4,gpu6-5,gpu6-6,gpu6-7,gpu7-0,gpu7-1,gpu7-2,gpu7-3,gpu7-4,gpu7-5,gpu7-6,gpu7-7,ce
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015625
240,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03125
1822,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03125
3120,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046875
3385,0,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625
4001,0,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078125
4538,0,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09375
5487,0,2,4,6,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09091251734098493
6886,0,2,4,,,,,,7,7,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09091251734098493
7126,0,2,4,8,,,,,7,7,,,,,,,,,,,,,,,9,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,0.17312338860338827
8627,0,2,8,9,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,0.10653751734098493
9137,0,2,8,11,,,,,7,7,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11932503468196987
10430,0,2,8,11,,,,,7,7,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,0.13495003468196987
10670,0,2,8,13,,,,,7,7,12,12,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13495003468196987
10962,0,2,8,13,14,,,,7,7,12,12,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15057503468196987
12113,0,2,8,13,,,,,7,7,12,12,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13495003468196987
12353,0,2,8,13,16,,,,7,7,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,17,17,,,,,,,,,,,,,,,,,,,,,0.18742522004220374
14961,0,2,8,16,,,,,7,7,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,0.13495003468196987
17047,0,2,8,16,18,,,,7,7,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,0.15057503468196987
17287,0,2,8,16,18,19,,,7,7,12,12,,,,,20,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18182503468196987
17800,0,2,8,16,18,19,20,21,7,7,12,12,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19745003468196987
20319,0,2,8,16,18,19,20,21,7,7,12,12,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19745003468196987
20751,0,2,8,16,18,19,20,21,7,7,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,0.19745003468196987
20991,0,2,8,16,18,19,20,21,7,7,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,0.19745003468196987
21464,0,2,8,16,18,19,20,21,7,7,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,26,26,26,,,,,0.20865740613567066
21704,0,2,8,16,18,19,20,21,7,7,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,26,26,26,26,,,,,0.22428240613567066
21944,0,2,8,16,18,19,20,21,7,7,12,12,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,26,26,26,,,,,0.22428240613567066
22235,0,2,8,16,18,19,20,21,7,7,12,12,,,,,,,,,,,,,29,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,26,26,26,,,,,0.2611325914959045
22851,0,23,24,,,,,,7,7,,,,,,,18,19,30,,,,,,29,29,29,29,26,26,26,26,2,22,25,,,,,,8,21,27,,,,,,16,20,28,,,,,,,,,,,,,,0.3420950741549196
23091,,,,,,,,,7,7,,,,,,,18,19,30,16,20,28,8,21,29,29,29,29,26,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,31,31,31,31,31,31,31,31,0.30339574573406347
23331,20,28,24,32,,,,,7,7,,,,,,,18,2,22,,,,,,29,29,29,29,26,26,26,26,16,8,23,,,,,,30,21,0,,,,,,19,27,25,,,,,,31,31,31,31,31,31,31,31,0.42839574573406347
23571,20,28,24,32,16,8,23,30,7,7,,,,,,,,,,,,,,,29,29,29,29,26,26,26,26,33,,,,,,,,,,,,,,,,,,,,,,,,31,31,31,31,31,31,31,31,0.31902074573406347
24102,20,28,24,32,16,8,23,30,7,7,,,,,,,,,,,,,,,29,29,29,29,26,26,26,26,33,34,,,,,,,,,,,,,,,,,,,,,,,31,31,31,31,31,31,31,31,0.33464574573406347
24410,20,28,24,16,8,23,30,21,,,,,,,,,,,,,,,,,29,29,29,29,26,26,26,26,33,34,,,,,,,35,35,35,35,35,35,35,35,,,,,,,,,31,31,31,31,31,31,31,31,0.34991525459167305
24650,20,28,24,16,8,23,30,21,,,,,,,,,36,36,36,36,,,,,29,29,29,29,26,26,26,26,33,34,,,,,,,35,35,35,35,35,35,35,35,,,,,,,,,31,31,31,31,31,31,31,31,0.40512693605535366
26066,20,28,24,16,8,23,30,21,,,,,,,,,,,,,,,,,29,29,29,29,26,26,26,26,33,34,37,,,,,,35,35,35,35,35,35,35,35,,,,,,,,,,,,,,,,,0.29486458301252916
26797,28,16,8,23,21,0,19,27,,,,,,,,,,,,,,,,,29,29,29,29,26,26,26,26,33,34,37,38,,,,,35,35,35,35,35,35,35,35,,,,,,,,,,,,,,,,,0.31048958301252916
27722,28,16,8,23,21,0,19,27,,,,,,,,,,,,,,,,,29,29,29,29,26,26,26,26,33,34,37,38,39,,,,35,35,35,35,35,35,35,35,,,,,,,,,,,,,,,,,0.32611458301252916
27962,28,16,8,23,21,0,19,27,40,40,40,40,40,40,40,40,,,,,,,,,29,29,29,29,26,26,26,26,33,34,37,38,39,,,,35,35,35,35,35,35,35,35,,,,,,,,,,,,,,,,,0.4212263819341794
32316,28,8,21,0,19,27,25,18,,,,,,,,,,,,,,,,,29,29,29,29,36,36,36,36,33,34,39,41,,,,,35,35,35,35,35,35,35,35,,,,,,,,,,,,,,,,,0.338868893022509
34086,28,8,21,0,19,27,25,18,,,,,,,,,42,,,,,,,,29,29,29,29,36,36,36,36,,,,,,,,,35,35,35,35,35,35,35,35,,,,,,,,,,,,,,,,,0.291993893022509
34326,28,8,21,0,27,25,18,2,,,,,,,,,,,,,,,,,29,29,29,29,36,36,36,36,,,,,,,,,35,35,35,35,35,35,35,35,,,,,,,,,43,,,,,,,,0.291993893022509
34566,28,8,21,0,27,25,18,2,,,,,,,,,,,,,,,,,29,29,29,29,36,36,36,36,,,,,,,,,35,35,35,35,35,35,35,35,44,,,,,,,,,,,,,,,,0.291993893022509
35716,28,8,21,0,27,25,18,2,,,,,,,,,,,,,,,,,29,29,29,29,36,36,36,36,,,,,,,,,35,35,35,35,35,35,35,35,44,45,,,,,,,,,,,,,,,0.307618893022509
36834,28,8,0,27,25,18,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,35,35,35,35,35,35,35,45,46,,,,,,,,,,,,,,,0.19993202619859451
39314,28,8,0,25,18,2,22,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,35,35,35,35,35,35,35,45,46,47,,,,,,,,,,,,,,0.21555702619859451
39808,28,8,0,25,18,2,22,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,35,35,35,35,35,35,35,45,46,47,48,,,,,,,,,,,,,0.23118202619859451
41402,28,8,0,25,18,2,22,33,,,,,,,,,49,49,49,49,49,49,49,49,,,,,,,,,,,,,,,,,35,35,35,35,35,35,35,35,45,47,48,,,,,,,,,,,,,,0.2662911418970758
42401,28,8,0,25,18,2,22,33,,,,,,,,,49,49,49,49,49,49,49,49,,,,,,,,,,,,,,,,,35,35,35,35,35,35,35,35,45,47,48,50,,,,,,,,,,,,,0.2819161418970758
42726,28,8,0,25,18,2,22,33,51,51,51,51,51,51,51,51,49,49,49,49,49,49,49,49,,,,,,,,,,,,,,,,,35,35,35,35,35,35,35,35,45,47,48,50,,,,,,,,,,,,,0.36271484994666425
43524,28,8,0,25,18,2,22,33,51,51,51,51,51,51,51,51,49,49,49,49,49,49,49,49,,,,,,,,,52,52,,,,,,,35,35,35,35,35,35,35,35,45,47,48,50,,,,,,,,,,,,,0.38974636824249503
45451,28,8,0,25,18,2,22,33,51,51,51,51,51,51,51,51,49,49,49,49,49,49,49,49,53,53,53,53,53,53,53,53,52,52,,,,,,,35,35,35,35,35,35,35,35,45,47,48,,,,,,53,53,53,53,53,53,53,53,0.4659312345687966
