time,job_id,num_gpu,submit_time,start_time,end_time,ddl,executed_time,JCT,pending_time,preempt,promote,best_effort_job
1200,1,1,129,9223372036854775807,1200,1283,-9223372036854774607,1071,0,0,0,0
5040,3,1,3120,9223372036854775807,5040,5481,-9223372036854770767,1920,0,0,0,0
5280,5,1,4001,9223372036854775807,5280,9223372036854775807,-9223372036854770527,1279,0,0,0,1
6960,6,1,4538,9223372036854775807,6960,9223372036854775807,-9223372036854768847,2422,0,0,0,1
7920,10,16,7001,9223372036854775807,7920,9223372036854775807,-9223372036854767887,919,0,0,0,1
8640,4,1,3385,9223372036854775807,8640,7049,-9223372036854767167,5255,0,0,0,0
8880,9,1,6975,9223372036854775807,8880,9190,-9223372036854766927,1905,0,0,0,0
10560,11,1,8627,9223372036854775807,10560,10046,-9223372036854765247,1933,0,0,0,0
11280,14,1,10432,9223372036854775807,11280,11213,-9223372036854764527,848,0,0,0,0
12240,15,1,10962,9223372036854775807,12240,11962,-9223372036854763567,1278,0,0,0,0
13680,17,4,12347,9223372036854775807,13680,12949,-9223372036854762127,1333,0,0,0,0
14880,13,1,10430,9223372036854775807,14880,13191,-9223372036854760927,4450,0,0,0,0
22560,12,2,9137,9223372036854775807,22560,9223372036854775807,-9223372036854753247,13423,0,0,0,1
24240,7,2,5487,9223372036854775807,24240,30013,-9223372036854751567,18753,0,0,0,0
24720,24,1,20751,9223372036854775807,24720,25806,-9223372036854751087,3969,0,0,0,0
24720,32,1,23326,9223372036854775807,24720,9223372036854775807,-9223372036854751087,1394,0,0,0,1
25200,31,8,23090,9223372036854775807,25200,24314,-9223372036854750607,2110,0,0,0,0
26400,30,1,22851,9223372036854775807,26400,26986,-9223372036854749407,3549,0,0,0,0
26640,20,1,17075,9223372036854775807,26640,25155,-9223372036854749167,9565,0,0,0,0
27600,23,1,20319,9223372036854775807,27600,26346,-9223372036854748207,7281,0,0,0,0
28080,36,4,24430,9223372036854775807,28080,27220,-9223372036854747727,3650,0,0,0,0
28320,38,1,26797,9223372036854775807,28320,27445,-9223372036854747487,1523,0,0,0,0
29040,40,8,27908,9223372036854775807,29040,28876,-9223372036854746767,1132,0,0,0,0
30960,37,1,26066,9223372036854775807,30960,28925,-9223372036854744847,4894,0,0,0,0
31200,19,1,17047,9223372036854775807,31200,27416,-9223372036854744607,14153,0,0,0,0
31200,16,1,12113,9223372036854775807,31200,24477,-9223372036854744607,19087,0,0,0,0
