job_id,pending_time,total_executed_time,progress,submit_time,end_time,preempt,resume,num_gpu,expect_time,expect_time_list,expect_value_list,miss_ddl,gt_miss_ddl,gt_expect_time,best_effort,duration,queue_priority
0,195,5656,5656.0,3715485,3721336.0,23,24,1,4511,4511,10,1,1,4511,0,5644,-1
1,50,68,68.0,3717550,3717668.0,0,1,8,33,33,10,1,1,33,0,66,-1
2,711,33311,33311.0,3721209,3755231.0,69,70,1,37671,37719,10,0.0,0,37719,0,33276,0
3,180,32,32.0,3721260,3721472.5,0,1,1,36,36,10,1,1,36,0,32,-1
4,177,32,32.0,3721263,3721472.5,0,1,1,44,44,10,1,1,44,0,32,-1
5,94,23045,23045.0,3721346,3744485.5,96,97,1,19400,19400,10,1,1,19400,0,22997,-1
6,19988,97263,97263.0,3721372,3838623.0,202,203,8,127748,127809,10,0.0,0,127809,0,96857,0
7,68,68,68.0,3721372,3721508.0,0,1,8,56,56,10,1,1,56,0,66,-1
8,6727,28937,28937.0,3721433,3757097.5,60,61,1,38887,38978,10,0.0,0,38978,0,28907,0
9,124,834,834.0,3721556,3722514.0,3,4,8,1221,1221,10,0.0,0,1221,0,826,1
10,124,3530,3530.0,3721556,3725210.0,14,15,8,2106,2106,10,1,1,2106,0,3500,-1
11,113,24061,24061.0,3721567,3745741.0,100,101,8,19270,19270,10,1,1,19270,0,23859,-1
12,102,3530,3530.0,3721578,3725210.0,14,15,8,3673,3673,10,0.0,0,3673,0,3500,1
13,108291,622967,622967.0,3724269,4455527.0,2595,2596,1,509951,509951,10,1,1,509951,0,621669,-1
14,16886,709026,709026.0,3725434,4451346.5,2954,2955,1,408262,408262,10,1,1,408262,0,707549,-1
15,67,33345,33345.0,3725453,3758865.5,138,139,1,24502,24502,10,1,1,24502,0,33276,-1
16,47,33345,33345.0,3725473,3758865.5,138,139,1,20773,20773,10,1,1,20773,0,33276,-1
17,99862,622967,622967.0,3725498,4448327.0,2595,2596,1,459134,459134,10,1,1,459134,0,621669,-1
