time,full_resource,free_resource,pending_num,running_num,submit_num,ce
0,64,64,0,0,0,0.0
60,64,64,0,0,0,0.0
120,64,64,0,0,0,0.0
180,64,64,0,0,0,0.0
240,64,64,0,0,0,0.0
300,64,64,0,0,0,0.0
360,64,64,0,0,0,0.0
420,64,64,0,0,0,0.0
480,64,64,0,0,0,0.0
540,64,64,0,0,0,0.0
600,64,64,0,0,0,0.0
660,64,64,0,0,0,0.0
720,64,64,0,0,0,0.0
780,64,64,0,0,0,0.0
840,64,64,0,0,0,0.0
900,64,64,0,0,0,0.0
960,64,64,0,0,0,0.0
1020,64,64,0,0,0,0.0
1080,64,64,0,0,0,0.0
1140,64,64,0,0,0,0.0
1200,64,64,0,0,0,0.0
1260,64,64,0,0,0,0.0
1320,64,64,0,0,0,0.0
1380,64,64,0,0,0,0.0
1440,64,64,0,0,0,0.0
1500,64,64,0,0,0,0.0
1560,64,64,0,0,0,0.0
1620,64,64,0,0,0,0.0
1680,64,64,0,0,0,0.0
1740,64,64,0,0,0,0.0
1800,64,64,0,0,0,0.0
1860,64,64,0,0,0,0.0
1920,64,64,0,0,0,0.0
1980,64,64,0,0,0,0.0
2040,64,64,0,0,0,0.0
2100,64,64,0,0,0,0.0
2160,64,64,0,0,0,0.0
2220,64,64,0,0,0,0.0
2280,64,64,0,0,0,0.0
2340,64,64,0,0,0,0.0
2400,64,64,0,0,0,0.0
2460,64,64,0,0,0,0.0
2520,64,64,0,0,0,0.0
2580,64,64,0,0,0,0.0
2640,64,64,0,0,0,0.0
2700,64,64,0,0,0,0.0
2760,64,64,0,0,0,0.0
2820,64,64,0,0,0,0.0
2880,64,64,0,0,0,0.0
2940,64,64,0,0,0,0.0
3000,64,64,0,0,0,0.0
3060,64,64,0,0,0,0.0
3120,64,64,0,0,0,0.0
3180,64,64,0,0,0,0.0
3240,64,64,0,0,0,0.0
3300,64,64,0,0,0,0.0
3360,64,64,0,0,0,0.0
3420,64,64,0,0,0,0.0
3480,64,64,0,0,0,0.0
3540,64,64,0,0,0,0.0
3600,64,64,0,0,0,0.0
3660,64,64,0,0,0,0.0
3720,64,64,0,0,0,0.0
3780,64,64,0,0,0,0.0
3840,64,64,0,0,0,0.0
3900,64,64,0,0,0,0.0
3960,64,64,0,0,0,0.0
4020,64,64,0,0,0,0.0
4080,64,64,0,0,0,0.0
4140,64,64,0,0,0,0.0
4200,64,64,0,0,0,0.0
4260,64,64,0,0,0,0.0
4320,64,64,0,0,0,0.0
4380,64,64,0,0,0,0.0
4440,64,64,0,0,0,0.0
4500,64,64,0,0,0,0.0
4560,64,64,0,0,0,0.0
4620,64,64,0,0,0,0.0
4680,64,64,0,0,0,0.0
4740,64,64,0,0,0,0.0
4800,64,64,0,0,0,0.0
4860,64,64,0,0,0,0.0
4920,64,64,0,0,0,0.0
4980,64,64,0,0,0,0.0
5040,64,64,0,0,0,0.0
5100,64,64,0,0,0,0.0
5160,64,64,0,0,0,0.0
5220,64,64,0,0,0,0.0
5280,64,64,0,0,0,0.0
5340,64,64,0,0,0,0.0
5400,64,64,0,0,0,0.0
5460,64,64,0,0,0,0.0
5520,64,64,0,0,0,0.0
5580,64,64,0,0,0,0.0
5640,64,64,0,0,0,0.0
5700,64,64,0,0,0,0.0
5760,64,64,0,0,0,0.0
5820,64,64,0,0,0,0.0
5880,64,64,0,0,0,0.0
5940,64,64,0,0,0,0.0
6000,64,64,0,0,0,0.0
6060,64,64,0,0,0,0.0
6120,64,64,0,0,0,0.0
6180,64,64,0,0,0,0.0
6240,64,64,0,0,0,0.0
6300,64,64,0,0,0,0.0
6360,64,64,0,0,0,0.0
6420,64,64,0,0,0,0.0
6480,64,64,0,0,0,0.0
6540,64,64,0,0,0,0.0
6600,64,64,0,0,0,0.0
6660,64,64,0,0,0,0.0
6720,64,64,0,0,0,0.0
6780,64,64,0,0,0,0.0
6840,64,64,0,0,0,0.0
6900,64,64,0,0,0,0.0
6960,64,64,0,0,0,0.0
7020,64,64,0,0,0,0.0
7080,64,64,0,0,0,0.0
7140,64,64,0,0,0,0.0
7200,64,64,0,0,0,0.0
7260,64,64,0,0,0,0.0
7320,64,64,0,0,0,0.0
7380,64,64,0,0,0,0.0
7440,64,64,0,0,0,0.0
7500,64,64,0,0,0,0.0
7560,64,64,0,0,0,0.0
7620,64,64,0,0,0,0.0
7680,64,64,0,0,0,0.0
7740,64,64,0,0,0,0.0
7800,64,64,0,0,0,0.0
7860,64,64,0,0,0,0.0
7920,64,64,0,0,0,0.0
7980,64,64,0,0,0,0.0
8040,64,64,0,0,0,0.0
8100,64,64,0,0,0,0.0
8160,64,64,0,0,0,0.0
8220,64,64,0,0,0,0.0
8280,64,64,0,0,0,0.0
8340,64,64,0,0,0,0.0
8400,64,64,0,0,0,0.0
8460,64,64,0,0,0,0.0
8520,64,64,0,0,0,0.0
8580,64,64,0,0,0,0.0
8640,64,64,0,0,0,0.0
8700,64,64,0,0,0,0.0
8760,64,64,0,0,0,0.0
8820,64,64,0,0,0,0.0
