time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
3715485,0,0,0,0,0,0,1,0
3717550,0,0,0,0,0,0,2,0
3717616,0,0,0,0,0,0,1,1
3718739,0,0,0,0,0,0,1,1
3721133,0,0,0,0,0,0,0,2
3721209,0,0,0,0,0,0,1,2
3721269,0,0,0,0,0,0,3,2
3721329,0,0,0,0,0,0,1,4
3721389,0,0,0,0,0,0,4,4
3721449,0,0,0,0,0,0,5,4
3721509,0,0,0,0,0,0,4,5
3721569,0,0,0,0,0,0,7,5
3721629,0,0,0,0,0,0,8,5
3722007,0,0,0,0,0,0,8,5
3722368,0,0,0,0,0,0,8,5
3722428,0,0,0,0,0,0,7,6
3723222,0,0,0,0,0,0,7,6
3724269,0,0,0,0,0,0,8,6
3724463,0,0,0,0,0,0,8,6
3724643,0,0,0,0,0,0,8,6
3724703,0,0,0,0,0,0,8,6
3725079,0,0,0,0,0,0,7,7
3725139,0,0,0,0,0,0,6,8
3725434,0,0,0,0,0,0,7,8
3725494,0,0,0,0,0,0,9,8
3725554,0,0,0,0,0,0,11,8
3725718,0,0,0,0,0,0,12,8
3725778,0,0,0,0,0,0,12,9
3725838,0,0,0,0,0,0,13,9
3726141,0,0,0,0,0,0,14,9
3726201,0,0,0,0,0,0,17,9
3726261,0,0,0,0,0,0,18,10
3726321,0,0,0,0,0,0,19,10
3726381,0,0,0,0,0,0,18,11
3726441,0,0,0,0,0,0,19,11
3726517,0,0,0,0,0,0,20,11
3726831,0,0,0,0,0,0,21,11
3727473,0,0,0,0,0,0,21,11
3727533,0,0,0,0,0,0,21,11
3727857,0,0,0,0,0,0,20,12
3728413,0,0,0,0,0,0,20,12
3728593,0,0,0,0,0,0,20,12
3728653,0,0,0,0,0,0,20,12
3728713,0,0,0,0,0,0,20,12
3728773,0,0,0,0,0,0,20,12
3728833,0,0,0,0,0,0,20,12
3729032,0,0,0,0,0,0,20,12
3729092,0,0,0,0,0,0,20,12
3729572,0,0,0,0,0,0,19,13
3729812,0,0,0,0,0,0,18,14
3730004,0,0,0,0,0,0,19,14
3730085,0,0,0,0,0,0,19,14
3730145,0,0,0,0,0,0,20,14
3730857,0,0,0,0,0,0,21,14
3731264,0,0,0,0,0,0,21,14
3731473,0,0,0,0,0,0,21,14
3732298,0,0,0,0,0,0,21,14
3732638,0,0,0,0,0,0,21,14
3732698,0,0,0,0,0,0,21,14
3732758,0,0,0,0,0,0,21,14
3732982,0,0,0,0,0,0,21,14
3733042,0,0,0,0,0,0,21,14
3733102,0,0,0,0,0,0,21,14
3733274,0,0,0,0,0,0,22,14
3733366,0,0,0,0,0,0,23,14
3733426,0,0,0,0,0,0,25,14
3733486,0,0,0,0,0,0,25,14
3733548,0,0,0,0,0,0,26,14
3733608,0,0,0,0,0,0,25,15
3733772,0,0,0,0,0,0,26,15
3734066,0,0,0,0,0,0,26,15
3735824,0,0,0,0,0,0,25,16
3736528,0,0,0,0,0,0,25,16
3736620,0,0,0,0,0,0,25,16
3736680,0,0,0,0,0,0,25,16
3737026,0,0,0,0,0,0,25,16
3737327,0,0,0,0,0,0,24,17
3737429,0,0,0,0,0,0,23,18
3737489,0,0,0,0,0,0,24,18
3737549,0,0,0,0,0,0,23,19
3737643,0,0,0,0,0,0,22,20
3737890,0,0,0,0,0,0,20,22
3738922,0,0,0,0,0,0,19,23
3739014,0,0,0,0,0,0,18,24
3740819,0,0,0,0,0,0,19,24
3740976,0,0,0,0,0,0,19,24
3742528,0,0,0,0,0,0,20,24
3743222,0,0,0,0,0,0,21,24
3744073,0,0,0,0,0,0,21,24
3744271,0,0,0,0,0,0,22,24
3744421,0,0,0,0,0,0,21,25
3744481,0,0,0,0,0,0,22,25
3744541,0,0,0,0,0,0,24,25
3744601,0,0,0,0,0,0,24,26
3744661,0,0,0,0,0,0,25,26
3745020,0,0,0,0,0,0,25,26
3745177,0,0,0,0,0,0,26,26
3745428,0,0,0,0,0,0,27,26
3745488,0,0,0,0,0,0,25,28
3745782,0,0,0,0,0,0,25,28
3746451,0,0,0,0,0,0,26,28
3746511,0,0,0,0,0,0,26,28
3746911,0,0,0,0,0,0,26,28
3747419,0,0,0,0,0,0,27,28
3747668,0,0,0,0,0,0,28,28
3747735,0,0,0,0,0,0,28,28
3747795,0,0,0,0,0,0,27,29
3747855,0,0,0,0,0,0,27,29
3747915,0,0,0,0,0,0,27,29
3748023,0,0,0,0,0,0,27,29
3748109,0,0,0,0,0,0,28,29
3748431,0,0,0,0,0,0,28,29
3748578,0,0,0,0,0,0,29,29
3748638,0,0,0,0,0,0,28,30
3749321,0,0,0,0,0,0,28,30
3749539,0,0,0,0,0,0,29,30
3749599,0,0,0,0,0,0,30,30
3749732,0,0,0,0,0,0,30,30
3750391,0,0,0,0,0,0,29,31
3750451,0,0,0,0,0,0,29,31
3750673,0,0,0,0,0,0,29,31
3750922,0,0,0,0,0,0,29,31
3750982,0,0,0,0,0,0,29,31
3751716,0,0,0,0,0,0,29,31
3751776,0,0,0,0,0,0,29,31
3751836,0,0,0,0,0,0,29,31
3751896,0,0,0,0,0,0,29,31
3751956,0,0,0,0,0,0,28,32
3752412,0,0,0,0,0,0,28,32
3752824,0,0,0,0,0,0,28,32
3752884,0,0,0,0,0,0,28,32
3754257,0,0,0,0,0,0,27,33
3754551,0,0,0,0,0,0,26,34
3754800,0,0,0,0,0,0,25,35
3754860,0,0,0,0,0,0,26,35
3754920,0,0,0,0,0,0,26,35
3755534,0,0,0,0,0,0,25,36
3755594,0,0,0,0,0,0,26,36
3755654,0,0,0,0,0,0,27,36
3755714,0,0,0,0,0,0,27,37
3755774,0,0,0,0,0,0,28,37
3756388,0,0,0,0,0,0,29,37
3756774,0,0,0,0,0,0,29,37
3756834,0,0,0,0,0,0,29,37
3757778,0,0,0,0,0,0,30,37
3758114,0,0,0,0,0,0,30,37
3758174,0,0,0,0,0,0,31,37
3758334,0,0,0,0,0,0,32,37
3758526,0,0,0,0,0,0,31,38
3758766,0,0,0,0,0,0,32,38
3758836,0,0,0,0,0,0,30,40
3758896,0,0,0,0,0,0,30,40
3758968,0,0,0,0,0,0,30,40
3759028,0,0,0,0,0,0,30,40
3759120,0,0,0,0,0,0,29,41
3759642,0,0,0,0,0,0,29,41
3760025,0,0,0,0,0,0,30,41
3761032,0,0,0,0,0,0,30,41
3761428,0,0,0,0,0,0,30,41
3761588,0,0,0,0,0,0,30,41
3761653,0,0,0,0,0,0,29,42
3762020,0,0,0,0,0,0,29,42
3762080,0,0,0,0,0,0,29,42
3762189,0,0,0,0,0,0,30,42
3762249,0,0,0,0,0,0,32,42
3762798,0,0,0,0,0,0,31,43
3762918,0,0,0,0,0,0,31,43
3762978,0,0,0,0,0,0,31,43
3763279,0,0,0,0,0,0,31,43
3763468,0,0,0,0,0,0,32,43
3763592,0,0,0,0,0,0,32,43
3764489,0,0,0,0,0,0,31,44
3764629,0,0,0,0,0,0,32,44
3764982,0,0,0,0,0,0,32,44
3765378,0,0,0,0,0,0,32,44
3765443,0,0,0,0,0,0,32,44
3765503,0,0,0,0,0,0,33,44
3765788,0,0,0,0,0,0,34,44
3765970,0,0,0,0,0,0,34,44
3766675,0,0,0,0,0,0,35,44
3766735,0,0,0,0,0,0,35,45
3766795,0,0,0,0,0,8,29,45
3766855,0,0,0,0,0,13,27,45
3767003,0,0,0,0,0,17,24,45
3767063,0,0,0,0,0,22,21,45
3767123,0,0,0,0,0,30,19,45
3767183,0,0,0,0,0,34,19,45
3767243,0,0,0,0,0,35,19,45
3767303,0,0,0,0,0,40,19,45
3767363,0,0,0,0,0,45,19,45
3767614,0,0,0,0,0,46,19,45
3767914,0,0,0,0,0,46,19,45
3767974,0,0,0,0,0,45,19,46
3768034,0,0,0,0,0,43,19,48
3768094,0,0,0,0,0,42,19,49
3768338,0,0,0,0,0,41,19,50
3768788,0,0,0,0,0,41,19,50
3768930,0,0,0,0,0,39,19,52
3768998,0,0,0,0,0,38,19,53
3769424,0,0,0,0,0,38,19,53
3769484,0,0,0,0,0,38,19,53
3769544,0,0,0,0,0,36,19,55
3769931,0,0,0,0,0,33,21,56
3770318,0,0,0,0,0,26,27,57
3770473,0,0,0,0,0,36,19,57
3770533,0,0,0,0,0,38,18,57
3770593,0,0,0,0,0,33,21,59
3770986,0,0,0,0,0,31,23,59
3771498,0,0,0,0,0,19,35,59
3771708,0,0,0,0,0,19,34,60
3772342,0,0,0,0,0,19,35,60
3772683,0,0,0,0,0,18,35,61
3772743,0,0,0,0,0,18,35,61
3773175,0,0,0,0,0,18,34,62
3773378,0,0,0,0,0,18,34,62
3774286,0,0,0,0,0,18,33,63
3774441,0,0,0,0,0,18,34,63
3774501,0,0,0,0,0,18,33,64
3775596,0,0,0,0,0,18,33,64
3776502,0,0,0,0,0,18,34,64
3776602,0,0,0,0,0,19,34,64
3777290,0,0,0,0,0,18,34,65
3777695,0,0,0,0,0,18,34,65
3777887,0,0,0,0,0,17,34,66
3778252,0,0,0,0,0,17,33,67
3779313,0,0,0,0,0,17,32,68
3779546,0,0,0,0,0,17,32,68
3779756,0,0,0,0,0,17,32,68
3780007,0,0,0,0,0,17,31,69
3780089,0,0,0,0,0,16,31,70
3781949,0,0,0,0,0,16,31,70
3783706,0,0,0,0,0,16,31,70
3785501,0,0,0,0,0,15,31,71
3786505,0,0,0,0,0,15,30,72
3786671,0,0,0,0,0,15,31,72
3787588,0,0,0,0,0,15,30,73
3788371,0,0,0,0,0,15,29,74
3789925,0,0,0,0,0,15,29,74
3789985,0,0,0,0,0,17,28,74
3790392,0,0,0,0,0,17,28,74
3790749,0,0,0,0,0,17,28,74
3791555,0,0,0,0,0,16,29,74
3793906,0,0,0,0,0,16,29,74
3795808,0,0,0,0,0,15,29,75
3795868,0,0,0,0,0,15,28,76
3796334,0,0,0,0,0,14,28,77
3796868,0,0,0,0,0,16,27,77
3796934,0,0,0,0,0,14,28,78
3797609,0,0,0,0,0,14,27,79
3797943,0,0,0,0,0,13,27,80
3798849,0,0,0,0,0,13,26,81
3801152,0,0,0,0,0,13,27,81
3802053,0,0,0,0,0,12,27,82
3803235,0,0,0,0,0,11,27,83
3803295,0,0,0,0,0,10,27,84
3804406,0,0,0,0,0,10,27,84
3805242,0,0,0,0,0,10,28,84
3805653,0,0,0,0,0,10,27,85
3807063,0,0,0,0,0,9,27,86
3808356,0,0,0,0,0,9,27,86
3808496,0,0,0,0,0,9,27,86
3809382,0,0,0,0,0,16,23,86
3809442,0,0,0,0,0,30,12,86
3809842,0,0,0,0,0,30,12,86
3810200,0,0,0,0,0,30,12,86
3810999,0,0,0,0,0,15,27,86
3812446,0,0,0,0,0,15,27,86
3813244,0,0,0,0,0,15,28,86
3813304,0,0,0,0,0,15,29,86
3815724,0,0,0,0,0,16,29,86
3816498,0,0,0,0,0,16,29,86
3816558,0,0,0,0,0,16,29,86
3818013,0,0,0,0,0,18,28,86
3818073,0,0,0,0,0,25,23,86
3818139,0,0,0,0,0,20,27,87
3818199,0,0,0,0,0,26,23,87
3818259,0,0,0,0,0,39,12,87
3818636,0,0,0,0,0,39,12,87
3818952,0,0,0,0,0,34,16,88
3819012,0,0,0,0,0,27,23,88
3819812,0,0,0,0,0,21,29,88
3820448,0,0,0,0,0,21,29,88
3821222,0,0,0,0,0,19,30,89
3821474,0,0,0,0,0,23,27,89
3821678,0,0,0,0,0,23,27,89
3821738,0,0,0,0,0,30,21,89
3821942,0,0,0,0,0,24,27,89
3822106,0,0,0,0,0,31,21,89
3822240,0,0,0,0,0,24,27,90
3822436,0,0,0,0,0,24,27,90
3822867,0,0,0,0,0,21,30,90
3822928,0,0,0,0,0,21,30,90
3823634,0,0,0,0,0,21,29,91
3824087,0,0,0,0,0,20,29,92
3824184,0,0,0,0,0,20,30,92
3826722,0,0,0,0,0,19,30,93
3827438,0,0,0,0,0,19,30,93
3829875,0,0,0,0,0,20,30,93
3829935,0,0,0,0,0,19,30,94
3831388,0,0,0,0,0,19,30,94
3832797,0,0,0,0,0,20,30,94
3834467,0,0,0,0,0,20,31,94
3834527,0,0,0,0,0,20,33,94
3836078,0,0,0,0,0,20,33,94
3837721,0,0,0,0,0,20,33,94
3837781,0,0,0,0,0,20,33,94
3838117,0,0,0,0,0,20,32,95
3838756,0,0,0,0,0,20,31,96
3839171,0,0,0,0,0,18,32,97
3840028,0,0,0,0,0,18,32,97
3840175,0,0,0,0,0,18,31,98
3841671,0,0,0,0,0,18,31,98
3841731,0,0,0,0,0,18,31,98
3842532,0,0,0,0,0,18,30,99
3844331,0,0,0,0,0,18,31,99
3847581,0,0,0,0,0,18,31,99
3847641,0,0,0,0,0,18,31,99
3848421,0,0,0,0,0,18,30,100
3850654,0,0,0,0,0,18,31,100
3850714,0,0,0,0,0,18,32,101
3850774,0,0,0,0,0,18,32,102
3851262,0,0,0,0,0,18,33,102
3851322,0,0,0,0,0,19,34,102
3851535,0,0,0,0,0,19,34,102
3853968,0,0,0,0,0,19,34,102
3854028,0,0,0,0,0,19,34,102
3854186,0,0,0,0,0,20,34,102
3854246,0,0,0,0,0,21,34,103
3854516,0,0,0,0,0,21,34,103
3854576,0,0,0,0,0,21,34,103
3854769,0,0,0,0,0,20,34,104
3855178,0,0,0,0,0,19,34,105
3855238,0,0,0,0,0,18,34,106
3855786,0,0,0,0,0,18,32,108
3857500,0,0,0,0,0,18,32,108
3858466,0,0,0,0,0,18,32,108
3858680,0,0,0,0,0,18,33,108
3859669,0,0,0,0,0,18,34,108
3859729,0,0,0,0,0,20,34,108
3859789,0,0,0,0,0,19,34,109
3860166,0,0,0,0,0,20,34,109
3860226,0,0,0,0,0,22,34,109
3860913,0,0,0,0,0,20,37,109
3860973,0,0,0,0,0,22,37,109
3861033,0,0,0,0,0,23,37,109
3861093,0,0,0,0,0,22,40,109
3861450,0,0,0,0,0,22,40,109
3861934,0,0,0,0,0,22,40,109
3862199,0,0,0,0,0,26,37,109
3862259,0,0,0,0,0,22,40,110
3862923,0,0,0,0,0,22,40,110
3862983,0,0,0,0,0,22,40,110
3863420,0,0,0,0,0,22,40,110
3863480,0,0,0,0,0,22,40,110
3864167,0,0,0,0,0,22,40,110
3864227,0,0,0,0,0,22,40,110
3864287,0,0,0,0,0,22,40,110
3864347,0,0,0,0,0,22,40,110
3865874,0,0,0,0,0,21,40,111
3865934,0,0,0,0,0,21,40,111
3866561,0,0,0,0,0,20,40,112
