time,job_id,num_gpu,submit_time,start_time,end_time,ddl,executed_time,JCT,pending_time,preempt,promote,best_effort_job
3717616,1,8,3717550,3717550,3717616,3717583,66,66,0,0,0,0
3721133,0,1,3715485,3715485,3721133,3719996,5648,5648,0,0,0,0
3721301,3,1,3721260,3721269,3721301,3721296,32,41,9,0,0,0
3721301,4,1,3721263,3721269,3721301,3721307,32,38,6,0,0,0
3721465,7,8,3721372,3721389,3721465,3721428,76,93,17,0,0,0
3722405,9,8,3721556,3721569,3722405,3722777,836,849,13,0,0,0
3725079,10,8,3721556,3721569,3725079,3723662,3510,3523,13,0,0,0
3725139,12,8,3721578,3721629,3725139,3725251,3510,3561,51,0,0,0
3725750,19,1,3725718,3725718,3725750,3725753,32,32,0,0,0,0
3726228,24,4,3726184,3726201,3726228,3726204,27,44,17,0,0,0
3726348,28,4,3726264,3726321,3726348,3726298,27,84,57,0,0,0
3727857,26,4,3726227,3726261,3727857,3727644,1596,1630,34,0,0,0
3729572,25,4,3726192,3726201,3729572,3730043,3371,3380,9,0,0,0
3729812,29,4,3726405,3726441,3729812,3730602,3371,3407,36,0,0,0
3733580,39,1,3733548,3733548,3733580,3733572,32,32,0,0,0,0
3735824,33,1,3730108,3730145,3735824,3735912,5679,5716,37,0,0,0
3737327,23,4,3726175,3726201,3737327,3735911,11126,11152,26,0,0,0
3737429,32,4,3730004,3730004,3737429,3740667,7425,7425,0,0,0,0
3737521,41,1,3737478,3737489,3737521,3737498,32,43,11,0,0,0
3737643,30,4,3726517,3726517,3737643,3742010,11126,11126,0,0,0,0
3737890,37,1,3733401,3733426,3737890,3737297,4464,4489,25,0,0,0
3737890,38,1,3733405,3733426,3737890,3738480,4464,4485,21,0,0,0
3738922,35,1,3733274,3733274,3738922,3736471,5648,5648,0,0,0,0
3739014,36,1,3733366,3733366,3739014,3738291,5648,5648,0,0,0,0
3744421,5,1,3721346,3721389,3744421,3740746,23032,23075,43,0,0,0
3744573,48,1,3744539,3744541,3744573,3744582,32,34,2,0,0,0
3745475,11,8,3721567,3721569,3745475,3740837,23906,23908,2,0,0,0
3745460,52,1,3745428,3745428,3745460,3745475,32,32,0,0,0,0
3747781,45,8,3744271,3744271,3747781,3748348,3510,3510,0,0,0,0
3748586,18,1,3725512,3725554,3748586,3743863,23032,23074,42,0,0,0
3750391,8,1,3721433,3721449,3750391,3760411,28942,28958,16,0,0,0
3751914,54,1,3747419,3747419,3751914,3751797,4495,4495,0,0,0,0
3754257,57,1,3748578,3748578,3754257,3751489,5679,5679,0,0,0,0
3754551,2,1,3721209,3721209,3754551,3758928,33342,33342,0,0,0,0
3754800,34,8,3730857,3730857,3754800,3762045,23943,23943,0,0,0,0
3755534,56,4,3748109,3748109,3755534,3755324,7425,7425,0,0,0,0
3755686,62,1,3755643,3755654,3755686,3755679,32,43,11,0,0,0
3758526,47,1,3744534,3744541,3758526,3757497,13985,13992,7,0,0,0
3758836,15,1,3725453,3725494,3758836,3749955,33342,33383,41,0,0,0
3758836,16,1,3725473,3725494,3758836,3746246,33342,33363,21,0,0,0
3759120,20,1,3725752,3725778,3759120,3763979,33342,33368,26,0,0,0
3761653,55,1,3747668,3747668,3761653,3760563,13985,13985,0,0,0,0
3762798,68,1,3758334,3758334,3762798,3760865,4464,4464,0,0,0,0
3764489,70,1,3760025,3760025,3764489,3764613,4464,4464,0,0,0,0
3766713,72,1,3762198,3762249,3766713,3765955,4464,4515,51,0,0,0
3767941,102,4,3767281,3767914,3767941,3767302,27,660,633,0,0,0
3768001,104,4,3767306,3767974,3768001,3767344,27,695,668,0,0,0
3768001,105,4,3767307,3767974,3768001,3767323,27,694,667,0,0,0
3768061,109,4,3767614,3768034,3768061,3767647,27,447,420,0,0,0
3768338,77,4,3765788,3765788,3768338,3767601,2550,2550,911,1,0,0
3768930,80,4,3766782,3766795,3768930,3768614,2135,2148,887,1,0,0
3768930,81,4,3766791,3766795,3768930,3767499,2135,2139,878,1,0,0
3768998,82,4,3766797,3766855,3768998,3767899,2143,2201,932,1,0,0
3769541,86,4,3767004,3767063,3769541,3768766,2478,2537,933,1,0,0
3769541,87,4,3767060,3767063,3769541,3768317,2478,2481,877,1,0,0
3769931,99,4,3767256,3767914,3769931,3768549,2017,2675,1414,1,0,0
3770318,100,4,3767270,3767914,3770318,3768702,2404,3048,1787,1,0,0
3770579,106,4,3767307,3767974,3770579,3768792,2605,3272,1668,1,0,0
3770579,107,4,3767307,3767974,3770579,3769233,2605,3272,1668,1,0,0
3771708,50,1,3744645,3744661,3771708,3760356,27047,27063,3992,2,0,0
3772683,83,4,3766813,3766855,3772683,3768913,5828,5870,2483,2,0,0
3773175,42,1,3740819,3740819,3773175,3776121,32356,32356,3375,2,0,0
3774286,61,1,3755548,3755594,3774286,3771136,18692,18738,4749,1,0,0
3774466,64,1,3755764,3755774,3774466,3775008,18692,18702,4713,1,0,0
3777290,46,1,3744449,3744481,3777290,3786467,32809,32841,3860,2,0,0
3777887,84,4,3766817,3766855,3777887,3774582,11032,11070,3664,2,0,0
3778252,71,1,3762189,3762189,3778252,3779123,16063,16063,2074,1,0,0
3779313,43,1,3742528,3742528,3779313,3781197,36785,36785,3435,2,0,0
3780007,44,1,3743222,3743222,3780007,3763368,36785,36785,3435,2,0,0
3780089,114,1,3774441,3774441,3780089,3780254,5648,5648,0,0,0,0
3785501,88,4,3767078,3767123,3785501,3775721,18378,18423,11017,2,0,0
3786505,69,1,3758766,3758766,3786505,3783116,27739,27739,4703,1,0,0
3787588,59,1,3749547,3749599,3787588,3796224,37989,38041,4695,1,0,0
3788371,116,2,3776602,3776602,3788371,3783808,11769,11769,0,0,0,0
3795808,76,1,3765479,3765503,3795808,3793773,30305,30329,1348,2,0,0
3795827,66,1,3757778,3757778,3795827,3781543,38049,38049,4703,1,0,0
3796334,89,4,3767086,3767123,3796334,3779619,29211,29248,18133,3,0,0
3796934,119,8,3796868,3796868,3796934,3796916,66,66,0,0,0,0
3797609,73,1,3762236,3762249,3797609,3795878,35360,35373,2027,1,0,0
3797943,91,4,3767100,3767123,3797943,3770680,30820,30843,27448,3,0,0
3798849,75,1,3764629,3764629,3798849,3808144,34220,34220,874,1,0,0
3802053,92,4,3767101,3767123,3802053,3771697,34930,34952,28990,2,0,0
3803235,90,4,3767087,3767123,3803235,3774505,36112,36148,25033,3,0,0
3803265,93,4,3767116,3767614,3803265,3770908,35651,36149,32762,2,0,0
3805653,113,1,3772342,3772342,3805653,3813144,33311,33311,0,0,0,0
3807063,95,4,3767148,3767914,3807063,3770447,39149,39915,33953,2,0,0
3818139,133,8,3818014,3818073,3818139,3818068,66,125,59,0,0,0
3818952,129,1,3813258,3813304,3818952,3818091,5648,5694,46,0,0,0
3821222,6,8,3721372,3721389,3821222,3849181,99833,99850,2825,1,0,0
3822240,139,16,3821725,3821738,3822240,3822249,502,515,13,0,0,0
3823634,121,1,3805242,3805242,3823634,3819509,18392,18392,4426,3,0,0
3824087,97,4,3767179,3767914,3824087,3771941,56173,56908,53513,3,0,0
3826722,98,4,3767212,3767914,3826722,3773616,58808,59510,53540,3,0,0
3829907,142,1,3829875,3829875,3829907,3829916,32,32,0,0,0,0
3838117,120,1,3801152,3801152,3838117,3825573,36965,36965,3634,5,0,0
3838756,130,1,3815724,3815724,3838756,3840090,23032,23032,0,0,0,0
3839171,53,8,3746451,3746451,3839171,3856989,92720,92720,7301,3,0,0
3840175,145,1,3834495,3834527,3840175,3838966,5648,5680,32,0,0,0
3842532,128,1,3813244,3813244,3842532,3849784,29288,29288,338,2,0,0
3848421,144,1,3834467,3834467,3848421,3842599,13954,13954,0,0,0,0
3850686,148,1,3850654,3850654,3850686,3850673,32,32,0,0,0,0
3850746,149,1,3850679,3850714,3850746,3850703,32,67,35,0,0,0
3854218,155,1,3854186,3854186,3854218,3854219,32,32,0,0,0,0
3854769,141,1,3824184,3824184,3854769,3860084,30585,30585,1670,1,0,0
3855178,150,1,3850703,3850714,3855178,3855082,4464,4475,11,0,0,0
3855238,151,1,3850750,3850774,3855238,3853722,4464,4488,24,0,0,0
3855786,153,1,3851270,3851322,3855786,3854495,4464,4516,52,0,0,0
3855786,154,1,3851272,3851322,3855786,3854963,4464,4514,50,0,0,0
3859761,160,1,3859688,3859729,3859761,3859733,32,73,41,0,0,0
3862226,171,4,3862199,3862199,3862226,3862219,27,27,0,0,0,0
3865874,164,1,3860212,3860226,3865874,3868353,5648,5662,14,0,0,0
3866561,165,1,3860913,3860913,3866561,3863963,5648,5648,0,0,0,0
3867036,152,1,3851262,3851262,3867036,3866700,15774,15774,1781,2,0,0
3867481,143,1,3832797,3832797,3867481,3868887,34684,34684,1330,4,0,0
3872167,182,1,3872099,3872135,3872167,3872128,32,68,36,0,0,0
3872167,183,1,3872103,3872135,3872167,3872127,32,64,32,0,0,0
3872167,184,1,3872108,3872135,3872167,3872126,32,59,27,0,0,0
3872779,157,1,3854229,3854246,3872779,3873535,18533,18550,4561,2,0,0
3873718,159,1,3859669,3859669,3873718,3876360,14049,14049,60,1,0,0
3875123,189,1,3875042,3875091,3875123,3875088,32,81,49,0,0,0
3876479,175,1,3871956,3872015,3876479,3874776,4464,4523,59,0,0,0
3876479,176,1,3871956,3872015,3876479,3874221,4464,4523,59,0,0,0
3876539,181,1,3872021,3872075,3876539,3874370,4464,4518,54,0,0,0
3877663,173,1,3871956,3872015,3877663,3880196,5648,5707,59,0,0,0
3877663,180,1,3872015,3872015,3877663,3875423,5648,5648,0,0,0,0
3879495,188,1,3875031,3875031,3879495,3879251,4464,4464,0,0,0,0
3889068,156,1,3854208,3854246,3889068,3888565,34822,34860,5910,2,0,0
3889328,191,1,3884864,3884864,3889328,3888328,4464,4464,0,0,0,0
3891217,166,1,3860935,3860973,3891217,3889034,30244,30282,7242,2,0,0
3897563,22,4,3726141,3726141,3897563,3918421,171422,171422,2808,1,0,0
3897971,174,1,3871956,3872015,3897971,3886651,25956,26015,12057,1,0,0
3900080,169,1,3861045,3861093,3900080,3889268,38987,39035,15995,2,0,0
3900324,179,1,3871958,3872015,3900324,3881063,28309,28366,14408,1,0,0
3904319,168,1,3861010,3861033,3904319,3896656,43286,43309,9986,3,0,0
3906865,187,1,3874434,3874465,3906865,3893772,32400,32431,18442,1,0,0
3907109,190,1,3884135,3884135,3907109,3901286,22974,22974,8985,1,0,0
3912717,170,1,3861088,3861093,3912717,3889838,51624,51629,18279,2,0,0
3913619,193,1,3886366,3886366,3913619,3902921,27253,27253,13295,1,0,0
3913803,186,1,3874405,3874405,3913803,3887853,39398,39398,16362,1,0,0
3914883,178,1,3871956,3872015,3914883,3902096,42868,42927,13981,1,0,0
3920845,185,1,3873061,3873061,3920845,3905516,47784,47784,14469,1,0,0
3923201,27,4,3726239,3726261,3923201,3982340,196940,196962,5200,4,0,0
3948111,85,4,3767003,3767003,3948111,3857979,181108,181108,12524,6,0,0
3964579,78,4,3766675,3766675,3964579,4006074,197904,197904,6188,7,0,0
3964927,79,4,3766683,3766735,3964927,3958378,198192,198244,6544,6,0,0
3966392,111,8,3770473,3770473,3966392,3772539,195919,195919,193429,1,0,0
3969319,112,8,3770475,3770533,3969319,3773407,198786,198844,194952,1,0,0
