time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
3715485,0,0,0,0,0,0,1,0
3716092,0,0,0,0,0,0,0,1
3717550,0,0,0,0,0,0,1,1
3717619,0,0,0,0,0,0,0,1
3721209,0,0,0,0,0,0,1,1
3721269,0,0,0,0,0,1,2,1
3721338,0,0,0,0,0,0,2,1
3721398,0,0,0,0,0,3,2,1
3721458,0,0,0,0,0,3,2,1
3721527,0,0,0,0,0,1,3,1
3721587,0,0,0,0,0,4,4,1
3722443,0,0,0,0,0,2,5,2
3724269,0,0,0,0,0,3,5,2
3725023,0,0,0,0,0,2,4,3
3725434,0,0,0,0,0,3,4,3
3725494,0,0,0,0,0,4,5,3
3725554,0,0,0,0,0,5,6,3
3725718,0,0,0,0,0,5,7,3
3725778,0,0,0,0,0,6,7,3
3725838,0,0,0,0,0,7,6,3
3726141,0,0,0,0,0,8,6,3
3726201,0,0,0,0,0,10,7,3
3726261,0,0,0,0,0,12,7,3
3726321,0,0,0,0,0,12,7,3
3726390,0,0,0,0,0,11,7,3
3726450,0,0,0,0,0,12,7,3
3726517,0,0,0,0,0,13,7,3
3726831,0,0,0,0,0,14,7,3
3726997,0,0,0,0,0,13,7,4
3728020,0,0,0,0,0,12,7,5
3729043,0,0,0,0,0,11,7,6
3730004,0,0,0,0,0,11,8,6
3730108,0,0,0,0,0,11,9,6
3730561,0,0,0,0,0,11,8,7
3730857,0,0,0,0,0,12,8,7
3731015,0,0,0,0,0,12,7,8
3732009,0,0,0,0,0,11,7,9
3733274,0,0,0,0,0,11,8,9
3733366,0,0,0,0,0,11,9,9
3733426,0,0,0,0,0,12,10,9
3733548,0,0,0,0,0,12,11,9
3733617,0,0,0,0,0,12,10,9
3733772,0,0,0,0,0,13,10,9
3733832,0,0,0,0,0,13,9,10
3734053,0,0,0,0,0,12,9,11
3734223,0,0,0,0,0,12,8,12
3734684,0,0,0,0,0,12,7,13
3735769,0,0,0,0,0,12,6,14
3737478,0,0,0,0,0,12,7,14
3737538,0,0,0,0,0,12,6,14
3740819,0,0,0,0,0,13,6,14
3742528,0,0,0,0,0,14,6,14
3743222,0,0,0,0,0,15,6,14
3744271,0,0,0,0,0,16,6,14
3744449,0,0,0,0,0,17,6,14
3744534,0,0,0,0,0,18,6,14
3744594,0,0,0,0,0,18,7,14
3744654,0,0,0,0,0,20,6,14
3745177,0,0,0,0,0,21,6,14
3745428,0,0,0,0,0,21,7,14
3745488,0,0,0,0,0,21,6,14
3746232,0,0,0,0,0,20,6,14
3746451,0,0,0,0,0,21,6,14
3746973,0,0,0,0,0,21,5,14
3747419,0,0,0,0,0,22,5,14
3747668,0,0,0,0,0,23,5,14
3748109,0,0,0,0,0,24,5,14
3748578,0,0,0,0,0,25,5,14
3748888,0,0,0,0,0,23,6,14
3749338,0,0,0,0,0,22,6,15
3749539,0,0,0,0,0,23,6,15
3749599,0,0,0,0,0,24,6,15
3749829,0,0,0,0,0,23,6,16
3750599,0,0,0,0,0,23,5,16
3751853,0,0,0,0,0,22,5,17
3752835,0,0,0,0,0,21,5,18
3753009,0,0,0,0,0,21,4,18
