time,job_id,num_gpu,submit_time,start_time,end_time,ddl,executed_time,JCT,pending_time,preempt,promote,best_effort_job
3716092,0,64,3715485,3715485,3716092,3719996,607,607,0,0,0,0
3717619,1,64,3717550,3717550,3717619,3717583,69,69,0,0,0,0
3721338,3,64,3721260,3721269,3721338,3721296,69,78,9,0,0,0
3721458,4,64,3721263,3721338,3721407,3721307,69,144,75,0,0,0
3721527,7,64,3721372,3721458,3721527,3721428,69,155,86,0,0,0
3722443,9,64,3721556,3721587,3722443,3722777,856,887,31,0,0,0
3725023,10,32,3721556,3722443,3725023,3723662,2580,3467,887,0,0,0
3725023,12,32,3721578,3722443,3725023,3725251,2580,3445,865,0,0,0
3725838,19,64,3725718,3725718,3725787,3725753,69,69,0,0,0,0
3726321,24,64,3726184,3726201,3726270,3726204,69,86,17,0,0,0
3726390,28,64,3726264,3726321,3726390,3726298,69,126,57,0,0,0
3726997,26,64,3726227,3726390,3726997,3727644,607,770,163,0,0,0
3728020,25,64,3726192,3726997,3728020,3730043,1023,1828,805,0,0,0
3729043,29,64,3726405,3728020,3729043,3730602,1023,2638,1615,0,0,0
3730561,33,32,3730108,3730108,3730561,3735912,453,453,0,0,0,0
3731015,5,16,3721346,3721527,3731015,3740746,9488,9669,181,0,0,0
3732009,32,32,3730004,3730004,3732009,3740667,2005,2005,0,0,0,0
3733617,39,64,3733548,3733548,3733617,3733572,69,69,0,0,0,0
3733832,35,32,3733274,3733274,3733796,3736471,522,522,0,0,0,0
3734053,37,32,3733401,3733426,3734053,3737297,627,652,25,0,0,0
3734223,36,32,3733366,3733366,3734223,3738291,857,857,0,0,0,0
3734684,38,32,3733405,3734053,3734684,3738480,631,1279,648,0,0,0
3735769,18,16,3725512,3725554,3735769,3743863,10215,10257,42,0,0,0
3737538,41,32,3737478,3737478,3737538,3737498,60,60,0,0,0,0
3744654,48,16,3744539,3744594,3744642,3744582,48,103,55,0,0,0
3745488,52,16,3745428,3745428,3745476,3745475,48,48,0,0,0,0
3746232,23,16,3726175,3729043,3746232,3735911,17189,20057,2868,0,0,0
3746973,11,16,3721567,3725023,3746973,3740837,21950,25406,3456,0,0,0
3748888,45,32,3744271,3746232,3748888,3748348,2656,4617,1961,0,0,0
3749338,57,16,3748578,3748888,3749338,3751489,450,760,310,0,0,0
3749829,54,16,3747419,3749338,3749829,3751797,491,2410,1919,0,0,0
3750599,30,16,3726517,3732009,3750599,3742010,18590,24082,5492,0,0,0
3751853,56,32,3748109,3749829,3751853,3755324,2024,3744,1720,0,0,0
3752835,47,32,3744534,3751853,3752835,3757497,982,8301,7319,0,0,0
3753009,16,16,3725473,3725494,3753009,3746246,27515,27536,21,0,0,0
3755433,50,32,3744645,3752835,3755433,3760356,2598,10788,8190,0,0,0
3755703,62,32,3755643,3755643,3755703,3755679,60,60,0,0,0,0
3757415,8,32,3721433,3721527,3757415,3760411,35888,35982,94,0,0,0
3758397,55,32,3747668,3757415,3758397,3760563,982,10729,9747,0,0,0
3759102,68,32,3758334,3758397,3759102,3760865,705,768,63,0,0,0
3766008,15,16,3725453,3748888,3766008,3749955,17120,40555,23435,0,0,0
3769364,2,16,3721209,3721209,3769364,3758928,48155,48155,0,0,0,0
3769855,70,16,3760025,3769364,3769855,3764613,491,9830,9339,0,0,0
3770346,72,16,3762198,3769855,3770346,3765955,491,8148,7657,0,0,0
3770406,102,16,3767281,3770346,3770394,3767302,48,3113,3065,0,0,0
3770466,105,16,3767307,3770406,3770454,3767323,48,3147,3099,0,0,0
3770526,104,16,3767306,3770466,3770514,3767344,48,3208,3160,0,0,0
3771017,81,16,3766791,3770526,3771017,3767499,491,4226,3735,0,0,0
3771467,77,16,3765788,3771017,3771467,3767601,450,5679,5229,0,0,0
3771527,109,16,3767614,3771467,3771515,3767647,48,3901,3853,0,0,0
3772018,82,16,3766797,3771527,3772018,3767899,491,5221,4730,0,0,0
3772468,87,16,3767060,3772018,3772468,3768317,450,5408,4958,0,0,0
3772959,99,16,3767256,3772468,3772959,3768549,491,5703,5212,0,0,0
3773450,80,16,3766782,3772959,3773450,3768614,491,6668,6177,0,0,0
3773941,100,16,3767270,3773450,3773941,3768702,491,6671,6180,0,0,0
3774391,86,16,3767004,3773941,3774391,3768766,450,7387,6937,0,0,0
3774841,106,16,3767307,3774391,3774841,3768792,450,7534,7084,0,0,0
3776176,83,16,3766813,3774841,3776176,3768913,1335,9363,8028,0,0,0
3776236,34,16,3730857,3759102,3776222,3762045,17120,45365,28245,0,0,0
3776236,44,16,3743222,3759102,3776222,3763368,17120,33000,15880,0,0,0
3776662,107,32,3767307,3776176,3776629,3769233,453,9322,8869,0,0,0
3777997,91,16,3767100,3776662,3777997,3770680,1335,10897,9562,0,0,0
3778860,95,32,3767148,3776236,3778860,3770447,2624,11712,9088,0,0,0
3779207,93,32,3767116,3777997,3779207,3770908,1210,12091,10881,0,0,0
3779934,61,32,3755548,3778860,3779934,3771136,1074,24386,23312,0,0,0
3781269,97,16,3767179,3779934,3781269,3771941,1335,14090,12755,0,0,0
3781862,92,32,3767101,3779207,3781862,3771697,2655,14761,12106,0,0,0
3782408,111,32,3770473,3781269,3782408,3772539,1139,11935,10796,0,0,0
3783128,20,16,3725752,3766008,3783128,3763979,17120,57376,40256,0,0,0
3783768,112,64,3770475,3781862,3783768,3773407,1906,13293,11387,0,0,0
3785702,98,32,3767212,3782408,3785702,3773616,3294,18490,15196,0,0,0
3785861,84,32,3766817,3783768,3785861,3774582,2093,19044,16951,0,0,0
3786731,64,32,3755764,3785702,3786726,3775008,1024,30962,29938,0,0,0
3787891,88,32,3767078,3785861,3787891,3775721,2030,20813,18783,0,0,0
3788778,42,32,3740819,3786731,3788778,3776121,2047,47959,45912,0,0,0
3789108,71,32,3762189,3787891,3789108,3779123,1217,26919,25702,0,0,0
3789561,114,32,3774441,3789108,3789561,3780254,453,15120,14667,0,0,0
3800888,90,16,3767087,3783768,3800888,3774505,17120,33801,16681,0,0,0
3803765,69,16,3758766,3800888,3803765,3783116,2877,44999,42122,0,0,0
3805898,89,16,3767086,3788778,3805898,3779619,17120,38812,21692,0,0,0
3806565,116,32,3776602,3803765,3806565,3783808,2800,29963,27163,0,0,0
