time,job_id,num_gpu,submit_time,start_time,end_time,ddl,executed_time,JCT,pending_time,preempt,promote,best_effort_job
3715977.0,0,16,3715485,3715485,3715977.0,3719996,492.0,492,0,0,0,0
3717614.0,1,1,3717550,3717550,3717614.0,3717583,64.0,64,0,0,0,0
3723598,8,16,3721433,3721466,3723598,3760411,2132,2165,33,0,0,0
3724200,12,32,3721578,3721616,3724200,3725251,2584,2622,38,0,0,0
3724631,5,16,3721346,3721346,3724631,3740746,3285,3285,0,0,0,0
3725900,19,1,3725718,3725718,3725900,3725753,182,182,0,0,0,0
3727201.0,26,8,3726227,3726261,3727201.0,3727644,940.0,974,34,0,0,0
3729003.0,29,8,3726405,3726405,3729003.0,3730602,2598.0,2598,0,0,0,0
3733610,33,1,3730108,3730108,3733610,3735912,3502,3502,0,0,0,0
3735094,35,4,3733274,3733274,3735094,3736471,1820,1820,0,0,0,0
3735336,37,16,3733401,3733426,3735336,3737297,1910,1935,25,0,0,0
3737018,38,1,3733405,3733426,3737018,3738480,3592,3613,21,0,0,0
3737780,36,1,3733366,3733366,3737780,3738291,4414,4414,0,0,0,0
3737902,2,1,3721209,3721209,3737902,3758928,16693,16693,0,0,0,0
3738264,18,1,3725512,3725554,3738264,3743863,12710,12752,42,0,0,0
3738626,11,1,3721567,3721616,3738626,3740837,17010,17059,49,0,0,0
3739828,30,4,3726517,3726517,3739828,3742010,13311,13311,0,0,0,0
3740490,32,2,3730004,3730004,3740490,3740667,10486,10486,0,0,0,0
3743584,16,4,3725473,3725494,3743584,3746246,18090,18111,21,0,0,0
3745490,52,1,3745428,3745428,3745490,3745475,62,62,0,0,0,0
3746993,15,1,3725453,3725494,3746993,3749955,21499,21540,41,0,0,0
3748090,45,4,3744271,3744271,3748090,3748348,3819,3819,0,0,0,0
3750921,57,2,3748578,3748578,3750921,3751489,2343,2343,0,0,0,0
3750921,54,1,3747419,3747419,3750921,3751797,3502,3502,0,0,0,0
3754283,47,2,3744534,3744534,3754283,3757497,9749,9749,0,0,0,0
3755226,56,4,3748109,3748150,3755226,3755324,7076,7117,41,0,0,0
3755826,62,1,3755643,3755643,3755826,3755679,183,183,0,0,0,0
3756690,34,1,3730857,3730857,3756690,3762045,25833,25833,0,0,0,0
3760387,50,1,3744645,3744654,3760387,3760356,15733,15742,9,0,0,0
3760569,55,1,3747668,3747668,3760569,3760563,12901,12901,0,0,0,0
3760871,68,1,3758334,3758334,3760871,3760865,2537,2537,0,0,0,0
3760993,42,1,3740819,3740819,3760993,3776121,20174,20174,0,0,0,0
3761475,43,1,3742528,3742528,3761475,3781197,18947,18947,0,0,0,0
3762311,44,1,3743222,3743222,3762311,3763368,19089,19089,0,0,0,0
3764190,70,1,3760025,3760025,3764190,3764613,4165,4165,0,0,0,0
3764372,46,1,3744449,3744449,3764372,3786467,19923,19923,0,0,0,0
3765411,72,2,3762198,3762249,3765411,3765955,3162,3213,51,0,0,0
3767545,81,8,3766791,3766795,3767545,3767499,750,754,4,0,0,0
3767607,77,1,3765788,3765788,3767607,3767601,1819,1819,0,0,0,0
3767909,82,4,3766797,3766855,3767909,3767899,1054,1112,58,0,0,0
3768211,87,8,3767060,3767063,3768211,3768317,1148,1151,3,0,0,0
3768513,80,4,3766782,3766795,3768513,3768614,1718,1731,13,0,0,0
3768755,86,4,3767004,3767063,3768755,3768766,1692,1751,59,0,0,0
3768937,83,4,3766813,3766855,3768937,3768913,2082,2124,42,0,0,0
3770319,95,16,3767148,3767183,3770319,3770447,3136,3171,35,0,0,0
3770383.0,61,1,3755548,3755548,3770383.0,3771136,14835.0,14835,0,0,0,0
3771495,97,4,3767179,3767183,3771495,3771941,4312,4316,4,0,0,0
3772337,111,4,3770473,3770473,3772337,3772539,1864,1864,0,0,0,0
3773419,112,4,3770475,3770533,3773419,3773407,2886,2944,58,0,0,0
3773601,98,4,3767212,3767243,3773601,3773616,6358,6389,31,0,0,0
3774503,71,1,3762189,3762189,3774503,3779123,12314,12314,0,0,0,0
3774565,84,2,3766817,3766855,3774565,3774582,7710,7748,38,0,0,0
3774867,59,1,3749547,3749599,3774867,3796224,25268,25320,52,0,0,0
3780144,114,1,3774441,3774441,3780144,3780254,5703,5703,0,0,0,0
3780986,66,2,3757778,3757778,3780986,3781543,23208,23208,0,0,0,0
3781288,69,1,3758766,3758766,3781288,3783116,22522,22522,0,0,0,0
3783150,116,4,3776602,3776602,3783150,3783808,6548,6548,0,0,0,0
