time,job_id,num_gpu,submit_time,start_time,end_time,ddl,executed_time,JCT,pending_time,preempt,promote,best_effort_job
3721209,0,1,3715485,3715485,3721137.0,3719996,5652.0,5652,0,0,0,0
3721209,1,8,3717550,3717550,3717626.0,3717583,76.0,76,0,0,0,0
3721346,3,1,3721260,3721269,3721305.0,3721296,36.0,45,0,0,0,0
3721346,4,1,3721263,3721269,3721305.0,3721307,36.0,42,0,0,0,0
3721556,7,8,3721372,3721406,3721492.0,3721428,86.0,120,0,0,0,0
3724269,9,8,3721556,3721556,3722402.0,3722777,846.0,846,0,0,0,0
3725434,10,8,3721556,3721556,3725086.0,3723662,3530.0,3530,0,0,0,0
3725434,12,8,3721578,3721616,3725136.0,3725251,3520.0,3558,0,0,0,0
3725778,19,1,3725718,3725718,3725754.0,3725753,36.0,36,0,0,0,0
3726261,24,4,3726184,3726201,3726236.0,3726204,35.0,52,0,0,0,0
3726405,28,4,3726264,3726321,3726356.0,3726298,35.0,92,0,0,0,0
3730004,25,4,3726192,3726201,3729612.0,3730043,3411.0,3420,0,0,0,0
3730004,29,4,3726405,3726405,3729792.0,3730602,3387.0,3387,0,0,0,0
3730004,26,4,3726227,3726261,3727889.0,3727644,1628.0,1662,0,0,0,0
3733772,39,1,3733548,3733548,3733584.0,3733572,36.0,36,0,0,0,0
3737478,23,4,3726175,3726201,3737396.0,3735911,11195.0,11221,0,0,0,0
3737478,32,4,3730004,3730004,3737450.0,3740667,7446.0,7446,0,0,0,0
3740819,41,1,3737478,3737478,3737514.0,3737498,36.0,36,0,0,0,0
3740819,35,1,3733274,3733274,3738942.0,3736471,5668.0,5668,0,0,0,0
3740819,38,1,3733405,3733426,3737902.0,3738480,4476.0,4497,0,0,0,0
3740819,36,1,3733366,3733366,3739148.0,3738291,5782.0,5782,0,0,0,0
3740819,30,4,3726517,3726517,3737688.0,3742010,11171.0,11171,0,0,0,0
3744654,48,1,3744539,3744594,3744630.0,3744582,36.0,91,0,0,0,0
3746451,11,8,3721567,3721616,3745815.0,3740837,24199.0,24248,0,0,0,0
3747419,33,1,3730108,3730108,3747399.0,3735912,17291.0,17291,0,0,0,0
3747668,52,1,3745428,3745428,3747455.0,3745475,2027.0,2027,0,0,0,0
3748109,45,8,3744271,3744271,3747871.0,3748348,3600.0,3600,0,0,0,0
