time,gpu0-0,gpu0-1,gpu0-2,gpu0-3,gpu1-0,gpu1-1,gpu1-2,gpu1-3,gpu2-0,gpu2-1,gpu2-2,gpu2-3,gpu3-0,gpu3-1,gpu3-2,gpu3-3,gpu4-0,gpu4-1,gpu4-2,gpu4-3,gpu5-0,gpu5-1,gpu5-2,gpu5-3,gpu6-0,gpu6-1,gpu6-2,gpu6-3,gpu7-0,gpu7-1,gpu7-2,gpu7-3,gpu8-0,gpu8-1,gpu8-2,gpu8-3,gpu9-0,gpu9-1,gpu9-2,gpu9-3,gpu10-0,gpu10-1,gpu10-2,gpu10-3,gpu11-0,gpu11-1,gpu11-2,gpu11-3,gpu12-0,gpu12-1,gpu12-2,gpu12-3,gpu13-0,gpu13-1,gpu13-2,gpu13-3,gpu14-0,gpu14-1,gpu14-2,gpu14-3,gpu15-0,gpu15-1,gpu15-2,gpu15-3,ce
3715485,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015625
3717550,0,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02336147632312989
3721209,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015625
3721269,,,,,,,,,,,,,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046875
3721346,,,,,,,,,,,,,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03125
3721406,,,,,,,,,,,,,2,5,,,,,,,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15312797061827355
3721466,,,,,,,,,,,,,2,5,,,,,,,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16875297061827355
3721556,,,,,,,,,,,,,2,5,8,,,,,,6,6,6,6,6,6,6,6,,,,,,,,,,,,,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,,,,,,,,,0.3480339170446643
3721616,12,12,12,12,12,12,12,12,,,,,2,5,8,,,,,,6,6,6,6,6,6,6,6,,,,,,,,,,,,,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,0.47246798156999475
3724269,12,12,12,12,12,12,12,12,13,,,,2,5,8,,,,,,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,0.403717808737897
3725434,,,,,,,,,,,,,2,5,8,13,14,,,,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,0.21405830890305122
3725494,,,,,,,,,,,,,2,5,8,13,,,,,6,6,6,6,6,6,6,6,,,,,,,,,15,16,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,0.22968330890305122
3725554,,,,,,,,,,,,,2,5,8,13,,,,,6,6,6,6,6,6,6,6,17,18,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,0.22968330890305122
3725718,,,,,,,,,,,,,2,5,8,13,,,,,6,6,6,6,6,6,6,6,17,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,0.24530830890305122
3725778,,,,,,,,,20,,,,2,5,8,13,,,,,6,6,6,6,6,6,6,6,17,18,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,0.24530830890305122
3725838,,,,,,,,,,,,,2,5,8,13,,,,,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,11,11,11,11,11,11,11,11,0.21405830890305122
3726141,,,,,,,,,,,,,2,5,8,13,22,22,22,22,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,11,11,11,11,11,11,11,11,0.2717439721833369
