time,job_id,num_gpu,submit_time,start_time,end_time,ddl,executed_time,JCT,pending_time,preempt,promote,best_effort_job
3717705,1,8,3717550,9223372036854775807,3717705,3717583,-9223372036851058102,155,0,0,0,0
3721185,0,1,3715485,9223372036854775807,3721185,3719996,-9223372036851054622,5700,0,0,0,0
3721365,3,1,3721260,9223372036854775807,3721365,3721296,-9223372036851054442,105,0,0,0,0
3721365,4,1,3721263,9223372036854775807,3721365,3721307,-9223372036851054442,102,0,0,0,0
3721545,7,8,3721372,9223372036854775807,3721545,3721428,-9223372036851054262,173,0,0,0,0
3722445,9,8,3721556,9223372036854775807,3722445,3722777,-9223372036851053362,889,0,0,0,0
3725145,10,8,3721556,9223372036854775807,3725145,3723662,-9223372036851050662,3589,0,0,0,0
3725145,12,8,3721578,9223372036854775807,3725145,3725251,-9223372036851050662,3567,0,0,0,0
3725805,19,1,3725718,9223372036854775807,3725805,3725753,-9223372036851050002,87,0,0,0,0
3726285,24,4,3726184,9223372036854775807,3726285,3726204,-9223372036851049522,101,0,0,0,0
3726345,28,4,3726264,9223372036854775807,3726345,3726298,-9223372036851049462,81,0,0,0,0
3727905,26,4,3726227,9223372036854775807,3727905,3727644,-9223372036851047902,1678,0,0,0,0
3729645,25,4,3726192,9223372036854775807,3729645,3730043,-9223372036851046162,3453,0,0,0,0
3729825,29,4,3726405,9223372036854775807,3729825,3730602,-9223372036851045982,3420,0,0,0,0
3733665,39,1,3733548,9223372036854775807,3733665,3733572,-9223372036851042142,117,0,0,0,0
3735825,33,1,3730108,9223372036854775807,3735825,3735912,-9223372036851039982,5717,0,0,0,0
3737325,23,4,3726175,9223372036854775807,3737325,3735911,-9223372036851038482,11150,0,0,0,0
3737445,32,4,3730004,9223372036854775807,3737445,3740667,-9223372036851038362,7441,0,0,0,0
3737565,41,1,3737478,9223372036854775807,3737565,3737498,-9223372036851038242,87,0,0,0,0
3737625,30,4,3726517,9223372036854775807,3737625,3742010,-9223372036851038182,11108,0,0,0,0
3737925,37,1,3733401,9223372036854775807,3737925,3737297,-9223372036851037882,4524,0,0,0,0
3737925,38,1,3733405,9223372036854775807,3737925,3738480,-9223372036851037882,4520,0,0,0,0
3739005,35,1,3733274,9223372036854775807,3739005,3736471,-9223372036851036802,5731,0,0,0,0
3739125,36,1,3733366,9223372036854775807,3739125,3738291,-9223372036851036682,5759,0,0,0,0
3744405,5,1,3721346,9223372036854775807,3744405,3740746,-9223372036851031402,23059,0,0,0,0
3744645,48,1,3744539,9223372036854775807,3744645,3744582,-9223372036851031162,106,0,0,0,0
3745485,11,8,3721567,9223372036854775807,3745485,3740837,-9223372036851030322,23918,0,0,0,0
3745545,52,1,3745428,9223372036854775807,3745545,3745475,-9223372036851030262,117,0,0,0,0
3747825,45,8,3744271,9223372036854775807,3747825,3748348,-9223372036851027982,3554,0,0,0,0
3748605,18,1,3725512,9223372036854775807,3748605,3743863,-9223372036851027202,23093,0,0,0,0
3750405,8,1,3721433,9223372036854775807,3750405,3760411,-9223372036851025402,28972,0,0,0,0
3751965,54,1,3747419,9223372036854775807,3751965,3751797,-9223372036851023842,4546,0,0,0,0
3754305,57,1,3748578,9223372036854775807,3754305,3751489,-9223372036851021502,5727,0,0,0,0
3754545,2,1,3721209,9223372036854775807,3754545,3758928,-9223372036851021262,33336,0,0,0,0
3754785,34,8,3730857,9223372036854775807,3754785,3762045,-9223372036851021022,23928,0,0,0,0
3755565,56,4,3748109,9223372036854775807,3755565,3755324,-9223372036851020242,7456,0,0,0,0
3755745,62,1,3755643,9223372036854775807,3755745,3755679,-9223372036851020062,102,0,0,0,0
3758565,47,1,3744534,9223372036854775807,3758565,3757497,-9223372036851017242,14031,0,0,0,0
3758805,15,1,3725453,9223372036854775807,3758805,3749955,-9223372036851017002,33352,0,0,0,0
3758805,16,1,3725473,9223372036854775807,3758805,3746246,-9223372036851017002,33332,0,0,0,0
3759105,20,1,3725752,9223372036854775807,3759105,3763979,-9223372036851016702,33353,0,0,0,0
3761685,55,1,3747668,9223372036854775807,3761685,3760563,-9223372036851014122,14017,0,0,0,0
3762885,68,1,3758334,9223372036854775807,3762885,3760865,-9223372036851012922,4551,0,0,0,0
3764565,70,1,3760025,9223372036854775807,3764565,3764613,-9223372036851011242,4540,0,0,0,0
3766725,72,1,3762198,9223372036854775807,3766725,3765955,-9223372036851009082,4527,0,0,0,0
3767685,50,1,3744645,9223372036854775807,3767685,3760356,-9223372036851008122,23040,0,0,0,0
3769545,61,1,3755548,9223372036854775807,3769545,3771136,-9223372036851006262,13997,0,0,0,0
3769785,64,1,3755764,9223372036854775807,3769785,3775008,-9223372036851006022,14021,0,0,0,0
3769785,42,1,3740819,9223372036854775807,3769785,3776121,-9223372036851006022,28966,0,0,0,0
3773385,46,1,3744449,9223372036854775807,3773385,3786467,-9223372036851002422,28936,0,0,0,0
3775845,43,1,3742528,9223372036854775807,3775845,3781197,-9223372036850999962,33317,0,0,0,0
3776205,71,1,3762189,9223372036854775807,3776205,3779123,-9223372036850999602,14016,0,0,0,0
3776565,44,1,3743222,9223372036854775807,3776565,3763368,-9223372036850999242,33343,0,0,0,0
3776985,83,4,3766813,9223372036854775807,3776985,3768913,-9223372036850998822,10172,0,0,0,0
3777045,91,4,3767100,9223372036854775807,3777045,3770680,-9223372036850998762,9945,0,0,0,0
3777045,93,4,3767116,9223372036854775807,3777045,3770908,-9223372036850998762,9929,0,0,0,0
3777045,97,4,3767179,9223372036854775807,3777045,3771941,-9223372036850998762,9866,0,0,0,0
3780165,114,1,3774441,9223372036854775807,3780165,3780254,-9223372036850995642,5724,0,0,0,0
3781845,69,1,3758766,9223372036854775807,3781845,3783116,-9223372036850993962,23079,0,0,0,0
3782865,59,1,3749547,9223372036854775807,3782865,3796224,-9223372036850992942,33318,0,0,0,0
3788445,116,2,3776602,9223372036854775807,3788445,3783808,-9223372036850987362,11843,0,0,0,0
3791085,66,1,3757778,9223372036854775807,3791085,3781543,-9223372036850984722,33307,0,0,0,0
3794445,76,1,3765479,9223372036854775807,3794445,3793773,-9223372036850981362,28966,0,0,0,0
3795585,73,1,3762236,9223372036854775807,3795585,3795878,-9223372036850980222,33349,0,0,0,0
3797985,75,1,3764629,9223372036854775807,3797985,3808144,-9223372036850977822,33356,0,0,0,0
3805665,113,1,3772342,9223372036854775807,3805665,3813144,-9223372036850970142,33323,0,0,0,0
3812025,84,4,3766817,9223372036854775807,3812025,3774582,-9223372036850963782,45208,0,0,0,0
3812985,88,4,3767078,9223372036854775807,3812985,3775721,-9223372036850962822,45907,0,0,0,0
3818085,102,4,3767281,9223372036854775807,3818085,3767302,-9223372036850957722,50804,0,0,0,0
3818085,104,4,3767306,9223372036854775807,3818085,3767344,-9223372036850957722,50779,0,0,0,0
3818085,105,4,3767307,9223372036854775807,3818085,3767323,-9223372036850957722,50778,0,0,0,0
3818085,109,4,3767614,9223372036854775807,3818085,3767647,-9223372036850957722,50471,0,0,0,0
3818985,129,1,3813258,9223372036854775807,3818985,3818091,-9223372036850956822,5727,0,0,0,0
3819225,121,1,3805242,9223372036854775807,3819225,3819509,-9223372036850956582,13983,0,0,0,0
3822045,95,4,3767148,9223372036854775807,3822045,3770447,-9223372036850953762,54897,0,0,0,0
3822105,98,4,3767212,9223372036854775807,3822105,3773616,-9223372036850953702,54893,0,0,0,0
3822165,92,4,3767101,9223372036854775807,3822165,3771697,-9223372036850953642,55064,0,0,0,0
3824985,111,8,3770473,9223372036854775807,3824985,3772539,-9223372036850950822,54512,0,0,0,0
3829965,142,1,3829875,9223372036854775807,3829965,3829916,-9223372036850945842,90,0,0,0,0
3834465,120,1,3801152,9223372036854775807,3834465,3825573,-9223372036850941342,33313,0,0,0,0
3838785,130,1,3815724,9223372036854775807,3838785,3840090,-9223372036850937022,23061,0,0,0,0
3840225,145,1,3834495,9223372036854775807,3840225,3838966,-9223372036850935582,5730,0,0,0,0
