time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
9940,0,0,0,0,0,0,1,0
11086,0,0,0,0,0,0,2,0
11146,0,0,0,0,0,0,3,0
11326,0,0,0,0,0,0,4,0
11664,0,0,0,0,0,0,5,0
11724,0,0,0,0,0,0,6,0
11851,0,0,0,0,0,0,7,0
11934,0,0,0,0,0,0,8,0
12219,0,0,0,0,0,0,9,0
12324,0,0,0,0,0,0,10,0
12759,0,0,0,0,0,0,11,0
13011,0,0,0,0,0,0,12,0
13199,0,0,0,0,0,0,12,0
13621,0,0,0,0,0,0,13,0
13938,0,0,0,0,0,0,14,0
14106,0,0,0,0,0,0,15,0
14166,0,0,0,0,0,0,16,0
14229,0,0,0,0,0,0,17,0
14345,0,0,0,0,0,0,17,0
14405,0,0,0,0,0,0,17,0
14585,0,0,0,0,0,0,17,0
14645,0,0,0,0,0,0,18,0
14923,0,0,0,0,0,0,18,0
14983,0,0,0,0,0,0,18,0
15110,0,0,0,0,0,0,18,0
15193,0,0,0,0,0,0,18,0
15478,0,0,0,0,0,0,18,0
15583,0,0,0,0,0,0,18,0
16018,0,0,0,0,0,0,18,0
16270,0,0,0,0,0,0,18,0
16880,0,0,0,0,0,0,18,0
17149,0,0,0,0,0,0,18,0
17209,0,0,0,0,0,0,18,0
17365,0,0,0,0,0,0,18,0
17425,0,0,0,0,0,0,18,0
17488,0,0,0,0,0,0,18,0
17904,0,0,0,0,0,0,18,0
18295,0,0,0,0,0,0,18,0
18355,0,0,0,0,0,0,18,0
18535,0,0,0,0,0,0,18,0
18873,0,0,0,0,0,0,18,0
18933,0,0,0,0,0,0,18,0
19060,0,0,0,0,0,0,18,0
19143,0,0,0,0,0,0,18,0
19428,0,0,0,0,0,0,18,0
19533,0,0,0,0,0,0,18,0
19968,0,0,0,0,0,0,18,0
20220,0,0,0,0,0,0,18,0
20830,0,0,0,0,0,0,18,0
21147,0,0,0,0,0,0,18,0
21315,0,0,0,0,0,0,18,0
21375,0,0,0,0,0,0,18,0
21438,0,0,0,0,0,0,18,0
21854,0,0,0,0,0,0,18,0
26184,0,0,0,0,0,0,17,1
27268,0,0,0,0,0,0,16,2
27463,0,0,0,0,0,0,15,3
27722,0,0,0,0,0,0,14,4
27917,0,0,0,0,0,0,13,5
28035,0,0,0,0,0,0,12,6
28179,0,0,0,0,0,0,11,7
28397,0,0,0,0,0,0,10,8
28627,0,0,0,0,0,0,9,9
