time,job_id,num_gpu,submit_time,start_time,end_time,ddl,executed_time,JCT,pending_time,preempt,promote,best_effort_job
20469,59a72878-e5c4-ab9d-e813-68c36b50edeb,4,16566,16566,20469,21347,3903,3903,0,0,0,0
20549,479d5be0-d819-a033-800e-400e728fe07e,4,16566,16566,20549,20924,3983,3983,0,0,0,0
22795,4c693bbf-9253-5094-3f31-19e4abfd0310,4,16566,16566,22795,25084,6229,6229,0,0,0,0
22994,5663c48d-fb04-72f6-0fd0-f828a2e06448,1,22093,22093,22994,22750,901,901,0,0,0,0
23307,005d539a-d8e3-0d8a-28be-1eae4a4941c3,4,16567,16626,23307,25940,6681,6740,59,0,0,0
23324,db9927be-2c17-ab53-7b31-f3bdd1a77289,4,16567,16626,23324,22747,6698,6757,59,0,0,0
23752,4b7f63f0-4b60-7161-3e43-92c161092e82,4,19725,19784,23752,25504,3968,4027,59,0,0,0
23809,95a87e55-a97a-1690-bd30-435d0f1ecdb9,4,20580,20609,23809,23477,3200,3229,29,0,0,0
23913,463de7cd-2624-91af-d072-8b7cdcf04af3,4,19724,19724,23913,25771,4189,4189,0,0,0,0
23988,d12f0e69-6d91-8a22-81c0-6d2aab0435f9,4,20580,20609,23988,22389,3379,3408,29,0,0,0
24159,73d9b21f-74ea-cf05-82df-63e50e748ff2,4,20580,20609,24159,22774,3550,3579,29,0,0,0
24311,f9d6d733-209c-7e52-d1c8-7cdc3a6a6a52,4,20579,20609,24311,25809,3702,3732,30,0,0,0
25389,59ed7c17-56b7-d953-86f5-af42fd4a3fdf,4,20580,20609,25389,26342,4780,4809,29,0,0,0
26005,ccda772b-f3f9-c3fb-4651-59bba2ca75ad,4,19724,19724,26005,28381,6281,6281,0,0,0,0
26069,f837987b-4596-951c-bf26-69d8b97ca3bd,4,19724,19724,26069,23205,6345,6345,0,0,0,0
26734,43c9f21a-4cc6-b333-14c9-65c7ffa8e1ad,4,19724,19724,26734,29498,7010,7010,0,0,0,0
30116,f45dbbd1-e021-13f9-b04b-dd28ad20aba4,4,26894,26894,30116,30824,3222,3222,0,0,0,0
30769,453d7b05-3e0f-27b5-b49c-44d3d76b4582,4,26895,26954,30769,29757,3815,3874,59,0,0,0
31591,5a4dda5a-26c0-93c1-df1c-f3432044df0a,4,26894,26894,31591,30999,4697,4697,0,0,0,0
32009,bc260d61-e652-9fbe-4401-9da2485070d9,4,26894,26894,32009,29469,5115,5115,0,0,0,0
45855,b8872812-c832-b0c6-40ca-4676fe9d3d0f,8,39128,39128,45855,42513,6727,6727,0,0,0,0
95493,6e4c2b13-04bc-5453-fcee-2f599ef4acfb,8,64148,64148,95493,86748,31345,31345,0,0,0,0
106210,d5c505eb-ca35-3dbb-d821-81e962c02472,4,102293,102293,106210,107228,3917,3917,0,0,0,0
