time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
0,0,0,0,0,0,0,1,0
3250,0,0,0,0,0,0,1,0
3310,0,0,0,0,0,0,1,0
7209,0,0,0,0,0,0,1,0
219316,0,0,0,0,0,0,2,0
220129,0,0,0,0,0,0,2,0
220742,0,0,0,0,0,0,2,0
222189,0,0,0,0,0,0,2,0
251674,0,0,0,0,0,0,3,0
251734,0,0,0,0,0,0,4,0
254933,0,0,0,0,0,0,4,0
254993,0,0,0,0,0,0,4,0
256418,0,0,0,0,0,0,5,0
256478,0,0,0,0,0,0,7,0
258863,0,0,0,0,0,0,8,0
258923,0,0,0,0,0,0,10,0
258983,0,0,0,0,0,0,10,0
259585,0,0,0,0,0,0,11,0
259645,0,0,0,0,0,0,13,0
259705,0,0,0,0,0,0,13,0
259765,0,0,0,0,0,0,13,0
262122,0,0,0,0,0,0,13,0
262182,0,0,0,0,0,0,13,0
262503,0,0,0,0,0,0,14,0
262563,0,0,0,0,0,0,16,0
262844,0,0,0,0,0,0,16,0
262904,0,0,0,0,0,0,16,0
263627,0,0,0,0,0,0,16,0
263687,0,0,0,0,0,0,16,0
265762,0,0,0,0,0,0,16,0
265822,0,0,0,0,0,0,16,0
266072,0,0,0,0,0,0,16,0
266132,0,0,0,0,0,0,16,0
266794,0,0,0,0,0,0,16,0
266854,0,0,0,0,0,0,16,0
267509,0,0,0,0,0,0,15,1
268260,0,0,0,0,0,0,14,2
268877,0,0,0,0,0,0,15,2
269690,0,0,0,0,0,0,15,2
269750,0,0,0,0,0,0,15,2
269810,0,0,0,0,0,0,15,2
270093,0,0,0,0,0,0,14,3
270287,0,0,0,0,0,0,13,4
270779,0,0,0,0,0,0,12,5
270873,0,0,0,0,0,0,11,6
271034,0,0,0,0,0,0,10,7
271286,0,0,0,0,0,0,9,8
272637,0,0,0,0,0,0,8,9
273432,0,0,0,0,0,0,9,9
273860,0,0,0,0,0,0,8,10
274247,0,0,0,0,0,0,7,11
274311,0,0,0,0,0,0,6,12
274530,0,0,0,0,0,0,7,12
275110,0,0,0,0,0,0,6,13
275170,0,0,0,0,0,0,5,14
275826,0,0,0,0,0,0,5,14
276110,0,0,0,0,0,0,6,14
276923,0,0,0,0,0,0,6,14
277536,0,0,0,0,0,0,6,14
278983,0,0,0,0,0,0,6,14
308826,0,0,0,0,0,0,7,14
309095,0,0,0,0,0,0,8,14
310067,0,0,0,0,0,0,9,14
310127,0,0,0,0,0,0,10,14
312132,0,0,0,0,0,0,10,14
312354,0,0,0,0,0,0,10,14
