time,job_id,num_gpu,submit_time,start_time,end_time,ddl,executed_time,JCT,pending_time,preempt,promote,best_effort_job
912616,0bc6e292-b9b4-36d3-61bf-fb714fe2f053,32,911907,911907,912616,912694,709,709,0,0,0,0
1028486,56a60db5-0776-d49a-688e-8d5d51856418,64,1012685,1012685,1028486,1030737,15801,15801,0,0,0,0
1040118,0faae5bf-b900-4086-aa21-e1537b2cefe1,64,1014180,1014180,1040118,1036687,25938,25938,0,0,0,0
1089960,8be5199e-e212-b2e8-a91a-0e8b424a1f16,64,1086205,1086205,1089960,1090148,3755,3755,0,0,0,0
1108985,de9c8ed1-2efe-3d84-2c30-663928b5cba6,64,1093446,1093446,1108985,1108266,15539,15539,0,0,0,0
1133872,f1899189-3110-7d36-797d-31c403cbe6bd,64,1014228,1014240,1133872,1110075,119632,119644,12,0,0,0
1216113,4af1ff74-751f-fc03-4f5d-f42331e5266a,64,1212237,1212237,1216113,1214194,3876,3876,0,0,0,0
1286907,c88aca21-b1f4-dd88-48eb-14a58f6d56fd,64,1183530,1183530,1286907,1338384,103377,103377,0,0,0,0
1378707,6828e25c-9307-b36e-eeec-de56dd94b1cc,64,1341622,1341622,1378707,1407610,37085,37085,0,0,0,0
1390951,2057111f-243b-b306-93f6-5b6fd84ccc20,64,1342563,1342563,1390951,1416292,48388,48388,0,0,0,0
1405268,c2d0af1f-43eb-756f-0b62-192ae224a224,64,1348404,1348404,1405268,1379803,56864,56864,0,0,0,0
1514696,26a4850d-1a6b-88d2-cad7-5ebe91694fbb,64,1440871,1440871,1514696,1511156,73825,73825,0,0,0,0
1547732,b5230821-2c41-76f7-d045-f17ece2db215,64,1438582,1438582,1547732,1520655,109150,109150,0,0,0,0
1663098,6ced484e-acde-5588-ee92-0236b1ddecb7,64,1647973,1647973,1663098,1660682,15125,15125,0,0,0,0
1690277,924e48b4-504e-4b66-874c-146ccea6c978,64,1686477,1686477,1690277,1689764,3800,3800,0,0,0,0
1706604,fed46e35-1891-c896-a848-849e0dacf645,64,1702798,1702798,1706604,1706421,3806,3806,0,0,0,0
1799825,994d4c03-7154-74b9-70ce-68ab7ec9ef95,64,1795351,1795351,1799825,1801898,4474,4474,0,0,0,0
1811019,fdecc58d-73fe-e1a3-fed0-24cbb6f37bd4,64,1795395,1795411,1811019,1818084,15608,15624,16,0,0,0
1816083,b9e1aa73-bcaa-8722-923f-720a675684ce,64,1811748,1811748,1816083,1815451,4335,4335,0,0,0,0
1956218,c7797848-1c6e-f704-8311-7efcb0b4d74e,64,1955446,1955446,1956218,1955897,772,772,0,0,0,0
1990834,23625303-2ae7-2b5d-dcd2-dfd44c745676,64,1990162,1990162,1990834,1990602,672,672,0,0,0,0
