time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
0,0,0,0,0,0,0,1,0
62109,0,0,0,0,0,0,0,1
219316,0,0,0,0,0,0,1,1
251674,0,0,0,0,0,0,2,1
251734,0,0,0,0,0,0,3,1
255693,0,0,0,0,0,0,2,2
256418,0,0,0,0,0,0,3,2
256478,0,0,0,0,0,0,5,2
257677,0,0,0,0,0,0,4,3
257901,0,0,0,0,0,0,3,4
258863,0,0,0,0,0,0,4,4
258923,0,0,0,0,0,0,6,4
259585,0,0,0,0,0,0,7,4
259645,0,0,0,0,0,1,8,4
260734,0,0,0,0,0,1,7,5
260794,0,0,0,0,0,1,6,6
261124,0,0,0,0,0,0,6,7
262503,0,0,0,0,0,0,7,7
262563,0,0,0,0,0,1,8,7
262629,0,0,0,0,0,1,7,8
263790,0,0,0,0,0,1,6,9
264341,0,0,0,0,0,0,6,10
264671,0,0,0,0,0,0,5,11
266327,0,0,0,0,0,0,4,12
266387,0,0,0,0,0,0,3,13
266732,0,0,0,0,0,0,2,14
268877,0,0,0,0,0,0,3,14
270158,0,0,0,0,0,0,2,15
273432,0,0,0,0,0,0,3,15
274530,0,0,0,0,0,0,4,15
276110,0,0,0,0,0,0,5,15
292340,0,0,0,0,0,0,4,16
308826,0,0,0,0,0,0,5,16
309095,0,0,0,0,0,0,6,16
310067,0,0,0,0,0,0,7,16
310127,0,0,0,0,0,1,7,16
314356,0,0,0,0,0,1,8,16
314416,0,0,0,0,0,1,7,18
314668,0,0,0,0,0,1,6,19
318265,0,0,0,0,0,0,6,20
319928,0,0,0,0,0,0,5,21
327181,0,0,0,0,0,0,4,22
328412,0,0,0,0,0,0,5,22
328472,0,0,0,0,0,0,6,22
330551,0,0,0,0,0,0,5,23
330968,0,0,0,0,0,0,4,24
341326,0,0,0,0,0,0,3,24
342823,0,0,0,0,0,0,2,25
365624,0,0,0,0,0,0,3,25
368092,0,0,0,0,0,0,4,25
396126,0,0,0,0,0,0,5,25
399191,0,0,0,0,0,0,4,26
409806,0,0,0,0,0,0,5,26
409866,0,0,0,0,0,0,6,26
413706,0,0,0,0,0,0,5,27
417955,0,0,0,0,0,0,4,28
422092,0,0,0,0,0,0,3,29
438136,0,0,0,0,0,0,4,29
445554,0,0,0,0,0,0,5,29
447064,0,0,0,0,0,0,4,30
449296,0,0,0,0,0,0,3,30
485979,0,0,0,0,0,0,4,30
486043,0,0,0,0,0,0,3,31
499454,0,0,0,0,0,0,4,31
500213,0,0,0,0,0,0,3,32
501313,0,0,0,0,0,0,2,33
503746,0,0,0,0,0,0,1,34
552756,0,0,0,0,0,0,2,34
558995,0,0,0,0,0,0,1,35
559930,0,0,0,0,0,0,2,35
564849,0,0,0,0,0,0,1,36
571052,0,0,0,0,0,0,2,36
571334,0,0,0,0,0,0,3,36
571535,0,0,0,0,0,0,2,37
573385,0,0,0,0,0,0,1,38
580807,0,0,0,0,0,0,2,38
587485,0,0,0,0,0,0,3,38
595709,0,0,0,0,0,0,4,38
625627,0,0,0,0,0,0,5,38
625702,0,0,0,0,0,0,4,39
627863,0,0,0,0,0,0,5,39
628014,0,0,0,0,0,0,4,40
658517,0,0,0,0,0,0,5,40
658577,0,0,0,0,0,0,6,40
658652,0,0,0,0,0,0,5,41
658771,0,0,0,0,0,0,4,42
665307,0,0,0,0,0,0,3,43
667980,0,0,0,0,0,0,4,43
668040,0,0,0,0,0,0,5,43
672851,0,0,0,0,0,0,4,44
674071,0,0,0,0,0,0,3,45
693194,0,0,0,0,0,0,4,45
693254,0,0,0,0,0,0,5,45
714019,0,0,0,0,0,0,6,45
735712,0,0,0,0,0,0,5,46
743407,0,0,0,0,0,0,6,46
743521,0,0,0,0,0,0,5,47
749325,0,0,0,0,0,0,4,48
761651,0,0,0,0,0,0,3,49
837654,0,0,0,0,0,0,2,49
900090,0,0,0,0,0,0,1,49
917930,0,0,0,0,0,0,2,49
918182,0,0,0,0,0,0,1,50
977077,0,0,0,0,0,0,2,50
978250,0,0,0,0,0,0,1,51
996104,0,0,0,0,0,0,2,51
1060037,0,0,0,0,0,0,3,51
1060534,0,0,0,0,0,0,2,52
1070705,0,0,0,0,0,0,4,52
1070765,0,0,0,0,0,0,6,52
1072522,0,0,0,0,0,0,5,53
1073981,0,0,0,0,0,0,4,54
1079105,0,0,0,0,0,0,3,55
1079233,0,0,0,0,0,0,2,56
1085610,0,0,0,0,0,0,4,56
1087738,0,0,0,0,0,0,3,57
1088036,0,0,0,0,0,0,4,57
1088096,0,0,0,0,0,0,5,57
1089801,0,0,0,0,0,0,6,57
1089971,0,0,0,0,0,0,5,58
1090064,0,0,0,0,0,0,6,58
1090124,0,0,0,0,0,0,6,59
1090910,0,0,0,0,0,0,5,60
1091504,0,0,0,0,0,0,4,61
1091629,0,0,0,0,0,0,3,62
1094037,0,0,0,0,0,0,2,63
1094822,0,0,0,0,0,0,3,63
1096915,0,0,0,0,0,0,2,63
1108307,0,0,0,0,0,0,3,63
1122029,0,0,0,0,0,0,4,63
1122645,0,0,0,0,0,0,6,63
1124878,0,0,0,0,0,0,5,64
1124945,0,0,0,0,0,0,4,65
1145522,0,0,0,0,0,0,3,66
1148546,0,0,0,0,0,0,4,66
1148606,0,0,0,0,0,0,5,66
1151950,0,0,0,0,0,0,6,66
1153917,0,0,0,0,0,0,5,67
1156151,0,0,0,0,0,0,4,68
1159846,0,0,0,0,0,0,3,69
1167722,0,0,0,0,0,0,2,70
1176018,0,0,0,0,0,0,3,70
1179128,0,0,0,0,0,0,4,70
1184261,0,0,0,0,0,0,5,70
1184321,0,0,0,0,0,0,6,70
1190725,0,0,0,0,0,0,5,71
1195208,0,0,0,0,0,0,4,72
1196785,0,0,0,0,0,0,5,72
1196845,0,0,0,0,0,0,6,72
1200858,0,0,0,0,0,0,5,73
1201002,0,0,0,0,0,0,4,74
1209585,0,0,0,0,0,0,5,74
1209725,0,0,0,0,0,0,4,75
1221987,0,0,0,0,0,0,5,75
1222047,0,0,0,0,0,0,6,75
1229659,0,0,0,0,0,0,5,76
1237003,0,0,0,0,0,0,4,77
1270577,0,0,0,0,0,0,3,78
1281443,0,0,0,0,0,0,4,78
1281503,0,0,0,0,0,0,5,78
1282300,0,0,0,0,0,0,4,79
1282384,0,0,0,0,0,0,5,79
1282444,0,0,0,0,0,0,6,79
1284745,0,0,0,0,0,0,5,80
1287355,0,0,0,0,0,0,4,81
1290683,0,0,0,0,0,0,3,82
1291309,0,0,0,0,0,0,2,83
1305672,0,0,0,0,0,0,3,83
1307066,0,0,0,0,0,0,4,83
1307455,0,0,0,0,0,0,6,83
1312053,0,0,0,0,0,0,5,84
1314648,0,0,0,0,0,0,4,85
1319234,0,0,0,0,0,1,4,85
1322235,0,0,0,0,0,1,5,85
1322761,0,0,0,0,0,1,7,85
1325555,0,0,0,0,0,1,6,86
1326969,0,0,0,0,0,1,5,87
1330834,0,0,0,0,0,1,6,87
1330894,0,0,0,0,0,2,6,87
1347637,0,0,0,0,0,2,5,87
1359324,0,0,0,0,0,2,4,88
1362294,0,0,0,0,0,2,5,88
1362354,0,0,0,0,0,2,6,88
1368826,0,0,0,0,0,2,5,89
1378684,0,0,0,0,0,2,4,90
1385024,0,0,0,0,0,1,4,91
1388150,0,0,0,0,0,1,5,91
1391641,0,0,0,0,0,1,4,92
1398706,0,0,0,0,0,0,4,93
1422424,0,0,0,0,0,0,5,93
1443325,0,0,0,0,0,0,4,94
1520982,0,0,0,0,0,0,5,94
1521144,0,0,0,0,0,0,4,95
1533557,0,0,0,0,0,0,3,96
1555607,0,0,0,0,0,0,2,97
1563741,0,0,0,0,0,0,1,97
1565365,0,0,0,0,0,0,2,97
1566328,0,0,0,0,0,0,3,97
1571362,0,0,0,0,0,0,4,97
1571422,0,0,0,0,0,0,5,97
1571742,0,0,0,0,0,1,5,97
