time,job_id,num_gpu,submit_time,start_time,end_time,ddl,executed_time,JCT,pending_time,preempt,promote,best_effort_job
11791,930dd644-e119-8ce9-0935-e6148a7c7bed,64,9940,9940,11791,25913,1851,1851,0,0,0,0
12886,ae858270-d60b-79da-8e7a-d444a656f2e3,64,11093,11146,12886,26305,1740,1793,53,0,0,0
13618,4b677169-a8ac-9025-ce52-585435a4463b,64,11851,11851,13618,31324,1767,1767,0,0,0,0
14296,c868e18d-b098-0298-f811-744f4e0929a0,64,12324,12324,14296,30085,1972,1972,0,0,0,0
14781,5c338a83-7c80-c067-9afc-00ac9bd2ce6b,32,11086,11086,14781,21749,3695,3695,0,0,0,0
15388,382310f0-949d-9991-e9b4-3912dba8bb55,32,11709,11724,15388,25493,3664,3679,15,0,0,0
15455,2e7f23b7-49a9-c27a-b065-89db136209c4,32,11664,11664,15455,27828,3791,3791,0,0,0,0
15582,a2f22ccc-d2cb-e0f6-c34d-740c904df24b,32,11934,11934,15582,31023,3648,3648,0,0,0,0
15769,13fb0fdf-547c-de4a-6797-e7d69fb731b8,32,12219,12219,15769,27137,3550,3550,0,0,0,0
16196,08142d39-0cd1-e657-3340-f08fe7989b29,64,14229,14229,16196,33947,1967,1967,0,0,0,0
16383,c0fed388-c8a0-7df4-21ac-b714262d0dee,32,12759,12759,16383,27534,3624,3624,0,0,0,0
17110,8dcecce2-537e-46b7-aa78-dfb22252b6d0,64,14159,14166,17110,28940,2944,2951,7,0,0,0
17849.0,b9736cde-21bb-9549-c0ad-720a01a5bbef,32,14106,14106,17849.0,24832,3743.0,3743,0,0,0,0
19246.0,153d116c-54bf-a765-a923-0fd49e806e18,16,13011,13011,19246.0,25996,6235.0,6235,0,0,0,0
19553.0,2e76bf9c-fa2b-8231-187b-88da5a763c0a,16,13938,13938,19553.0,36985,5615.0,5615,0,0,0,0
20040.0,a4734908-e057-b549-b19f-0c07ad28d2be,16,13621,13678,20040.0,27957,6362.0,6419,57,0,0,0
20587.0,b275fc8c-d0d4-d137-f0d2-7cb3083c1697,16,14594,14594,20587.0,33926,5993.0,5993,0,0,0,0
