time,job_id,num_gpu,submit_time,start_time,end_time,ddl,executed_time,JCT,pending_time,preempt,promote,best_effort_job
267540,4,1,256418,9223372036854775807,267540,272884,-9223372036854508267,11122,0,0,0,0
268320,5,1,256458,9223372036854775807,268320,269135,-9223372036854507487,11862,0,0,0,0
270180,7,1,258863,9223372036854775807,270180,265982,-9223372036854505627,11317,0,0,0,0
270300,8,1,258886,9223372036854775807,270300,270991,-9223372036854505507,11414,0,0,0,0
270780,12,1,259609,9223372036854775807,270780,273980,-9223372036854505027,11171,0,0,0,0
270900,10,1,259585,9223372036854775807,270900,267922,-9223372036854504907,11315,0,0,0,0
271080,6,1,256459,9223372036854775807,271080,264444,-9223372036854504727,14621,0,0,0,0
271260,11,1,259600,9223372036854775807,271260,269623,-9223372036854504547,11660,0,0,0,0
272640,9,1,258888,9223372036854775807,272640,273213,-9223372036854503167,13752,0,0,0,0
273900,14,1,262517,9223372036854775807,273900,271924,-9223372036854501907,11383,0,0,0,0
274320,15,1,262523,9223372036854775807,274320,274296,-9223372036854501487,11797,0,0,0,0
274320,13,1,262503,9223372036854775807,274320,270864,-9223372036854501487,11817,0,0,0,0
275100,3,1,251699,9223372036854775807,275100,279709,-9223372036854500707,23401,0,0,0,0
275220,2,1,251674,9223372036854775807,275220,281132,-9223372036854500587,23546,0,0,0,0
315060,24,1,314356,9223372036854775807,315060,314834,-9223372036854460747,704,0,0,0,0
315120,25,1,314378,9223372036854775807,315120,315330,-9223372036854460687,742,0,0,0,0
333240,21,1,309095,9223372036854775807,333240,333973,-9223372036854442567,24145,0,0,0,0
333720,20,1,308826,9223372036854775807,333720,341152,-9223372036854442087,24894,0,0,0,0
334320,23,1,310087,9223372036854775807,334320,342111,-9223372036854441487,24233,0,0,0,0
335220,22,1,310067,9223372036854775807,335220,322697,-9223372036854440587,25153,0,0,0,0
349920,16,4,268877,9223372036854775807,349920,329690,-9223372036854425887,81043,0,0,0,0
350280,27,1,328414,9223372036854775807,350280,343582,-9223372036854425527,21866,0,0,0,0
350580,26,1,328412,9223372036854775807,350580,344661,-9223372036854425227,22168,0,0,0,0
351600,17,4,273432,9223372036854775807,351600,331219,-9223372036854424207,78168,0,0,0,0
353820,18,4,274530,9223372036854775807,353820,375412,-9223372036854421987,79290,0,0,0,0
