time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
0,0,0,0,0,0,0,1,0
240,0,0,0,0,0,0,2,0
553.0,0,0,0,0,0,0,2,0
3036,0,0,0,0,0,0,3,0
7243,0,0,0,0,0,0,6,0
5201,0,0,0,0,0,0,4,0
5642,0,0,0,0,0,1,4,0
7564,0,0,0,0,0,0,7,0
5882,0,0,0,0,0,0,5,0
8592,0,0,0,0,0,0,7,0
6668,0,0,0,0,0,0,6,0
9145,0,0,0,0,0,0,8,0
6908,0,0,0,0,0,0,6,0
11477,0,0,0,0,0,0,9,0
7564,0,0,0,0,0,0,7,0
8592,0,0,0,0,0,0,7,0
8832,0,0,0,0,0,0,7,0
11717,0,0,0,0,0,0,11,0
9145,0,0,0,0,0,0,8,0
11477,0,0,0,0,0,1,8,0
11957,0,0,0,0,0,0,11,0
12321,0,0,0,0,0,0,11,0
14378,0,0,0,0,0,0,12,0
14618,0,0,0,0,0,0,12,0
11717,0,0,0,0,0,1,10,0
11957,0,0,0,0,0,1,10,0
15228,0,0,0,0,0,0,13,0
12321,0,0,0,0,0,1,10,0
14378,0,0,0,0,0,1,11,0
14618,0,0,0,0,0,1,11,0
16188,0,0,0,0,0,0,13,0
17383,0,0,0,0,0,0,14,0
17623,0,0,0,0,0,0,15,0
15228,0,0,0,0,0,1,12,0
17383,0,0,0,0,0,1,13,0
17863,0,0,0,0,0,0,15,0
17623,0,0,0,0,0,1,14,0
18271,0,0,0,0,0,0,16,0
17863,0,0,0,0,0,1,14,0
18511,0,0,0,0,0,0,16,0
20188,0,0,0,0,0,0,17,0
20428,0,0,0,0,0,0,17,0
18103,0,0,0,0,0,1,14,0
0,0,0,0,0,0,0,1,0
20668,0,0,0,0,0,0,18,0
18343,0,0,0,0,0,1,15,0
240,0,0,0,0,0,0,2,0
18583,0,0,0,0,0,1,15,0
20188,0,0,0,0,0,2,15,0
20578,0,0,0,0,0,2,16,0
20950,0,0,0,0,0,2,16,0
558.0,0,0,0,0,0,0,2,0
21040,0,0,0,0,0,0,18,0
21500,0,0,0,0,0,2,16,0
3036,0,0,0,0,0,0,3,0
24936,0,0,0,0,0,1,18,0
5201,0,0,0,0,0,0,4,0
22931,0,0,0,0,0,1,17,0
28412,0,0,0,0,0,1,19,0
24936,0,0,0,0,0,2,17,0
5642,0,0,0,0,0,0,5,0
28412,0,0,0,0,0,3,17,0
28652,0,0,0,0,0,2,20,0
5882,0,0,0,0,0,0,5,0
29666,0,0,0,0,0,3,20,0
6668,0,0,0,0,0,0,6,0
28652,0,0,0,0,0,4,18,0
29906,0,0,0,0,0,1,22,0
6908,0,0,0,0,0,0,6,0
29666,0,0,0,0,0,5,18,0
32991,0,0,0,0,0,1,22,0
7291,0,0,0,0,0,0,6,0
