time,job_id,num_gpu,submit_time,start_time,end_time,ddl,executed_time,JCT,pending_time,preempt,promote,best_effort_job
553.0,1,64,216,240,553.0,1163,313.0,337,24,0,0,0
5882,3,64,5201,5201,5848,7407,647,647,0,0,0,0
8592,6,64,7564,7564,8592,8737,1028,1028,0,0,0,0
6908,5,64,6668,6668,6776,7737,108,108,0,0,0,0
8592,6,64,7564,7564,8592,8737,1028,1028,0,0,0,0
8832,4,64,5642,5882,8749,12433,2867,3107,240,0,0,0
11957,9,64,11625,11717,11893,13878,176,268,92,0,0,0
12321,10,32,11668,11717,12321,12389,604,653,49,0,0,0
14618,11,64,14378,14378,14564,15742,186,186,0,0,0,0
11957,9,32,11625,11717,11914,13878,197,289,92,0,0,0
12321,10,32,11668,11717,12321,12389,604,653,49,0,0,0
14618,11,64,14378,14378,14564,15742,186,186,0,0,0,0
16188,7,64,9145,9145,16188,35961,7043,7043,0,0,0,0
17863,13,64,17383,17383,17652,22562,269,269,0,0,0,0
17863,14,64,17387,17623,17796,18089,173,409,236,0,0,0
17863,14,64,17387,17623,17796,18089,173,409,236,0,0,0
18511,15,64,18271,18271,18438,18931,167,167,0,0,0,0
20428,12,64,15228,15228,20412,26405,5184,5184,0,0,0,0
18103,13,64,17383,17383,17892,22562,509,509,0,0,0,0
18583,15,64,18271,18343,18510,18931,167,239,72,0,0,0
20950,17,64,20578,20578,20950,21830,372,372,0,0,0,0
21040,17,64,20578,20668,21040,21830,372,462,90,0,0,0
558.0,1,64,216,240,558.0,1163,318.0,342,24,0,0,0
21500,12,64,15228,15228,21500,26405,6272,6272,0,0,0,0
22931,7,64,9145,9145,22931,35961,13786,13786,0,0,0,0
28652,16,64,20188,20188,28493,37327,8305,8305,0,0,0,0
5882,3,64,5201,5201,5872,7407,671,671,0,0,0,0
29906,20,64,28458,28652,29707,36980,1055,1249,194,0,0,0
29906,19,64,28412,28412,29763,45055,1351,1351,0,0,0,0
6908,5,64,6668,6668,6781,7737,113,113,0,0,0,0
32991,21,64,28497,29906,32991,54660,3085,4494,1409,0,0,0
7291,4,64,5642,5642,7291,12433,1649,1649,0,0,0,0
29906,20,64,28458,28652,29707,36980,1055,1249,194,0,0,0
32486,16,64,20188,22931,32486,37327,9555,12298,2743,0,0,0
8597,6,64,7564,7564,8597,8737,1033,1033,0,0,0,0
33833,19,64,28412,32486,33833,45055,1347,5421,4074,0,0,0
34825,23,64,33865,33865,34682,39257,817,817,0,0,0,0
35065,24,64,34585,34585,34971,37212,386,386,0,0,0,0
11957,9,64,11625,11717,11898,13878,181,273,92,0,0,0
35191,24,64,34585,34585,34971,37212,386,386,0,0,0,0
12331,10,32,11668,11717,12331,12389,614,663,49,0,0,0
35496,23,64,33865,34073,35496,39257,1423,1631,208,0,0,0
38415,30,64,38085,38085,38415,41537,330,330,0,0,0,0
14618,11,64,14378,14378,14583.0,15742,205.0,205,0,0,0,0
16238,7,64,9145,9145,16238,35961,7093,7093,0,0,0,0
39594,32,64,38877,38895,39594,39794,699,717,18,0,0,0
38415,30,64,38085,38085,38415,41537,330,330,0,0,0,0
