time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
20428,0,0,0,0,0,0,4,13
7564,0,0,0,0,0,0,3,4
20668,0,0,0,0,0,0,5,13
8590,0,0,0,0,0,0,2,5
9145,0,0,0,0,0,0,3,5
11477,0,0,0,0,0,0,4,5
11717,0,0,0,0,0,0,6,5
11957,0,0,0,0,0,0,5,6
12305,0,0,0,0,0,0,4,7
21038,0,0,0,0,0,0,4,14
24936,0,0,0,0,0,1,4,14
28412,0,0,0,0,0,1,5,14
28652,0,0,0,0,0,2,5,15
14378,0,0,0,0,0,0,5,7
29666,0,0,0,0,0,3,5,15
14618,0,0,0,0,0,0,4,8
29906,0,0,0,0,0,1,5,17
15228,0,0,0,0,0,0,5,8
32989,0,0,0,0,0,1,4,18
16182,0,0,0,0,0,0,4,9
33865,0,0,0,0,0,1,5,18
17383,0,0,0,0,0,0,5,9
34585,0,0,0,0,0,1,6,18
17623,0,0,0,0,0,0,6,9
17863,0,0,0,0,0,0,4,11
18271,0,0,0,0,0,0,5,11
34825,0,0,0,0,0,1,5,19
35065,0,0,0,0,0,1,5,20
18511,0,0,0,0,0,0,4,12
20158,0,0,0,0,0,0,3,13
35774,0,0,0,0,0,1,6,20
36014,0,0,0,0,0,2,6,20
20398,0,0,0,0,0,0,4,13
36254,0,0,0,0,0,3,6,20
20638,0,0,0,0,0,0,5,13
37058,0,0,0,0,0,4,6,20
21008,0,0,0,0,0,0,4,14
38085,0,0,0,0,0,4,7,20
24936,0,0,0,0,0,0,5,14
28412,0,0,0,0,0,0,6,14
38413,0,0,0,0,0,4,6,21
28652,0,0,0,0,0,0,8,14
38653,0,0,0,0,0,4,7,21
28892,0,0,0,0,0,0,7,15
29666,0,0,0,0,0,0,8,15
38893,0,0,0,0,0,4,8,21
29906,0,0,0,0,0,0,6,17
0,0,0,0,0,0,0,1,0
31735,0,0,0,0,0,0,5,18
240,0,0,0,0,0,0,2,0
39248,0,0,0,0,0,5,8,21
537,0,0,0,0,0,0,1,1
32155,0,0,0,0,0,0,4,19
3036,0,0,0,0,0,0,2,1
33865,0,0,0,0,0,0,5,19
5201,0,0,0,0,0,0,3,1
34585,0,0,0,0,0,0,6,19
39588,0,0,0,0,0,5,7,22
5642,0,0,0,0,0,1,3,1
5882,0,0,0,0,0,0,3,2
