time,job_id,num_gpu,submit_time,start_time,end_time,ddl,executed_time,JCT,pending_time,preempt,promote,best_effort_job
8590,6,64,7564,7564,8590,8737,1026,1026,0,0,0,0
11957,9,64,11625,11717,11891,13878,174,266,92,0,0,0
12305,10,32,11668,11717,12305,12389,588,637,49,0,0,0
21038,17,64,20578,20668,21038,21830,370,460,90,0,0,0
28652,16,64,20188,20188,28481,37327,8293,8293,0,0,0,0
14618,11,64,14378,14378,14562,15742,184,184,0,0,0,0
29906,20,64,28458,28652,29703,36980,1051,1245,194,0,0,0
29906,19,64,28412,28412,29757,45055,1345,1345,0,0,0,0
32989,21,64,28497,29906,32989,54660,3083,4492,1409,0,0,0
16182,7,64,9145,9145,16182,35961,7037,7037,0,0,0,0
17863,13,64,17383,17383,17648,22562,265,265,0,0,0,0
17863,14,64,17387,17623,17794,18089,171,407,236,0,0,0
34825,23,64,33865,33865,34678,39257,813,813,0,0,0,0
35065,24,64,34585,34585,34967,37212,382,382,0,0,0,0
18511,15,64,18271,18271,18436,18931,165,165,0,0,0,0
20158,12,64,15228,15228,20158,26405,4930,4930,0,0,0,0
21008,17,64,20578,20638,21008,21830,370,430,60,0,0,0
38413,30,64,38085,38085,38413,41537,328,328,0,0,0,0
28892,16,64,20188,20398,28691,37327,8293,8503,210,0,0,0
29906,20,64,28458,28652,29703,36980,1051,1245,194,0,0,0
29906,19,64,28412,28412,29757,45055,1345,1345,0,0,0,0
31735,21,64,28497,28652,31735,54660,3083,3238,155,0,0,0
32155,2,64,3036,3036,32155,152208,29119,29119,0,0,0,0
537,1,64,216,240,537,1163,297,321,24,0,0,0
39588,32,64,38877,38893,39588,39794,695,711,16,0,0,0
34825,23,64,33865,33865,34678,39257,813,813,0,0,0,0
40098,31,64,38483,38653,40098,40416,1445,1615,170,0,0,0
5882,3,64,5201,5201,5844,7407,643,643,0,0,0,0
35065,24,64,34585,34585,34967,37212,382,382,0,0,0,0
6908,5,64,6668,6668,6774,7737,106,106,0,0,0,0
8590,6,64,7564,7564,8590,8737,1026,1026,0,0,0,0
8830,4,64,5642,5882,8741,12433,2859,3099,240,0,0,0
37464,27,64,35818,36014,37464,51055,1450,1646,196,0,0,0
11957,9,32,11625,11717,11912,13878,195,287,92,0,0,0
41731,36,64,40717,40924,41731,43819,807,1014,207,0,0,0
12305,10,32,11668,11717,12305,12389,588,637,49,0,0,0
38413,30,64,38085,38085,38413,41537,328,328,0,0,0,0
14618,11,64,14378,14378,14562,15742,184,184,0,0,0,0
42186,25,64,34951,35065,42186,46694,7121,7235,114,0,0,0
17863,14,64,17387,17623,17794,18089,171,407,236,0,0,0
39588,32,64,38877,38893,39588,39794,695,711,16,0,0,0
18103,13,64,17383,17383,17888,22562,505,505,0,0,0,0
44393,37,64,43443,43443,44393,47464,950,950,0,0,0,0
40098,31,64,38483,38653,40098,40416,1445,1615,170,0,0,0
18583,15,64,18271,18343,18508,18931,165,237,72,0,0,0
44633,27,64,35818,42186,44586,51055,2400,8768,6368,0,0,0
40578,22,64,29666,29666,40517,69707,10851,10851,0,0,0,0
20948,17,64,20578,20578,20948,21830,370,370,0,0,0,0
21488,12,64,15228,15228,21488,26405,6260,6260,0,0,0,0
22908,7,64,9145,9145,22908,35961,13763,13763,0,0,0,0
41491,25,64,34951,35065,41491,46694,6426,6540,114,0,0,0
45413,38,64,44662,44873,45413,45768,540,751,211,0,0,0
41731,36,64,40717,40818,41625,43819,807,908,101,0,0,0
42487,29,64,37058,37058,42487,54089,5429,5429,0,0,0,0
29906,20,64,28458,28652,29703,36980,1051,1245,194,0,0,0
32455,16,64,20188,22908,32455,37327,9547,12267,2720,0,0,0
44393,37,64,43443,43443,44393,47464,950,950,0,0,0,0
33800,19,64,28412,32455,33800,45055,1345,5388,4043,0,0,0
46815,40,64,46513,46513,46815,47060,302,302,0,0,0,0
45202,38,64,44662,44662,45202,45768,540,540,0,0,0,0
50209,29,64,37058,44633,50209,54089,5576,13151,7575,0,0,0
35191,24,64,34585,34585,34967,37212,382,382,0,0,0,0
35459,23,64,33865,34040,35459,39257,1419,1594,175,0,0,0
50449,26,64,35774,35774,50231,49635,14457,14457,0,0,0,0
46815,40,64,46513,46513,46815,47060,302,302,0,0,0,0
52831,39,64,46204,50209,52831,57020,2622,6627,4005,0,0,0
47651,26,64,35774,35774,47651,49635,11877,11877,0,0,0,0
48826,39,64,46204,46204,48826,57020,2622,2622,0,0,0,0
53493,22,64,29666,29906,53493,69707,23587,23827,240,0,0,0
38413,30,64,38085,38085,38413,41537,328,328,0,0,0,0
49591,33,64,39248,40578,49591,108533,9013,10343,1330,0,0,0
52806,34,32,40171,40578,52806,78929,12228,12635,407,0,0,0
39588,32,64,38877,38893,39588,39794,695,711,16,0,0,0
57290,43,64,57003,57050,57243,57769,193,240,47,0,0,0
40924,31,64,38483,38653,40793,40416,2140,2310,170,0,0,0
57290,43,64,57003,57050,57243,57769,193,240,47,0,0,0
41731,36,64,40717,40924,41731,43819,807,1014,207,0,0,0
58194,44,64,57610,57610,58194,59067,584,584,0,0,0,0
59148,42,64,56810,56810,59148,91461,2338,2338,0,0,0,0
45202,38,64,44662,44662,45202,45768,540,540,0,0,0,0
58194,44,64,57610,57610,58194,59067,584,584,0,0,0,0
45831,25,64,34951,35459,45831,46694,10372,10880,508,0,0,0
61639,45,64,59527,59527,61639,73400,2112,2112,0,0,0,0
59319,42,64,56810,56810,59319,91461,2509,2509,0,0,0,0
62991,46,64,61390,61390,62991,63932,1601,1601,0,0,0,0
46815,40,64,46513,46513,46815,47060,302,302,0,0,0,0
63706,8,64,11477,11477,63706,112804,52229,52229,0,0,0,0
47083,37,64,43443,45831,47083,47464,1252,3640,2388,0,0,0
68955,48,64,66346,66346,68955,83747,2609,2609,0,0,0,0
69195,28,64,36194,42487,69151,149156,26664,32957,6293,0,0,0
61671,45,64,59527,59559,61671,73400,2112,2144,32,0,0,0
58960,26,64,35774,47083,58960,49635,11877,23186,11309,0,0,0
62429,33,32,39248,52831,62429,108533,9598,23181,13583,0,0,0
60410,27,64,35818,58960,60410,51055,1450,24592,23142,0,0,0
71590,50,64,70669,70669,71590,72944,921,921,0,0,0,0
62991,46,64,61390,61390,62991,63932,1601,1601,0,0,0,0
65144,29,64,37058,60410,65144,54089,4734,28086,23352,0,0,0
64667,34,32,40171,52831,64667,78929,11836,24496,12660,0,0,0
73035,18,32,24936,24936,73035,175734,48099,48099,0,0,0,0
74041,49,32,69004,69195,74041,74598,4846,5037,191,0,0,0
67987,21,64,28497,33800,67987,54660,34187,39490,5303,0,0,0
74437,51,64,71211,71211,74437,76235,3226,3226,0,0,0,0
74701,47,64,65524,65524,74701,113606,9177,9177,0,0,0,0
70609,39,64,46204,67987,70609,57020,2622,24405,21783,0,0,0
70849,43,64,57003,70609,70802,57769,193,13799,13606,0,0,0
68955,48,64,66346,66346,68955,83747,2609,2609,0,0,0,0
79197,54,64,78559,78559,79197,80343,638,638,0,0,0,0
71451,44,64,57610,70849,71433,59067,584,13823,13239,0,0,0
73052,46,64,61390,71451,73052,63932,1601,11662,10061,0,0,0
80765,53,64,75751,75751,80765,85092,5014,5014,0,0,0,0
81697,52,64,72540,72540,81697,85659,9157,9157,0,0,0,0
71590,50,64,70669,70669,71590,72944,921,921,0,0,0,0
81937,57,64,81002,81005,81839,81413,834,837,3,0,0,0
