time,job_id,num_gpu,submit_time,start_time,end_time,ddl,executed_time,JCT,pending_time,preempt,promote,best_effort_job
732.0,1,16,216,240,732.0,1163,492.0,516,24,0,0,0
5894.0,3,16,5201,5201,5894.0,7407,693.0,693,0,0,0,0
5894.0,3,16,5201,5201,5894.0,7407,693.0,693,0,0,0,0
737.0,1,16,216,240,737.0,1163,497.0,521,24,0,0,0
6918.0,5,8,6668,6668,6918.0,7737,250.0,250,0,0,0,0
7400.0,4,16,5642,5642,7400.0,12433,1758.0,1758,0,0,0,0
5889,3,16,5201,5201,5889,7407,688,688,0,0,0,0
8602.0,6,16,7564,7640.0,8602.0,8737,962.0,1038,76.0,0,0,0
6910,5,32,6668,6668,6910,7737,242,242,0,0,0,0
7152,4,32,5642,5642,7152,12433,1510,1510,0,0,0,0
6929.0,5,64,6668,6668,6929.0,7737,261.0,261,0,0,0,0
12205.0,9,4,11625,11717,12205.0,13878,488.0,580,92,0,0,0
7176.0,4,32,5642,5642,7176.0,12433,1534.0,1534,0,0,0,0
12447.0,10,32,11668,11717,12447.0,12389,730.0,779,49,0,0,0
8590,6,16,7564,7564,8590,8737,1026,1026,0,0,0,0
15100,11,4,14378,14378,15100,15742,722,722,0,0,0,0
8595,6,16,7564,7564,8595,8737,1031,1031,0,0,0,0
18105,14,2,17387,17623,18105,18089,482,718,236,0,0,0
18587,7,32,9145,9145,18587,35961,9442,9442,0,0,0,0
12205.0,9,4,11625,11717,12205.0,13878,488.0,580,92,0,0,0
18829,15,2,18271,18345,18829,18931,484,558,74,0,0,0
11978.0,9,64,11625,11717,11978.0,13878,261.0,353,92,0,0,0
12447.0,10,32,11668,11717,12447.0,12389,730.0,779,49,0,0,0
19311,13,8,17383,17383,19311,22562,1928,1928,0,0,0,0
12477.0,10,32,11668,11717,12477.0,12389,760.0,809,49,0,0,0
14620,11,32,14378,14378,14620,15742,242,242,0,0,0,0
21352.0,12,16,15228,15340,21352.0,26405,6012.0,6124,112,0,0,0
14625,11,64,14378,14378,14625,15742,247,247,0,0,0,0
21834.0,17,4,20578,20578,21834.0,21830,1256.0,1256,0,0,0,0
16300,7,16,9145,9145,16300,35961,7155,7155,0,0,0,0
16065,7,32,9145,9145,16065,35961,6920,6920,0,0,0,0
17865,14,4,17387,17623,17865,18089,242,478,236,0,0,0
27713,16,4,20188,20269,27713,37327,7444,7525,81,0,0,0
18115.0,13,8,17383,17383,18115.0,22562,732.0,732,0,0,0,0
18110,13,64,17383,17383,18110,22562,727,727,0,0,0,0
18110,14,32,17387,17623,18110,18089,487,723,236,0,0,0
18597,15,32,18271,18350,18597,18931,247,326,79,0,0,0
20044,12,32,15228,15228,20044,26405,4816,4816,0,0,0,0
19077.0,15,32,18271,18355.0,19077.0,18931,722.0,806,84.0,0,0,0
21065,17,64,20578,20578,21065,21830,487,487,0,0,0,0
20430,12,32,15228,15228,20430,26405,5202,5202,0,0,0,0
21152,17,16,20578,20670,21152,21830,482,574,92,0,0,0
27343,16,16,20188,20284,27343,37327,7059,7155,96,0,0,0
27338,16,16,20188,20188,27338,37327,7150,7150,0,0,0,0
35433,19,1,28412,28412,35433,45055,7021,7021,0,0,0,0
